! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/uu.s11.66pf.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/23/2018 12:01:06 PM	05/23/2018 11:36:58 AM
! INTERNAL TEMP:    	48.5 C	48.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.200000E-02	  0.020000000	-6.713900E+01	  0.020000000	3.040000E-01	  0.020000000	-7.534100E+01
2	  0.020200402	-3.100000E-02	  0.020200402	-6.777300E+01	  0.020200402	2.930000E-01	  0.020200402	-7.444400E+01
3	  0.020400802	-3.300000E-02	  0.020400802	-6.839700E+01	  0.020400802	3.020000E-01	  0.020400802	-7.357500E+01
4	  0.020601204	-3.400000E-02	  0.020601204	-6.902400E+01	  0.020601204	3.110000E-01	  0.020601204	-7.271500E+01
5	  0.020801604	-3.600000E-02	  0.020801604	-6.966600E+01	  0.020801604	3.170000E-01	  0.020801604	-7.185000E+01
6	  0.021002004	-3.600000E-02	  0.021002004	-7.029500E+01	  0.021002004	3.190000E-01	  0.021002004	-7.101500E+01
7	  0.021202406	-3.700000E-02	  0.021202406	-7.092200E+01	  0.021202406	3.210000E-01	  0.021202406	-7.019700E+01
8	  0.021402806	-3.700000E-02	  0.021402806	-7.153800E+01	  0.021402806	3.160000E-01	  0.021402806	-6.940400E+01
9	  0.021603208	-4.100000E-02	  0.021603208	-7.216900E+01	  0.021603208	3.410000E-01	  0.021603208	-6.860400E+01
10	  0.021803608	-4.200000E-02	  0.021803608	-7.279400E+01	  0.021803608	3.480000E-01	  0.021803608	-6.782300E+01
11	  0.022004008	-4.300000E-02	  0.022004008	-7.341700E+01	  0.022004008	3.460000E-01	  0.022004008	-6.705700E+01
12	  0.022204408	-4.400000E-02	  0.022204408	-7.405200E+01	  0.022204408	3.510000E-01	  0.022204408	-6.628800E+01
13	  0.022404809	-4.300000E-02	  0.022404809	-7.467300E+01	  0.022404809	3.400000E-01	  0.022404809	-6.554500E+01
14	  0.022605211	-4.400000E-02	  0.022605211	-7.528600E+01	  0.022605211	3.410000E-01	  0.022605211	-6.482300E+01
15	  0.022805611	-4.100000E-02	  0.022805611	-7.591500E+01	  0.022805611	3.180000E-01	  0.022805611	-6.409300E+01
16	  0.023006011	-4.300000E-02	  0.023006011	-7.654500E+01	  0.023006011	3.230000E-01	  0.023006011	-6.337100E+01
17	  0.023206413	-4.400000E-02	  0.023206413	-7.716900E+01	  0.023206413	3.280000E-01	  0.023206413	-6.266600E+01
18	  0.023406813	-4.500000E-02	  0.023406813	-7.777500E+01	  0.023406813	3.350000E-01	  0.023406813	-6.199100E+01
19	  0.023607215	-4.600000E-02	  0.023607215	-7.840100E+01	  0.023607215	3.370000E-01	  0.023607215	-6.130300E+01
20	  0.023807615	-4.500000E-02	  0.023807615	-7.902500E+01	  0.023807615	3.200000E-01	  0.023807615	-6.062600E+01
21	  0.024008015	-4.500000E-02	  0.024008015	-7.964700E+01	  0.024008015	3.190000E-01	  0.024008015	-5.996000E+01
22	  0.024208417	-4.600000E-02	  0.024208417	-8.026500E+01	  0.024208417	3.210000E-01	  0.024208417	-5.930700E+01
