! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may07/256.ew.m15.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/07/2018 02:32:33 PM	05/07/2018 02:21:54 PM
! INTERNAL TEMP:    	56.8 C	55.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.12°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.497 ohm, -2.597 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.460000E-01	  0.020000000	-1.261240E+02	  0.020000000	2.340000E+00	  0.020000000	-2.536300E+01
2	  0.020200402	-6.450000E-01	  0.020200402	-1.275890E+02	  0.020200402	2.307000E+00	  0.020200402	-2.456600E+01
3	  0.020400802	-6.460000E-01	  0.020400802	-1.290530E+02	  0.020400802	2.282000E+00	  0.020400802	-2.377900E+01
4	  0.020601204	-6.470000E-01	  0.020601204	-1.305140E+02	  0.020601204	2.257000E+00	  0.020601204	-2.300400E+01
5	  0.020801604	-6.530000E-01	  0.020801604	-1.320110E+02	  0.020801604	2.250000E+00	  0.020801604	-2.221700E+01
6	  0.021002004	-6.610000E-01	  0.021002004	-1.335210E+02	  0.021002004	2.251000E+00	  0.021002004	-2.143300E+01
7	  0.021202406	-6.650000E-01	  0.021202406	-1.350630E+02	  0.021202406	2.241000E+00	  0.021202406	-2.064200E+01
8	  0.021402806	-6.730000E-01	  0.021402806	-1.365960E+02	  0.021402806	2.242000E+00	  0.021402806	-1.986400E+01
9	  0.021603208	-6.770000E-01	  0.021603208	-1.381360E+02	  0.021603208	2.234000E+00	  0.021603208	-1.909100E+01
10	  0.021803608	-6.820000E-01	  0.021803608	-1.396590E+02	  0.021803608	2.228000E+00	  0.021803608	-1.833400E+01
11	  0.022004008	-6.890000E-01	  0.022004008	-1.412070E+02	  0.022004008	2.228000E+00	  0.022004008	-1.757300E+01
12	  0.022204408	-6.980000E-01	  0.022204408	-1.427490E+02	  0.022204408	2.235000E+00	  0.022204408	-1.682100E+01
13	  0.022404809	-6.990000E-01	  0.022404809	-1.443260E+02	  0.022404809	2.219000E+00	  0.022404809	-1.605900E+01
14	  0.022605211	-7.020000E-01	  0.022605211	-1.459310E+02	  0.022605211	2.210000E+00	  0.022605211	-1.529100E+01
15	  0.022805611	-7.080000E-01	  0.022805611	-1.475290E+02	  0.022805611	2.211000E+00	  0.022805611	-1.453300E+01
16	  0.023006011	-7.140000E-01	  0.023006011	-1.491130E+02	  0.023006011	2.211000E+00	  0.023006011	-1.378700E+01
