! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may8/255.ew.m6.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 10:24:44 AM	05/08/2018 10:22:10 AM
! INTERNAL TEMP:    	47.5 C	47.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-124.39°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.741 ohm, -3.169 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-8.920000E-01	  0.020000000	-1.243870E+02	  0.020000000	3.278000E+00	  0.020000000	-2.628000E+01
2	  0.020200402	-8.980000E-01	  0.020200402	-1.258110E+02	  0.020200402	3.258000E+00	  0.020200402	-2.549300E+01
3	  0.020400802	-9.050000E-01	  0.020400802	-1.272280E+02	  0.020400802	3.241000E+00	  0.020400802	-2.472000E+01
4	  0.020601204	-9.110000E-01	  0.020601204	-1.286660E+02	  0.020601204	3.224000E+00	  0.020601204	-2.394600E+01
5	  0.020801604	-9.230000E-01	  0.020801604	-1.301140E+02	  0.020801604	3.227000E+00	  0.020801604	-2.317400E+01
6	  0.021002004	-9.360000E-01	  0.021002004	-1.316080E+02	  0.021002004	3.235000E+00	  0.021002004	-2.238700E+01
7	  0.021202406	-9.480000E-01	  0.021202406	-1.330850E+02	  0.021202406	3.239000E+00	  0.021202406	-2.161900E+01
8	  0.021402806	-9.580000E-01	  0.021402806	-1.345970E+02	  0.021402806	3.237000E+00	  0.021402806	-2.084100E+01
9	  0.021603208	-9.690000E-01	  0.021603208	-1.360780E+02	  0.021603208	3.239000E+00	  0.021603208	-2.008800E+01
10	  0.021803608	-9.780000E-01	  0.021803608	-1.375710E+02	  0.021803608	3.235000E+00	  0.021803608	-1.933700E+01
11	  0.022004008	-9.900000E-01	  0.022004008	-1.390690E+02	  0.022004008	3.243000E+00	  0.022004008	-1.859000E+01
12	  0.022204408	-1.002000E+00	  0.022204408	-1.405770E+02	  0.022204408	3.250000E+00	  0.022204408	-1.784600E+01
13	  0.022404809	-1.013000E+00	  0.022404809	-1.420970E+02	  0.022404809	3.254000E+00	  0.022404809	-1.710300E+01
14	  0.022605211	-1.022000E+00	  0.022605211	-1.436340E+02	  0.022605211	3.255000E+00	  0.022605211	-1.635900E+01
15	  0.022805611	-1.035000E+00	  0.022805611	-1.451850E+02	  0.022805611	3.267000E+00	  0.022805611	-1.561500E+01
16	  0.023006011	-1.043000E+00	  0.023006011	-1.467280E+02	  0.023006011	3.266000E+00	  0.023006011	-1.488100E+01
17	  0.023206413	-1.051000E+00	  0.023206413	-1.482650E+02	  0.023206413	3.265000E+00	  0.023206413	-1.415600E+01
18	  0.023406813	-1.059000E+00	  0.023406813	-1.497920E+02	  0.023406813	3.266000E+00	  0.023406813	-1.344000E+01
19	  0.023607215	-1.066000E+00	  0.023607215	-1.513230E+02	  0.023607215	3.266000E+00	  0.023607215	-1.272900E+01
20	  0.023807615	-1.078000E+00	  0.023807615	-1.528870E+02	  0.023807615	3.279000E+00	  0.023807615	-1.200600E+01
