! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/b252.ew.m1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 09:24:18 PM	05/09/2018 09:20:00 PM
! INTERNAL TEMP:    	50.8 C	51.0 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.57°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.525 ohm, -1.147 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.270000E-01	  0.020000000	-1.255690E+02	  0.020000000	2.280000E+00	  0.020000000	-2.567100E+01
2	  0.020200402	-6.280000E-01	  0.020200402	-1.270160E+02	  0.020200402	2.255000E+00	  0.020200402	-2.487900E+01
3	  0.020400802	-6.300000E-01	  0.020400802	-1.284910E+02	  0.020400802	2.234000E+00	  0.020400802	-2.408200E+01
4	  0.020601204	-6.320000E-01	  0.020601204	-1.299690E+02	  0.020601204	2.215000E+00	  0.020601204	-2.329400E+01
5	  0.020801604	-6.360000E-01	  0.020801604	-1.314780E+02	  0.020801604	2.203000E+00	  0.020801604	-2.249800E+01
6	  0.021002004	-6.380000E-01	  0.021002004	-1.330100E+02	  0.021002004	2.183000E+00	  0.021002004	-2.170000E+01
7	  0.021202406	-6.420000E-01	  0.021202406	-1.345290E+02	  0.021202406	2.171000E+00	  0.021202406	-2.091700E+01
8	  0.021402806	-6.430000E-01	  0.021402806	-1.360560E+02	  0.021402806	2.152000E+00	  0.021402806	-2.014000E+01
9	  0.021603208	-6.450000E-01	  0.021603208	-1.375750E+02	  0.021603208	2.135000E+00	  0.021603208	-1.937500E+01
10	  0.021803608	-6.490000E-01	  0.021803608	-1.390940E+02	  0.021803608	2.128000E+00	  0.021803608	-1.861700E+01
11	  0.022004008	-6.540000E-01	  0.022004008	-1.406370E+02	  0.022004008	2.121000E+00	  0.022004008	-1.785500E+01
12	  0.022204408	-6.600000E-01	  0.022204408	-1.421880E+02	  0.022204408	2.121000E+00	  0.022204408	-1.709600E+01
13	  0.022404809	-6.640000E-01	  0.022404809	-1.437620E+02	  0.022404809	2.115000E+00	  0.022404809	-1.633400E+01
14	  0.022605211	-6.660000E-01	  0.022605211	-1.453520E+02	  0.022605211	2.104000E+00	  0.022605211	-1.557000E+01
15	  0.022805611	-6.700000E-01	  0.022805611	-1.469440E+02	  0.022805611	2.099000E+00	  0.022805611	-1.481200E+01
16	  0.023006011	-6.740000E-01	  0.023006011	-1.485220E+02	  0.023006011	2.095000E+00	  0.023006011	-1.406700E+01
17	  0.023206413	-6.780000E-01	  0.023206413	-1.501180E+02	  0.023206413	2.091000E+00	  0.023206413	-1.332000E+01
18	  0.023406813	-6.840000E-01	  0.023406813	-1.517050E+02	  0.023406813	2.094000E+00	  0.023406813	-1.258200E+01
19	  0.023607215	-6.910000E-01	  0.023607215	-1.533060E+02	  0.023607215	2.101000E+00	  0.023607215	-1.184200E+01
20	  0.023807615	-7.010000E-01	  0.023807615	-1.549260E+02	  0.023807615	2.116000E+00	  0.023807615	-1.109900E+01
21	  0.024008015	-7.090000E-01	  0.024008015	-1.565660E+02	  0.024008015	2.129000E+00	  0.024008015	-1.035100E+01
22	  0.024208417	-7.160000E-01	  0.024208417	-1.582220E+02	  0.024208417	2.137000E+00	  0.024208417	-9.601000E+00
23	  0.024408817	-7.230000E-01	  0.024408817	-1.598790E+02	  0.024408817	2.145000E+00	  0.024408817	-8.854000E+00
24	  0.024609219	-7.310000E-01	  0.024609219	-1.615510E+02	  0.024609219	2.160000E+00	  0.024609219	-8.105000E+00
