! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/252.ns.m10.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 09:13:46 AM	05/09/2018 09:02:47 AM
! INTERNAL TEMP:    	42.0 C	40.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-123.55°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.531 ohm, -4.228 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-5.940000E-01	  0.020000000	-1.235530E+02	  0.020000000	2.201000E+00	  0.020000000	-2.679500E+01
2	  0.020200402	-5.920000E-01	  0.020200402	-1.249670E+02	  0.020200402	2.168000E+00	  0.020200402	-2.600800E+01
3	  0.020400802	-5.940000E-01	  0.020400802	-1.263840E+02	  0.020400802	2.145000E+00	  0.020400802	-2.522800E+01
4	  0.020601204	-5.960000E-01	  0.020601204	-1.278190E+02	  0.020601204	2.127000E+00	  0.020601204	-2.444800E+01
5	  0.020801604	-6.020000E-01	  0.020801604	-1.292690E+02	  0.020801604	2.120000E+00	  0.020801604	-2.366900E+01
6	  0.021002004	-6.070000E-01	  0.021002004	-1.307490E+02	  0.021002004	2.116000E+00	  0.021002004	-2.288400E+01
7	  0.021202406	-6.140000E-01	  0.021202406	-1.322590E+02	  0.021202406	2.112000E+00	  0.021202406	-2.209300E+01
8	  0.021402806	-6.200000E-01	  0.021402806	-1.337310E+02	  0.021402806	2.112000E+00	  0.021402806	-2.133000E+01
9	  0.021603208	-6.230000E-01	  0.021603208	-1.352230E+02	  0.021603208	2.096000E+00	  0.021603208	-2.056500E+01
10	  0.021803608	-6.280000E-01	  0.021803608	-1.367050E+02	  0.021803608	2.092000E+00	  0.021803608	-1.981400E+01
11	  0.022004008	-6.350000E-01	  0.022004008	-1.381850E+02	  0.022004008	2.093000E+00	  0.022004008	-1.907100E+01
12	  0.022204408	-6.370000E-01	  0.022204408	-1.397090E+02	  0.022204408	2.079000E+00	  0.022204408	-1.831400E+01
13	  0.022404809	-6.410000E-01	  0.022404809	-1.412190E+02	  0.022404809	2.073000E+00	  0.022404809	-1.757100E+01
14	  0.022605211	-6.460000E-01	  0.022605211	-1.427560E+02	  0.022605211	2.071000E+00	  0.022605211	-1.682200E+01
15	  0.022805611	-6.520000E-01	  0.022805611	-1.442900E+02	  0.022805611	2.072000E+00	  0.022805611	-1.608000E+01
16	  0.023006011	-6.530000E-01	  0.023006011	-1.458100E+02	  0.023006011	2.059000E+00	  0.023006011	-1.535300E+01
17	  0.023206413	-6.520000E-01	  0.023206413	-1.473310E+02	  0.023206413	2.038000E+00	  0.023206413	-1.463000E+01
18	  0.023406813	-6.540000E-01	  0.023406813	-1.488460E+02	  0.023406813	2.029000E+00	  0.023406813	-1.391700E+01
19	  0.023607215	-6.600000E-01	  0.023607215	-1.503900E+02	  0.023607215	2.032000E+00	  0.023607215	-1.319400E+01
20	  0.023807615	-6.680000E-01	  0.023807615	-1.519310E+02	  0.023807615	2.043000E+00	  0.023807615	-1.247800E+01
21	  0.024008015	-6.780000E-01	  0.024008015	-1.534850E+02	  0.024008015	2.058000E+00	  0.024008015	-1.176100E+01
22	  0.024208417	-6.860000E-01	  0.024208417	-1.550690E+02	  0.024208417	2.070000E+00	  0.024208417	-1.103400E+01
23	  0.024408817	-6.940000E-01	  0.024408817	-1.566500E+02	  0.024408817	2.082000E+00	  0.024408817	-1.031400E+01
24	  0.024609219	-7.010000E-01	  0.024609219	-1.582470E+02	  0.024609219	2.092000E+00	  0.024609219	-9.590000E+00
25	  0.024809619	-7.090000E-01	  0.024809619	-1.598440E+02	  0.024809619	2.105000E+00	  0.024809619	-8.870000E+00
26	  0.025010020	-7.190000E-01	  0.025010020	-1.614400E+02	  0.025010020	2.125000E+00	  0.025010020	-8.155000E+00
27	  0.025210422	-7.300000E-01	  0.025210422	-1.630560E+02	  0.025210422	2.149000E+00	  0.025210422	-7.433000E+00
28	  0.025410822	-7.430000E-01	  0.025410822	-1.646920E+02	  0.025410822	2.178000E+00	  0.025410822	-6.706000E+00
29	  0.025611224	-7.570000E-01	  0.025611224	-1.663620E+02	  0.025611224	2.210000E+00	  0.025611224	-5.967000E+00
30	  0.025811624	-7.680000E-01	  0.025811624	-1.680420E+02	  0.025811624	2.233000E+00	  0.025811624	-5.226000E+00
31	  0.026012026	-7.760000E-01	  0.026012026	-1.697260E+02	  0.026012026	2.251000E+00	  0.026012026	-4.485000E+00
32	  0.026212426	-7.870000E-01	  0.026212426	-1.714250E+02	  0.026212426	2.278000E+00	  0.026212426	-3.740000E+00
33	  0.026412826	-7.990000E-01	  0.026412826	-1.731260E+02	  0.026412826	2.307000E+00	  0.026412826	-2.996000E+00
34	  0.026613226	-8.120000E-01	  0.026613226	-1.748330E+02	  0.026613226	2.341000E+00	  0.026613226	-2.250000E+00
35	  0.026813626	-8.270000E-01	  0.026813626	-1.765680E+02	  0.026813626	2.383000E+00	  0.026813626	-1.494000E+00
36	  0.027014028	-8.420000E-01	  0.027014028	-1.783010E+02	  0.027014028	2.422000E+00	  0.027014028	-7.390000E-01
37	  0.027214428	-8.570000E-01	  0.027214428	1.799580E+02	  0.027214428	2.464000E+00	  0.027214428	1.800000E-02
38	  0.027414829	-8.710000E-01	  0.027414829	1.781910E+02	  0.027414829	2.507000E+00	  0.027414829	7.870000E-01
39	  0.027615231	-8.880000E-01	  0.027615231	1.764220E+02	  0.027615231	2.556000E+00	  0.027615231	1.557000E+00
40	  0.027815631	-9.070000E-01	  0.027815631	1.746440E+02	  0.027815631	2.615000E+00	  0.027815631	2.332000E+00
41	  0.028016033	-9.290000E-01	  0.028016033	1.728540E+02	  0.028016033	2.682000E+00	  0.028016033	3.112000E+00
42	  0.028216433	-9.500000E-01	  0.028216433	1.710640E+02	  0.028216433	2.748000E+00	  0.028216433	3.895000E+00
43	  0.028416833	-9.700000E-01	  0.028416833	1.692580E+02	  0.028416833	2.814000E+00	  0.028416833	4.686000E+00
44	  0.028617235	-9.900000E-01	  0.028617235	1.674730E+02	  0.028617235	2.881000E+00	  0.028617235	5.469000E+00
45	  0.028817635	-1.009000E+00	  0.028817635	1.656960E+02	  0.028817635	2.946000E+00	  0.028817635	6.252000E+00
46	  0.029018037	-1.029000E+00	  0.029018037	1.639160E+02	  0.029018037	3.019000E+00	  0.029018037	7.039000E+00
47	  0.029218437	-1.051000E+00	  0.029218437	1.621400E+02	  0.029218437	3.097000E+00	  0.029218437	7.827000E+00
48	  0.029418837	-1.076000E+00	  0.029418837	1.603630E+02	  0.029418837	3.187000E+00	  0.029418837	8.618000E+00
49	  0.029619239	-1.103000E+00	  0.029619239	1.585680E+02	  0.029619239	3.285000E+00	  0.029619239	9.422000E+00
50	  0.029819639	-1.132000E+00	  0.029819639	1.567580E+02	  0.029819639	3.392000E+00	  0.029819639	1.023700E+01
51	  0.030020041	-1.165000E+00	  0.030020041	1.549260E+02	  0.030020041	3.513000E+00	  0.030020041	1.106600E+01
52	  0.030220442	-1.193000E+00	  0.030220442	1.530780E+02	  0.030220442	3.625000E+00	  0.030220442	1.190800E+01
53	  0.030420844	-1.224000E+00	  0.030420844	1.512340E+02	  0.030420844	3.748000E+00	  0.030420844	1.275400E+01
54	  0.030621244	-1.257000E+00	  0.030621244	1.494000E+02	  0.030621244	3.881000E+00	  0.030621244	1.360100E+01
55	  0.030821644	-1.291000E+00	  0.030821644	1.475690E+02	  0.030821644	4.020000E+00	  0.030821644	1.445400E+01
56	  0.031022044	-1.328000E+00	  0.031022044	1.457120E+02	  0.031022044	4.176000E+00	  0.031022044	1.532500E+01
57	  0.031222444	-1.363000E+00	  0.031222444	1.438700E+02	  0.031222444	4.330000E+00	  0.031222444	1.619700E+01
58	  0.031422846	-1.398000E+00	  0.031422846	1.419560E+02	  0.031422846	4.490000E+00	  0.031422846	1.711300E+01
59	  0.031623244	-1.434000E+00	  0.031623244	1.400400E+02	  0.031623244	4.659000E+00	  0.031623244	1.803900E+01
60	  0.031823646	-1.467000E+00	  0.031823646	1.381130E+02	  0.031823646	4.824000E+00	  0.031823646	1.898100E+01
61	  0.032024048	-1.498000E+00	  0.032024048	1.361900E+02	  0.032024048	4.991000E+00	  0.032024048	1.993100E+01
62	  0.032224450	-1.530000E+00	  0.032224450	1.342700E+02	  0.032224450	5.169000E+00	  0.032224450	2.089200E+01
63	  0.032424849	-1.561000E+00	  0.032424849	1.323480E+02	  0.032424849	5.347000E+00	  0.032424849	2.186700E+01
64	  0.032625251	-1.596000E+00	  0.032625251	1.304220E+02	  0.032625251	5.548000E+00	  0.032625251	2.285600E+01
