! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/254.ew.m6.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 11:56:09 AM	05/09/2018 11:52:33 AM
! INTERNAL TEMP:    	54.0 C	53.5 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.69°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.099 ohm, -0.957 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.310000E-01	  0.020000000	-1.266860E+02	  0.020000000	2.273000E+00	  0.020000000	-2.505800E+01
2	  0.020200402	-6.320000E-01	  0.020200402	-1.281560E+02	  0.020200402	2.248000E+00	  0.020200402	-2.426200E+01
3	  0.020400802	-6.360000E-01	  0.020400802	-1.296190E+02	  0.020400802	2.235000E+00	  0.020400802	-2.347900E+01
4	  0.020601204	-6.390000E-01	  0.020601204	-1.311220E+02	  0.020601204	2.219000E+00	  0.020601204	-2.268400E+01
5	  0.020801604	-6.410000E-01	  0.020801604	-1.326440E+02	  0.020801604	2.198000E+00	  0.020801604	-2.188900E+01
6	  0.021002004	-6.420000E-01	  0.021002004	-1.341810E+02	  0.021002004	2.176000E+00	  0.021002004	-2.109600E+01
7	  0.021202406	-6.430000E-01	  0.021202406	-1.357290E+02	  0.021202406	2.157000E+00	  0.021202406	-2.030600E+01
8	  0.021402806	-6.480000E-01	  0.021402806	-1.372600E+02	  0.021402806	2.152000E+00	  0.021402806	-1.953200E+01
9	  0.021603208	-6.490000E-01	  0.021603208	-1.387810E+02	  0.021603208	2.132000E+00	  0.021603208	-1.877300E+01
10	  0.021803608	-6.530000E-01	  0.021803608	-1.403210E+02	  0.021803608	2.125000E+00	  0.021803608	-1.801000E+01
11	  0.022004008	-6.590000E-01	  0.022004008	-1.418580E+02	  0.022004008	2.122000E+00	  0.022004008	-1.725700E+01
12	  0.022204408	-6.620000E-01	  0.022204408	-1.434300E+02	  0.022204408	2.114000E+00	  0.022204408	-1.649400E+01
13	  0.022404809	-6.690000E-01	  0.022404809	-1.450000E+02	  0.022404809	2.116000E+00	  0.022404809	-1.573900E+01
14	  0.022605211	-6.740000E-01	  0.022605211	-1.465870E+02	  0.022605211	2.115000E+00	  0.022605211	-1.498100E+01
15	  0.022805611	-6.760000E-01	  0.022805611	-1.481800E+02	  0.022805611	2.105000E+00	  0.022805611	-1.422800E+01
16	  0.023006011	-6.810000E-01	  0.023006011	-1.497710E+02	  0.023006011	2.101000E+00	  0.023006011	-1.348200E+01
17	  0.023206413	-6.860000E-01	  0.023206413	-1.513520E+02	  0.023206413	2.102000E+00	  0.023206413	-1.274500E+01
18	  0.023406813	-6.910000E-01	  0.023406813	-1.529430E+02	  0.023406813	2.103000E+00	  0.023406813	-1.200900E+01
19	  0.023607215	-6.970000E-01	  0.023607215	-1.545320E+02	  0.023607215	2.108000E+00	  0.023607215	-1.127900E+01
20	  0.023807615	-7.060000E-01	  0.023807615	-1.561380E+02	  0.023807615	2.122000E+00	  0.023807615	-1.054600E+01
21	  0.024008015	-7.120000E-01	  0.024008015	-1.577730E+02	  0.024008015	2.128000E+00	  0.024008015	-9.804000E+00
22	  0.024208417	-7.190000E-01	  0.024208417	-1.594250E+02	  0.024208417	2.138000E+00	  0.024208417	-9.059000E+00
23	  0.024408817	-7.260000E-01	  0.024408817	-1.610830E+02	  0.024408817	2.146000E+00	  0.024408817	-8.314000E+00
24	  0.024609219	-7.330000E-01	  0.024609219	-1.627370E+02	  0.024609219	2.158000E+00	  0.024609219	-7.576000E+00
25	  0.024809619	-7.410000E-01	  0.024809619	-1.644000E+02	  0.024809619	2.172000E+00	  0.024809619	-6.836000E+00
26	  0.025010020	-7.490000E-01	  0.025010020	-1.660620E+02	  0.025010020	2.188000E+00	  0.025010020	-6.099000E+00
27	  0.025210422	-7.600000E-01	  0.025210422	-1.677420E+02	  0.025210422	2.211000E+00	  0.025210422	-5.358000E+00
28	  0.025410822	-7.690000E-01	  0.025410822	-1.694290E+02	  0.025410822	2.233000E+00	  0.025410822	-4.616000E+00
29	  0.025611224	-7.800000E-01	  0.025611224	-1.711340E+02	  0.025611224	2.259000E+00	  0.025611224	-3.868000E+00
30	  0.025811624	-7.920000E-01	  0.025811624	-1.728530E+02	  0.025811624	2.288000E+00	  0.025811624	-3.115000E+00
31	  0.026012026	-8.020000E-01	  0.026012026	-1.745810E+02	  0.026012026	2.312000E+00	  0.026012026	-2.360000E+00
32	  0.026212426	-8.130000E-01	  0.026212426	-1.763170E+02	  0.026212426	2.342000E+00	  0.026212426	-1.603000E+00
33	  0.026412826	-8.270000E-01	  0.026412826	-1.780600E+02	  0.026412826	2.379000E+00	  0.026412826	-8.440000E-01
34	  0.026613226	-8.400000E-01	  0.026613226	-1.798190E+02	  0.026613226	2.418000E+00	  0.026613226	-7.800000E-02
35	  0.026813626	-8.540000E-01	  0.026813626	1.784140E+02	  0.026813626	2.459000E+00	  0.026813626	6.900000E-01
36	  0.027014028	-8.690000E-01	  0.027014028	1.766470E+02	  0.027014028	2.501000E+00	  0.027014028	1.459000E+00
37	  0.027214428	-8.860000E-01	  0.027214428	1.748660E+02	  0.027214428	2.553000E+00	  0.027214428	2.235000E+00
38	  0.027414829	-9.000000E-01	  0.027414829	1.730830E+02	  0.027414829	2.600000E+00	  0.027414829	3.013000E+00
39	  0.027615231	-9.180000E-01	  0.027615231	1.712800E+02	  0.027615231	2.656000E+00	  0.027615231	3.801000E+00
40	  0.027815631	-9.340000E-01	  0.027815631	1.694690E+02	  0.027815631	2.710000E+00	  0.027815631	4.594000E+00
41	  0.028016033	-9.520000E-01	  0.028016033	1.676550E+02	  0.028016033	2.771000E+00	  0.028016033	5.390000E+00
42	  0.028216433	-9.710000E-01	  0.028216433	1.658140E+02	  0.028216433	2.836000E+00	  0.028216433	6.201000E+00
43	  0.028416833	-9.900000E-01	  0.028416833	1.639830E+02	  0.028416833	2.903000E+00	  0.028416833	7.011000E+00
44	  0.028617235	-1.009000E+00	  0.028617235	1.621340E+02	  0.028617235	2.974000E+00	  0.028617235	7.832000E+00
45	  0.028817635	-1.029000E+00	  0.028817635	1.602990E+02	  0.028817635	3.047000E+00	  0.028817635	8.650000E+00
46	  0.029018037	-1.051000E+00	  0.029018037	1.584510E+02	  0.029018037	3.132000E+00	  0.029018037	9.478000E+00
