! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/254.ew.m9.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 12:01:43 PM	05/09/2018 11:52:33 AM
! INTERNAL TEMP:    	54.3 C	53.5 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.61°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.131 ohm, -1.022 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.400000E-01	  0.020000000	-1.266070E+02	  0.020000000	2.308000E+00	  0.020000000	-2.510000E+01
2	  0.020200402	-6.400000E-01	  0.020200402	-1.280840E+02	  0.020200402	2.279000E+00	  0.020200402	-2.430000E+01
3	  0.020400802	-6.440000E-01	  0.020400802	-1.295570E+02	  0.020400802	2.264000E+00	  0.020400802	-2.351100E+01
4	  0.020601204	-6.460000E-01	  0.020601204	-1.310640E+02	  0.020601204	2.246000E+00	  0.020601204	-2.271400E+01
5	  0.020801604	-6.490000E-01	  0.020801604	-1.326000E+02	  0.020801604	2.229000E+00	  0.020801604	-2.191100E+01
6	  0.021002004	-6.510000E-01	  0.021002004	-1.341440E+02	  0.021002004	2.209000E+00	  0.021002004	-2.111400E+01
7	  0.021202406	-6.520000E-01	  0.021202406	-1.356930E+02	  0.021202406	2.189000E+00	  0.021202406	-2.032300E+01
8	  0.021402806	-6.570000E-01	  0.021402806	-1.372400E+02	  0.021402806	2.182000E+00	  0.021402806	-1.954100E+01
9	  0.021603208	-6.580000E-01	  0.021603208	-1.387700E+02	  0.021603208	2.161000E+00	  0.021603208	-1.877700E+01
10	  0.021803608	-6.620000E-01	  0.021803608	-1.403170E+02	  0.021803608	2.153000E+00	  0.021803608	-1.801200E+01
11	  0.022004008	-6.670000E-01	  0.022004008	-1.418650E+02	  0.022004008	2.149000E+00	  0.022004008	-1.725300E+01
12	  0.022204408	-6.690000E-01	  0.022204408	-1.434440E+02	  0.022204408	2.135000E+00	  0.022204408	-1.648700E+01
13	  0.022404809	-6.780000E-01	  0.022404809	-1.450140E+02	  0.022404809	2.146000E+00	  0.022404809	-1.573100E+01
14	  0.022605211	-6.820000E-01	  0.022605211	-1.466090E+02	  0.022605211	2.141000E+00	  0.022605211	-1.497000E+01
15	  0.022805611	-6.830000E-01	  0.022805611	-1.482020E+02	  0.022805611	2.125000E+00	  0.022805611	-1.421700E+01
16	  0.023006011	-6.850000E-01	  0.023006011	-1.498010E+02	  0.023006011	2.115000E+00	  0.023006011	-1.346700E+01
17	  0.023206413	-6.900000E-01	  0.023206413	-1.513770E+02	  0.023206413	2.115000E+00	  0.023206413	-1.273300E+01
18	  0.023406813	-6.960000E-01	  0.023406813	-1.529580E+02	  0.023406813	2.118000E+00	  0.023406813	-1.200200E+01
19	  0.023607215	-7.030000E-01	  0.023607215	-1.545350E+02	  0.023607215	2.126000E+00	  0.023607215	-1.127800E+01
20	  0.023807615	-7.120000E-01	  0.023807615	-1.561360E+02	  0.023807615	2.141000E+00	  0.023807615	-1.054700E+01
21	  0.024008015	-7.170000E-01	  0.024008015	-1.577660E+02	  0.024008015	2.143000E+00	  0.024008015	-9.807000E+00
22	  0.024208417	-7.230000E-01	  0.024208417	-1.594080E+02	  0.024208417	2.151000E+00	  0.024208417	-9.066000E+00
23	  0.024408817	-7.300000E-01	  0.024408817	-1.610550E+02	  0.024408817	2.158000E+00	  0.024408817	-8.327000E+00
24	  0.024609219	-7.360000E-01	  0.024609219	-1.626960E+02	  0.024609219	2.166000E+00	  0.024609219	-7.594000E+00
25	  0.024809619	-7.440000E-01	  0.024809619	-1.643470E+02	  0.024809619	2.182000E+00	  0.024809619	-6.859000E+00
26	  0.025010020	-7.530000E-01	  0.025010020	-1.660030E+02	  0.025010020	2.199000E+00	  0.025010020	-6.125000E+00
27	  0.025210422	-7.640000E-01	  0.025210422	-1.676760E+02	  0.025210422	2.224000E+00	  0.025210422	-5.387000E+00
28	  0.025410822	-7.740000E-01	  0.025410822	-1.693620E+02	  0.025410822	2.245000E+00	  0.025410822	-4.645000E+00
29	  0.025611224	-7.850000E-01	  0.025611224	-1.710630E+02	  0.025611224	2.272000E+00	  0.025611224	-3.899000E+00
30	  0.025811624	-7.950000E-01	  0.025811624	-1.727750E+02	  0.025811624	2.297000E+00	  0.025811624	-3.149000E+00
31	  0.026012026	-8.070000E-01	  0.026012026	-1.745060E+02	  0.026012026	2.326000E+00	  0.026012026	-2.393000E+00
32	  0.026212426	-8.180000E-01	  0.026212426	-1.762470E+02	  0.026212426	2.357000E+00	  0.026212426	-1.634000E+00
33	  0.026412826	-8.320000E-01	  0.026412826	-1.779900E+02	  0.026412826	2.394000E+00	  0.026412826	-8.750000E-01
34	  0.026613226	-8.460000E-01	  0.026613226	-1.797570E+02	  0.026613226	2.435000E+00	  0.026613226	-1.050000E-01
35	  0.026813626	-8.610000E-01	  0.026813626	1.784720E+02	  0.026813626	2.477000E+00	  0.026813626	6.640000E-01
36	  0.027014028	-8.760000E-01	  0.027014028	1.766920E+02	  0.027014028	2.521000E+00	  0.027014028	1.439000E+00
37	  0.027214428	-8.920000E-01	  0.027214428	1.749030E+02	  0.027214428	2.571000E+00	  0.027214428	2.219000E+00
38	  0.027414829	-9.070000E-01	  0.027414829	1.731190E+02	  0.027414829	2.620000E+00	  0.027414829	2.997000E+00
39	  0.027615231	-9.250000E-01	  0.027615231	1.712990E+02	  0.027615231	2.676000E+00	  0.027615231	3.792000E+00
40	  0.027815631	-9.410000E-01	  0.027815631	1.694760E+02	  0.027815631	2.731000E+00	  0.027815631	4.591000E+00
41	  0.028016033	-9.580000E-01	  0.028016033	1.676500E+02	  0.028016033	2.789000E+00	  0.028016033	5.392000E+00
42	  0.028216433	-9.780000E-01	  0.028216433	1.657940E+02	  0.028216433	2.857000E+00	  0.028216433	6.210000E+00
43	  0.028416833	-9.960000E-01	  0.028416833	1.639560E+02	  0.028416833	2.921000E+00	  0.028416833	7.022000E+00
44	  0.028617235	-1.016000E+00	  0.028617235	1.621080E+02	  0.028617235	2.993000E+00	  0.028617235	7.843000E+00
45	  0.028817635	-1.035000E+00	  0.028817635	1.602560E+02	  0.028817635	3.067000E+00	  0.028817635	8.669000E+00
46	  0.029018037	-1.056000E+00	  0.029018037	1.584140E+02	  0.029018037	3.147000E+00	  0.029018037	9.494000E+00
47	  0.029218437	-1.079000E+00	  0.029218437	1.565480E+02	  0.029218437	3.236000E+00	  0.029218437	1.033600E+01
48	  0.029418837	-1.102000E+00	  0.029418837	1.546620E+02	  0.029418837	3.329000E+00	  0.029418837	1.119100E+01
49	  0.029619239	-1.125000E+00	  0.029619239	1.527860E+02	  0.029619239	3.423000E+00	  0.029619239	1.204800E+01
50	  0.029819639	-1.150000E+00	  0.029819639	1.508970E+02	  0.029819639	3.529000E+00	  0.029819639	1.291800E+01
51	  0.030020041	-1.175000E+00	  0.030020041	1.489950E+02	  0.030020041	3.637000E+00	  0.030020041	1.380000E+01
52	  0.030220442	-1.200000E+00	  0.030220442	1.471070E+02	  0.030220442	3.747000E+00	  0.030220442	1.468300E+01
53	  0.030420844	-1.226000E+00	  0.030420844	1.452120E+02	  0.030420844	3.869000E+00	  0.030420844	1.557700E+01
54	  0.030621244	-1.254000E+00	  0.030621244	1.433290E+02	  0.030621244	3.996000E+00	  0.030621244	1.647400E+01
55	  0.030821642	-1.284000E+00	  0.030821642	1.414180E+02	  0.030821642	4.139000E+00	  0.030821642	1.739300E+01
56	  0.031022044	-1.314000E+00	  0.031022044	1.394930E+02	  0.031022044	4.288000E+00	  0.031022044	1.832900E+01
57	  0.031222444	-1.338000E+00	  0.031222444	1.375740E+02	  0.031222444	4.419000E+00	  0.031222444	1.927400E+01
58	  0.031422846	-1.371000E+00	  0.031422846	1.356210E+02	  0.031422846	4.591000E+00	  0.031422846	2.024600E+01
59	  0.031623244	-1.405000E+00	  0.031623244	1.336500E+02	  0.031623244	4.769000E+00	  0.031623244	2.123900E+01
60	  0.031823646	-1.439000E+00	  0.031823646	1.316830E+02	  0.031823646	4.958000E+00	  0.031823646	2.224300E+01
61	  0.032024048	-1.473000E+00	  0.032024048	1.296950E+02	  0.032024048	5.156000E+00	  0.032024048	2.327200E+01
62	  0.032224450	-1.508000E+00	  0.032224450	1.277250E+02	  0.032224450	5.363000E+00	  0.032224450	2.430700E+01
63	  0.032424849	-1.545000E+00	  0.032424849	1.257400E+02	  0.032424849	5.589000E+00	  0.032424849	2.536400E+01
64	  0.032625251	-1.583000E+00	  0.032625251	1.237160E+02	  0.032625251	5.830000E+00	  0.032625251	2.646100E+01
65	  0.032825653	-1.620000E+00	  0.032825653	1.216840E+02	  0.032825653	6.083000E+00	  0.032825653	2.757900E+01
66	  0.033026051	-1.656000E+00	  0.033026051	1.196360E+02	  0.033026051	6.343000E+00	  0.033026051	2.872800E+01
67	  0.033226453	-1.693000E+00	  0.033226453	1.176000E+02	  0.033226453	6.619000E+00	  0.033226453	2.989100E+01
68	  0.033426855	-1.732000E+00	  0.033426855	1.155690E+02	  0.033426855	6.915000E+00	  0.033426855	3.107200E+01
69	  0.033627257	-1.771000E+00	  0.033627257	1.135180E+02	  0.033627257	7.229000E+00	  0.033627257	3.228800E+01
70	  0.033827655	-1.811000E+00	  0.033827655	1.114770E+02	  0.033827655	7.567000E+00	  0.033827655	3.352200E+01
71	  0.034028057	-1.850000E+00	  0.034028057	1.094030E+02	  0.034028057	7.920000E+00	  0.034028057	3.480400E+01
72	  0.034228459	-1.892000E+00	  0.034228459	1.073380E+02	  0.034228459	8.306000E+00	  0.034228459	3.610700E+01
73	  0.034428857	-1.934000E+00	  0.034428857	1.052630E+02	  0.034428857	8.716000E+00	  0.034428857	3.744500E+01
74	  0.034629259	-1.976000E+00	  0.034629259	1.031730E+02	  0.034629259	9.153000E+00	  0.034629259	3.882600E+01
