! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/254.ns.m8.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 01:01:31 PM	05/09/2018 12:54:36 PM
! INTERNAL TEMP:    	58.5 C	58.3 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.72°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.513 ohm, -1.493 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.370000E-01	  0.020000000	-1.267150E+02	  0.020000000	2.294000E+00	  0.020000000	-2.504200E+01
2	  0.020200402	-6.400000E-01	  0.020200402	-1.281830E+02	  0.020200402	2.275000E+00	  0.020200402	-2.424600E+01
3	  0.020400802	-6.440000E-01	  0.020400802	-1.296620E+02	  0.020400802	2.262000E+00	  0.020400802	-2.345500E+01
4	  0.020601204	-6.480000E-01	  0.020601204	-1.311690E+02	  0.020601204	2.249000E+00	  0.020601204	-2.265800E+01
5	  0.020801604	-6.510000E-01	  0.020801604	-1.327160E+02	  0.020801604	2.232000E+00	  0.020801604	-2.185100E+01
6	  0.021002004	-6.520000E-01	  0.021002004	-1.342600E+02	  0.021002004	2.210000E+00	  0.021002004	-2.105400E+01
7	  0.021202406	-6.570000E-01	  0.021202406	-1.358160E+02	  0.021202406	2.202000E+00	  0.021202406	-2.026000E+01
8	  0.021402806	-6.590000E-01	  0.021402806	-1.373580E+02	  0.021402806	2.187000E+00	  0.021402806	-1.948200E+01
9	  0.021603208	-6.630000E-01	  0.021603208	-1.388980E+02	  0.021603208	2.175000E+00	  0.021603208	-1.871300E+01
10	  0.021803608	-6.660000E-01	  0.021803608	-1.404590E+02	  0.021803608	2.163000E+00	  0.021803608	-1.794100E+01
11	  0.022004008	-6.710000E-01	  0.022004008	-1.420120E+02	  0.022004008	2.161000E+00	  0.022004008	-1.718100E+01
12	  0.022204408	-6.790000E-01	  0.022204408	-1.435780E+02	  0.022204408	2.166000E+00	  0.022204408	-1.642100E+01
13	  0.022404809	-6.860000E-01	  0.022404809	-1.451810E+02	  0.022404809	2.170000E+00	  0.022404809	-1.565000E+01
14	  0.022605211	-6.870000E-01	  0.022605211	-1.467990E+02	  0.022605211	2.154000E+00	  0.022605211	-1.488000E+01
15	  0.022805611	-6.900000E-01	  0.022805611	-1.484160E+02	  0.022805611	2.146000E+00	  0.022805611	-1.411600E+01
16	  0.023006011	-6.950000E-01	  0.023006011	-1.500190E+02	  0.023006011	2.144000E+00	  0.023006011	-1.336500E+01
17	  0.023206413	-7.040000E-01	  0.023206413	-1.516170E+02	  0.023206413	2.154000E+00	  0.023206413	-1.262100E+01
