! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/b256.ns.m3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 07:42:13 PM	05/09/2018 07:34:34 PM
! INTERNAL TEMP:    	53.3 C	52.0 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.95°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.967 ohm, -1.381 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.350000E-01	  0.020000000	-1.269450E+02	  0.020000000	2.282000E+00	  0.020000000	-2.491700E+01
2	  0.020200402	-6.370000E-01	  0.020200402	-1.284140E+02	  0.020200402	2.260000E+00	  0.020200402	-2.412300E+01
3	  0.020400802	-6.400000E-01	  0.020400802	-1.299160E+02	  0.020400802	2.245000E+00	  0.020400802	-2.332100E+01
4	  0.020601204	-6.450000E-01	  0.020601204	-1.314130E+02	  0.020601204	2.235000E+00	  0.020601204	-2.253100E+01
5	  0.020801604	-6.480000E-01	  0.020801604	-1.329610E+02	  0.020801604	2.218000E+00	  0.020801604	-2.172400E+01
6	  0.021002004	-6.510000E-01	  0.021002004	-1.345100E+02	  0.021002004	2.204000E+00	  0.021002004	-2.092600E+01
7	  0.021202406	-6.550000E-01	  0.021202406	-1.360620E+02	  0.021202406	2.191000E+00	  0.021202406	-2.013600E+01
8	  0.021402806	-6.580000E-01	  0.021402806	-1.376040E+02	  0.021402806	2.178000E+00	  0.021402806	-1.935900E+01
9	  0.021603208	-6.640000E-01	  0.021603208	-1.391390E+02	  0.021603208	2.176000E+00	  0.021603208	-1.859400E+01
10	  0.021803608	-6.670000E-01	  0.021803608	-1.406750E+02	  0.021803608	2.166000E+00	  0.021803608	-1.783500E+01
11	  0.022004008	-6.750000E-01	  0.022004008	-1.422320E+02	  0.022004008	2.169000E+00	  0.022004008	-1.707400E+01
12	  0.022204408	-6.820000E-01	  0.022204408	-1.438130E+02	  0.022204408	2.171000E+00	  0.022204408	-1.630800E+01
13	  0.022404809	-6.880000E-01	  0.022404809	-1.454030E+02	  0.022404809	2.173000E+00	  0.022404809	-1.554400E+01
14	  0.022605211	-6.910000E-01	  0.022605211	-1.470120E+02	  0.022605211	2.162000E+00	  0.022605211	-1.477900E+01
15	  0.022805611	-6.940000E-01	  0.022805611	-1.486220E+02	  0.022805611	2.154000E+00	  0.022805611	-1.401900E+01
16	  0.023006011	-7.010000E-01	  0.023006011	-1.502180E+02	  0.023006011	2.158000E+00	  0.023006011	-1.327200E+01
17	  0.023206413	-7.060000E-01	  0.023206413	-1.518180E+02	  0.023206413	2.160000E+00	  0.023206413	-1.252800E+01
