! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/252.ns.m1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 05:13:40 PM	05/10/2018 05:07:06 PM
! INTERNAL TEMP:    	52.8 C	50.3 C
! # POINTS:         	490	490
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	117.995 991 MHz	117.995 991 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.10°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.787 ohm, -1.871 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.580000E-01	  0.020000000	-1.251010E+02	  0.020000000	2.405000E+00	  0.020000000	-2.592400E+01
2	  0.020200402	-6.590000E-01	  0.020200402	-1.265520E+02	  0.020200402	2.376000E+00	  0.020200402	-2.512700E+01
3	  0.020400802	-6.620000E-01	  0.020400802	-1.279830E+02	  0.020400802	2.360000E+00	  0.020400802	-2.435100E+01
4	  0.020601204	-6.670000E-01	  0.020601204	-1.294490E+02	  0.020601204	2.347000E+00	  0.020601204	-2.356500E+01
5	  0.020801604	-6.700000E-01	  0.020801604	-1.309500E+02	  0.020801604	2.329000E+00	  0.020801604	-2.277100E+01
6	  0.021002004	-6.750000E-01	  0.021002004	-1.324660E+02	  0.021002004	2.320000E+00	  0.021002004	-2.197800E+01
7	  0.021202406	-6.800000E-01	  0.021202406	-1.339760E+02	  0.021202406	2.308000E+00	  0.021202406	-2.119700E+01
8	  0.021402806	-6.820000E-01	  0.021402806	-1.354720E+02	  0.021402806	2.290000E+00	  0.021402806	-2.043200E+01
9	  0.021603208	-6.850000E-01	  0.021603208	-1.369840E+02	  0.021603208	2.279000E+00	  0.021603208	-1.966700E+01
10	  0.021803608	-6.890000E-01	  0.021803608	-1.384780E+02	  0.021803608	2.267000E+00	  0.021803608	-1.891900E+01
11	  0.022004008	-6.950000E-01	  0.022004008	-1.400100E+02	  0.022004008	2.263000E+00	  0.022004008	-1.816000E+01
12	  0.022204408	-7.020000E-01	  0.022204408	-1.415300E+02	  0.022204408	2.265000E+00	  0.022204408	-1.741400E+01
13	  0.022404809	-7.090000E-01	  0.022404809	-1.430980E+02	  0.022404809	2.266000E+00	  0.022404809	-1.665100E+01
14	  0.022605211	-7.130000E-01	  0.022605211	-1.446720E+02	  0.022605211	2.259000E+00	  0.022605211	-1.589200E+01
15	  0.022805611	-7.170000E-01	  0.022805611	-1.462500E+02	  0.022805611	2.254000E+00	  0.022805611	-1.513800E+01
16	  0.023006011	-7.210000E-01	  0.023006011	-1.478070E+02	  0.023006011	2.247000E+00	  0.023006011	-1.440100E+01
17	  0.023206413	-7.240000E-01	  0.023206413	-1.493820E+02	  0.023206413	2.238000E+00	  0.023206413	-1.366100E+01
18	  0.023406813	-7.290000E-01	  0.023406813	-1.509490E+02	  0.023406813	2.239000E+00	  0.023406813	-1.292900E+01
