! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/255.ew.m3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 01:43:27 PM	05/10/2018 01:36:00 PM
! INTERNAL TEMP:    	55.5 C	54.5 C
! # POINTS:         	492	492
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.396 793 MHz	118.396 793 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.54°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.748 ohm, -1.526 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-9.250000E-01	  0.020000000	-1.255430E+02	  0.020000000	3.362000E+00	  0.020000000	-2.563500E+01
2	  0.020200402	-9.330000E-01	  0.020200402	-1.269900E+02	  0.020200402	3.349000E+00	  0.020200402	-2.484400E+01
3	  0.020400802	-9.420000E-01	  0.020400802	-1.284240E+02	  0.020400802	3.340000E+00	  0.020400802	-2.407000E+01
4	  0.020601204	-9.500000E-01	  0.020601204	-1.298840E+02	  0.020601204	3.329000E+00	  0.020601204	-2.329100E+01
5	  0.020801604	-9.630000E-01	  0.020801604	-1.313880E+02	  0.020801604	3.332000E+00	  0.020801604	-2.249800E+01
6	  0.021002004	-9.710000E-01	  0.021002004	-1.328830E+02	  0.021002004	3.321000E+00	  0.021002004	-2.172000E+01
7	  0.021202406	-9.800000E-01	  0.021202406	-1.343910E+02	  0.021202406	3.315000E+00	  0.021202406	-2.094300E+01
8	  0.021402806	-9.900000E-01	  0.021402806	-1.358950E+02	  0.021402806	3.314000E+00	  0.021402806	-2.017700E+01
9	  0.021603208	-9.980000E-01	  0.021603208	-1.373800E+02	  0.021603208	3.304000E+00	  0.021603208	-1.942900E+01
10	  0.021803608	-1.008000E+00	  0.021803608	-1.388870E+02	  0.021803608	3.306000E+00	  0.021803608	-1.867800E+01
11	  0.022004008	-1.020000E+00	  0.022004008	-1.403810E+02	  0.022004008	3.312000E+00	  0.022004008	-1.794000E+01
12	  0.022204408	-1.032000E+00	  0.022204408	-1.418940E+02	  0.022204408	3.321000E+00	  0.022204408	-1.719900E+01
13	  0.022404809	-1.043000E+00	  0.022404809	-1.434480E+02	  0.022404809	3.324000E+00	  0.022404809	-1.644600E+01
14	  0.022605211	-1.049000E+00	  0.022605211	-1.450090E+02	  0.022605211	3.314000E+00	  0.022605211	-1.569700E+01
15	  0.022805611	-1.058000E+00	  0.022805611	-1.465650E+02	  0.022805611	3.316000E+00	  0.022805611	-1.495600E+01
16	  0.023006011	-1.067000E+00	  0.023006011	-1.481200E+02	  0.023006011	3.319000E+00	  0.023006011	-1.422200E+01
17	  0.023206413	-1.077000E+00	  0.023206413	-1.496690E+02	  0.023206413	3.323000E+00	  0.023206413	-1.349600E+01
18	  0.023406813	-1.086000E+00	  0.023406813	-1.512200E+02	  0.023406813	3.327000E+00	  0.023406813	-1.277500E+01
19	  0.023607215	-1.098000E+00	  0.023607215	-1.527830E+02	  0.023607215	3.341000E+00	  0.023607215	-1.205200E+01
20	  0.023807615	-1.111000E+00	  0.023807615	-1.543640E+02	  0.023807615	3.359000E+00	  0.023807615	-1.132700E+01
21	  0.024008015	-1.122000E+00	  0.024008015	-1.559730E+02	  0.024008015	3.370000E+00	  0.024008015	-1.059300E+01
22	  0.024208417	-1.135000E+00	  0.024208417	-1.575860E+02	  0.024208417	3.391000E+00	  0.024208417	-9.862000E+00
23	  0.024408817	-1.145000E+00	  0.024408817	-1.592130E+02	  0.024408817	3.402000E+00	  0.024408817	-9.129000E+00
