! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/256.ew.m10_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 10:33:13 AM	05/10/2018 10:22:12 AM
! INTERNAL TEMP:    	47.5 C	47.0 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.98°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.355 ohm, -1.309 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.090000E-01	  0.020000000	-1.269750E+02	  0.020000000	2.189000E+00	  0.020000000	-2.490400E+01
2	  0.020200402	-6.130000E-01	  0.020200402	-1.284410E+02	  0.020200402	2.175000E+00	  0.020200402	-2.411100E+01
3	  0.020400802	-6.160000E-01	  0.020400802	-1.299180E+02	  0.020400802	2.158000E+00	  0.020400802	-2.332300E+01
4	  0.020601204	-6.200000E-01	  0.020601204	-1.314090E+02	  0.020601204	2.148000E+00	  0.020601204	-2.253600E+01
5	  0.020801604	-6.260000E-01	  0.020801604	-1.329410E+02	  0.020801604	2.142000E+00	  0.020801604	-2.173700E+01
6	  0.021002004	-6.290000E-01	  0.021002004	-1.344850E+02	  0.021002004	2.129000E+00	  0.021002004	-2.094100E+01
7	  0.021202406	-6.350000E-01	  0.021202406	-1.360210E+02	  0.021202406	2.124000E+00	  0.021202406	-2.015900E+01
8	  0.021402806	-6.380000E-01	  0.021402806	-1.375530E+02	  0.021402806	2.114000E+00	  0.021402806	-1.938600E+01
9	  0.021603208	-6.420000E-01	  0.021603208	-1.390870E+02	  0.021603208	2.105000E+00	  0.021603208	-1.862100E+01
10	  0.021803608	-6.470000E-01	  0.021803608	-1.406290E+02	  0.021803608	2.101000E+00	  0.021803608	-1.786000E+01
11	  0.022004008	-6.520000E-01	  0.022004008	-1.421740E+02	  0.022004008	2.098000E+00	  0.022004008	-1.710400E+01
12	  0.022204408	-6.580000E-01	  0.022204408	-1.437410E+02	  0.022204408	2.098000E+00	  0.022204408	-1.634400E+01
13	  0.022404809	-6.650000E-01	  0.022404809	-1.453440E+02	  0.022404809	2.101000E+00	  0.022404809	-1.557400E+01
14	  0.022605211	-6.700000E-01	  0.022605211	-1.469220E+02	  0.022605211	2.098000E+00	  0.022605211	-1.482300E+01
15	  0.022805611	-6.800000E-01	  0.022805611	-1.485200E+02	  0.022805611	2.111000E+00	  0.022805611	-1.406800E+01
16	  0.023006011	-6.860000E-01	  0.023006011	-1.501090E+02	  0.023006011	2.114000E+00	  0.023006011	-1.332300E+01
17	  0.023206413	-6.890000E-01	  0.023206413	-1.517080E+02	  0.023206413	2.110000E+00	  0.023206413	-1.258000E+01
