! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/256.ew.m4.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 10:16:43 AM	05/10/2018 10:05:08 AM
! INTERNAL TEMP:    	46.8 C	45.0 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.93°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.399 ohm, -1.363 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.230000E-01	  0.020000000	-1.269320E+02	  0.020000000	2.241000E+00	  0.020000000	-2.492500E+01
2	  0.020200402	-6.270000E-01	  0.020200402	-1.283840E+02	  0.020200402	2.227000E+00	  0.020200402	-2.414000E+01
3	  0.020400802	-6.310000E-01	  0.020400802	-1.298550E+02	  0.020400802	2.214000E+00	  0.020400802	-2.335400E+01
4	  0.020601204	-6.350000E-01	  0.020601204	-1.313490E+02	  0.020601204	2.202000E+00	  0.020601204	-2.256600E+01
5	  0.020801604	-6.400000E-01	  0.020801604	-1.328720E+02	  0.020801604	2.192000E+00	  0.020801604	-2.177100E+01
6	  0.021002004	-6.420000E-01	  0.021002004	-1.344030E+02	  0.021002004	2.173000E+00	  0.021002004	-2.098200E+01
7	  0.021202406	-6.480000E-01	  0.021202406	-1.359410E+02	  0.021202406	2.170000E+00	  0.021202406	-2.019800E+01
8	  0.021402806	-6.510000E-01	  0.021402806	-1.374670E+02	  0.021402806	2.157000E+00	  0.021402806	-1.942800E+01
9	  0.021603208	-6.530000E-01	  0.021603208	-1.389840E+02	  0.021603208	2.143000E+00	  0.021603208	-1.867100E+01
10	  0.021803608	-6.580000E-01	  0.021803608	-1.405250E+02	  0.021803608	2.139000E+00	  0.021803608	-1.790900E+01
11	  0.022004008	-6.680000E-01	  0.022004008	-1.420580E+02	  0.022004008	2.149000E+00	  0.022004008	-1.715900E+01
12	  0.022204408	-6.740000E-01	  0.022204408	-1.436240E+02	  0.022204408	2.150000E+00	  0.022204408	-1.639900E+01
13	  0.022404809	-6.810000E-01	  0.022404809	-1.452280E+02	  0.022404809	2.152000E+00	  0.022404809	-1.562900E+01
14	  0.022605211	-6.870000E-01	  0.022605211	-1.468270E+02	  0.022605211	2.152000E+00	  0.022605211	-1.486700E+01
15	  0.022805611	-6.910000E-01	  0.022805611	-1.484290E+02	  0.022805611	2.148000E+00	  0.022805611	-1.411000E+01
16	  0.023006011	-6.980000E-01	  0.023006011	-1.500170E+02	  0.023006011	2.152000E+00	  0.023006011	-1.336500E+01
17	  0.023206413	-7.040000E-01	  0.023206413	-1.516260E+02	  0.023206413	2.156000E+00	  0.023206413	-1.261700E+01
18	  0.023406813	-7.100000E-01	  0.023406813	-1.532200E+02	  0.023406813	2.160000E+00	  0.023406813	-1.188100E+01
19	  0.023607215	-7.180000E-01	  0.023607215	-1.548320E+02	  0.023607215	2.170000E+00	  0.023607215	-1.114100E+01
20	  0.023807615	-7.290000E-01	  0.023807615	-1.564740E+02	  0.023807615	2.190000E+00	  0.023807615	-1.039200E+01
21	  0.024008015	-7.390000E-01	  0.024008015	-1.581150E+02	  0.024008015	2.206000E+00	  0.024008015	-9.648000E+00
22	  0.024208417	-7.470000E-01	  0.024208417	-1.597810E+02	  0.024208417	2.219000E+00	  0.024208417	-8.897000E+00
23	  0.024408817	-7.530000E-01	  0.024408817	-1.614540E+02	  0.024408817	2.225000E+00	  0.024408817	-8.147000E+00
24	  0.024609219	-7.630000E-01	  0.024609219	-1.631070E+02	  0.024609219	2.245000E+00	  0.024609219	-7.409000E+00
25	  0.024809619	-7.720000E-01	  0.024809619	-1.647800E+02	  0.024809619	2.262000E+00	  0.024809619	-6.666000E+00
26	  0.025010020	-7.830000E-01	  0.025010020	-1.664590E+02	  0.025010020	2.284000E+00	  0.025010020	-5.923000E+00
27	  0.025210422	-7.950000E-01	  0.025210422	-1.681510E+02	  0.025210422	2.313000E+00	  0.025210422	-5.177000E+00
28	  0.025410822	-8.070000E-01	  0.025410822	-1.698430E+02	  0.025410822	2.342000E+00	  0.025410822	-4.433000E+00
29	  0.025611224	-8.210000E-01	  0.025611224	-1.715580E+02	  0.025611224	2.374000E+00	  0.025611224	-3.681000E+00
30	  0.025811624	-8.330000E-01	  0.025811624	-1.732700E+02	  0.025811624	2.404000E+00	  0.025811624	-2.932000E+00
31	  0.026012026	-8.450000E-01	  0.026012026	-1.750110E+02	  0.026012026	2.436000E+00	  0.026012026	-2.173000E+00
32	  0.026212426	-8.590000E-01	  0.026212426	-1.767520E+02	  0.026212426	2.473000E+00	  0.026212426	-1.413000E+00
33	  0.026412826	-8.750000E-01	  0.026412826	-1.785110E+02	  0.026412826	2.517000E+00	  0.026412826	-6.480000E-01
34	  0.026613226	-8.910000E-01	  0.026613226	1.797390E+02	  0.026613226	2.563000E+00	  0.026613226	1.130000E-01
35	  0.026813626	-9.060000E-01	  0.026813626	1.779780E+02	  0.026813626	2.606000E+00	  0.026813626	8.790000E-01
36	  0.027014028	-9.240000E-01	  0.027014028	1.762000E+02	  0.027014028	2.660000E+00	  0.027014028	1.653000E+00
37	  0.027214428	-9.420000E-01	  0.027214428	1.744240E+02	  0.027214428	2.715000E+00	  0.027214428	2.427000E+00
38	  0.027414829	-9.600000E-01	  0.027414829	1.726460E+02	  0.027414829	2.771000E+00	  0.027414829	3.202000E+00
39	  0.027615231	-9.790000E-01	  0.027615231	1.708330E+02	  0.027615231	2.834000E+00	  0.027615231	3.995000E+00
40	  0.027815631	-1.000000E+00	  0.027815631	1.690270E+02	  0.027815631	2.902000E+00	  0.027815631	4.786000E+00
41	  0.028016033	-1.022000E+00	  0.028016033	1.672010E+02	  0.028016033	2.975000E+00	  0.028016033	5.587000E+00
42	  0.028216433	-1.043000E+00	  0.028216433	1.653650E+02	  0.028216433	3.050000E+00	  0.028216433	6.397000E+00
43	  0.028416833	-1.066000E+00	  0.028416833	1.635290E+02	  0.028416833	3.130000E+00	  0.028416833	7.208000E+00
44	  0.028617235	-1.090000E+00	  0.028617235	1.616930E+02	  0.028617235	3.215000E+00	  0.028617235	8.024000E+00
