! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/bot200.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 01:22:23 PM	05/10/2018 01:17:32 PM
! INTERNAL TEMP:    	52.8 C	52.0 C
! # POINTS:         	492	492
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.396 793 MHz	118.396 793 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-22.32°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(29.273 ohm, -50.859 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.547000E+00	  0.020000000	-2.231900E+01	  0.020000000	1.273200E+02	  0.020000000	-8.827700E+01
2	  0.020200402	-4.546000E+00	  0.020200402	-2.253100E+01	  0.020200402	1.264940E+02	  0.020200402	-8.851000E+01
3	  0.020400802	-4.543000E+00	  0.020400802	-2.277100E+01	  0.020400802	1.255750E+02	  0.020400802	-8.880100E+01
4	  0.020601204	-4.546000E+00	  0.020601204	-2.299700E+01	  0.020601204	1.246810E+02	  0.020601204	-8.894700E+01
5	  0.020801604	-4.545000E+00	  0.020801604	-2.321600E+01	  0.020801604	1.238390E+02	  0.020801604	-8.915000E+01
6	  0.021002004	-4.545000E+00	  0.021002004	-2.344800E+01	  0.021002004	1.229480E+02	  0.021002004	-8.935500E+01
7	  0.021202406	-4.546000E+00	  0.021202406	-2.366900E+01	  0.021202406	1.220950E+02	  0.021202406	-8.949200E+01
8	  0.021402806	-4.546000E+00	  0.021402806	-2.390300E+01	  0.021402806	1.212050E+02	  0.021402806	-8.966600E+01
9	  0.021603208	-4.548000E+00	  0.021603208	-2.413500E+01	  0.021603208	1.203210E+02	  0.021603208	-8.978700E+01
10	  0.021803608	-4.547000E+00	  0.021803608	-2.435400E+01	  0.021803608	1.195010E+02	  0.021803608	-8.994800E+01
11	  0.022004008	-4.547000E+00	  0.022004008	-2.458000E+01	  0.022004008	1.186550E+02	  0.022004008	-9.010200E+01
12	  0.022204408	-4.550000E+00	  0.022204408	-2.480200E+01	  0.022204408	1.178190E+02	  0.022204408	-9.016800E+01
13	  0.022404809	-4.551000E+00	  0.022404809	-2.503200E+01	  0.022404809	1.169670E+02	  0.022404809	-9.027100E+01
14	  0.022605211	-4.548000E+00	  0.022605211	-2.526100E+01	  0.022605211	1.161320E+02	  0.022605211	-9.044400E+01
15	  0.022805611	-4.547000E+00	  0.022805611	-2.549300E+01	  0.022805611	1.152860E+02	  0.022805611	-9.057400E+01
16	  0.023006011	-4.547000E+00	  0.023006011	-2.571800E+01	  0.023006011	1.144690E+02	  0.023006011	-9.068100E+01
17	  0.023206413	-4.549000E+00	  0.023206413	-2.593500E+01	  0.023206413	1.136790E+02	  0.023206413	-9.070800E+01
18	  0.023406813	-4.551000E+00	  0.023406813	-2.616000E+01	  0.023406813	1.128680E+02	  0.023406813	-9.074500E+01
19	  0.023607215	-4.551000E+00	  0.023607215	-2.638500E+01	  0.023607215	1.120680E+02	  0.023607215	-9.082000E+01
20	  0.023807615	-4.551000E+00	  0.023807615	-2.661600E+01	  0.023807615	1.112490E+02	  0.023807615	-9.089200E+01
21	  0.024008015	-4.552000E+00	  0.024008015	-2.683900E+01	  0.024008015	1.104620E+02	  0.024008015	-9.093600E+01
22	  0.024208417	-4.553000E+00	  0.024208417	-2.706000E+01	  0.024208417	1.096880E+02	  0.024208417	-9.097200E+01
23	  0.024408817	-4.554000E+00	  0.024408817	-2.729400E+01	  0.024408817	1.088750E+02	  0.024408817	-9.099400E+01
24	  0.024609219	-4.555000E+00	  0.024609219	-2.750900E+01	  0.024609219	1.081350E+02	  0.024609219	-9.100400E+01
25	  0.024809619	-4.555000E+00	  0.024809619	-2.772800E+01	  0.024809619	1.073820E+02	  0.024809619	-9.103200E+01
26	  0.025010020	-4.555000E+00	  0.025010020	-2.795600E+01	  0.025010020	1.066090E+02	  0.025010020	-9.105400E+01
27	  0.025210422	-4.557000E+00	  0.025210422	-2.818800E+01	  0.025210422	1.058230E+02	  0.025210422	-9.103400E+01
28	  0.025410822	-4.556000E+00	  0.025410822	-2.840700E+01	  0.025410822	1.050910E+02	  0.025410822	-9.107200E+01
29	  0.025611224	-4.558000E+00	  0.025611224	-2.863600E+01	  0.025611224	1.043270E+02	  0.025611224	-9.104200E+01
30	  0.025811624	-4.558000E+00	  0.025811624	-2.886100E+01	  0.025811624	1.035840E+02	  0.025811624	-9.103300E+01
31	  0.026012026	-4.560000E+00	  0.026012026	-2.908500E+01	  0.026012026	1.028490E+02	  0.026012026	-9.098600E+01
32	  0.026212426	-4.559000E+00	  0.026212426	-2.930600E+01	  0.026212426	1.021310E+02	  0.026212426	-9.098900E+01
33	  0.026412826	-4.562000E+00	  0.026412826	-2.954000E+01	  0.026412826	1.013750E+02	  0.026412826	-9.092200E+01
34	  0.026613226	-4.562000E+00	  0.026613226	-2.977300E+01	  0.026613226	1.006300E+02	  0.026613226	-9.089600E+01
35	  0.026813626	-4.562000E+00	  0.026813626	-2.999600E+01	  0.026813626	9.991900E+01	  0.026813626	-9.086900E+01
36	  0.027014028	-4.563000E+00	  0.027014028	-3.022700E+01	  0.027014028	9.919000E+01	  0.027014028	-9.081900E+01
37	  0.027214428	-4.561000E+00	  0.027214428	-3.045200E+01	  0.027214428	9.848400E+01	  0.027214428	-9.080400E+01
38	  0.027414829	-4.564000E+00	  0.027414829	-3.067900E+01	  0.027414829	9.778200E+01	  0.027414829	-9.071200E+01
39	  0.027615231	-4.564000E+00	  0.027615231	-3.089700E+01	  0.027615231	9.711000E+01	  0.027615231	-9.065100E+01
40	  0.027815631	-4.565000E+00	  0.027815631	-3.113200E+01	  0.027815631	9.639100E+01	  0.027815631	-9.058200E+01
41	  0.028016033	-4.565000E+00	  0.028016033	-3.136200E+01	  0.028016033	9.569600E+01	  0.028016033	-9.052500E+01
42	  0.028216433	-4.566000E+00	  0.028216433	-3.158700E+01	  0.028216433	9.501900E+01	  0.028216433	-9.044000E+01
43	  0.028416833	-4.566000E+00	  0.028416833	-3.181600E+01	  0.028416833	9.433500E+01	  0.028416833	-9.037200E+01
44	  0.028617235	-4.566000E+00	  0.028617235	-3.204500E+01	  0.028617235	9.365500E+01	  0.028617235	-9.030500E+01
45	  0.028817635	-4.567000E+00	  0.028817635	-3.227000E+01	  0.028817635	9.299600E+01	  0.028817635	-9.021300E+01
46	  0.029018037	-4.567000E+00	  0.029018037	-3.249700E+01	  0.029018037	9.233300E+01	  0.029018037	-9.012100E+01
47	  0.029218437	-4.567000E+00	  0.029218437	-3.272700E+01	  0.029218437	9.166900E+01	  0.029218437	-9.003500E+01
48	  0.029418837	-4.569000E+00	  0.029418837	-3.295100E+01	  0.029418837	9.103200E+01	  0.029418837	-8.991700E+01
49	  0.029619239	-4.570000E+00	  0.029619239	-3.318300E+01	  0.029619239	9.037300E+01	  0.029619239	-8.980500E+01
50	  0.029819639	-4.569000E+00	  0.029819639	-3.340800E+01	  0.029819639	8.973500E+01	  0.029819639	-8.972300E+01
51	  0.030020041	-4.570000E+00	  0.030020041	-3.363600E+01	  0.030020041	8.910100E+01	  0.030020041	-8.960900E+01
52	  0.030220442	-4.571000E+00	  0.030220442	-3.386800E+01	  0.030220442	8.846200E+01	  0.030220442	-8.947400E+01
53	  0.030420844	-4.571000E+00	  0.030420844	-3.409500E+01	  0.030420844	8.783600E+01	  0.030420844	-8.936900E+01
