! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/2a.r200.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 07:47:31 PM	05/26/2018 07:26:54 PM
! INTERNAL TEMP:    	45.3 C	45.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.556000E+00	  0.020000000	-2.257500E+01	  0.020000000	1.262580E+02	  0.020000000	-8.829500E+01
2	  0.020200402	-4.554000E+00	  0.020200402	-2.282500E+01	  0.020200402	1.252970E+02	  0.020200402	-8.857100E+01
3	  0.020400802	-4.556000E+00	  0.020400802	-2.305000E+01	  0.020400802	1.244180E+02	  0.020400802	-8.874400E+01
4	  0.020601204	-4.556000E+00	  0.020601204	-2.329100E+01	  0.020601204	1.234900E+02	  0.020601204	-8.894800E+01
5	  0.020801604	-4.554000E+00	  0.020801604	-2.354200E+01	  0.020801604	1.225440E+02	  0.020801604	-8.921200E+01
6	  0.021002004	-4.556000E+00	  0.021002004	-2.377900E+01	  0.021002004	1.216280E+02	  0.021002004	-8.933500E+01
7	  0.021202406	-4.557000E+00	  0.021202406	-2.404200E+01	  0.021202406	1.206280E+02	  0.021202406	-8.949600E+01
8	  0.021402806	-4.557000E+00	  0.021402806	-2.427900E+01	  0.021402806	1.197410E+02	  0.021402806	-8.967200E+01
9	  0.021603208	-4.558000E+00	  0.021603208	-2.451500E+01	  0.021603208	1.188540E+02	  0.021603208	-8.979600E+01
10	  0.021803608	-4.560000E+00	  0.021803608	-2.473500E+01	  0.021803608	1.180270E+02	  0.021803608	-8.987600E+01
11	  0.022004008	-4.560000E+00	  0.022004008	-2.496300E+01	  0.022004008	1.171860E+02	  0.022004008	-9.001100E+01
12	  0.022204408	-4.559000E+00	  0.022204408	-2.518800E+01	  0.022204408	1.163630E+02	  0.022204408	-9.013900E+01
13	  0.022404809	-4.558000E+00	  0.022404809	-2.540600E+01	  0.022404809	1.155710E+02	  0.022404809	-9.027000E+01
14	  0.022605211	-4.558000E+00	  0.022605211	-2.564100E+01	  0.022605211	1.147180E+02	  0.022605211	-9.037700E+01
15	  0.022805611	-4.562000E+00	  0.022805611	-2.589300E+01	  0.022805611	1.137980E+02	  0.022805611	-9.040200E+01
16	  0.023006011	-4.559000E+00	  0.023006011	-2.611300E+01	  0.023006011	1.130160E+02	  0.023006011	-9.054600E+01
17	  0.023206413	-4.555000E+00	  0.023206413	-2.633000E+01	  0.023206413	1.122530E+02	  0.023206413	-9.070900E+01
18	  0.023406813	-4.552000E+00	  0.023406813	-2.657000E+01	  0.023406813	1.114080E+02	  0.023406813	-9.085100E+01
19	  0.023607215	-4.548000E+00	  0.023607215	-2.681900E+01	  0.023607215	1.105380E+02	  0.023607215	-9.101600E+01
20	  0.023807615	-4.547000E+00	  0.023807615	-2.703900E+01	  0.023807615	1.097710E+02	  0.023807615	-9.109700E+01
21	  0.024008015	-4.552000E+00	  0.024008015	-2.724000E+01	  0.024008015	1.090640E+02	  0.024008015	-9.101700E+01
22	  0.024208417	-4.553000E+00	  0.024208417	-2.745000E+01	  0.024208417	1.083370E+02	  0.024208417	-9.102900E+01
23	  0.024408817	-4.558000E+00	  0.024408817	-2.765400E+01	  0.024408817	1.076350E+02	  0.024408817	-9.095100E+01
24	  0.024609219	-4.560000E+00	  0.024609219	-2.787100E+01	  0.024609219	1.068930E+02	  0.024609219	-9.093200E+01
25	  0.024809619	-4.564000E+00	  0.024809619	-2.808100E+01	  0.024809619	1.061800E+02	  0.024809619	-9.086900E+01
26	  0.025010020	-4.568000E+00	  0.025010020	-2.831400E+01	  0.025010020	1.053980E+02	  0.025010020	-9.080800E+01
27	  0.025210422	-4.571000E+00	  0.025210422	-2.854600E+01	  0.025210422	1.046220E+02	  0.025210422	-9.074700E+01
28	  0.025410822	-4.572000E+00	  0.025410822	-2.879300E+01	  0.025410822	1.038090E+02	  0.025410822	-9.072700E+01
29	  0.025611224	-4.574000E+00	  0.025611224	-2.905600E+01	  0.025611224	1.029470E+02	  0.025611224	-9.068700E+01
30	  0.025811624	-4.573000E+00	  0.025811624	-2.930200E+01	  0.025811624	1.021490E+02	  0.025811624	-9.070200E+01
31	  0.026012026	-4.574000E+00	  0.026012026	-2.955700E+01	  0.026012026	1.013270E+02	  0.026012026	-9.065100E+01
32	  0.026212426	-4.576000E+00	  0.026212426	-2.982900E+01	  0.026212426	1.004610E+02	  0.026212426	-9.060000E+01
33	  0.026412826	-4.573000E+00	  0.026412826	-3.010400E+01	  0.026412826	9.958700E+01	  0.026412826	-9.062700E+01
34	  0.026613226	-4.570000E+00	  0.026613226	-3.034600E+01	  0.026613226	9.882500E+01	  0.026613226	-9.065100E+01
35	  0.026813626	-4.564000E+00	  0.026813626	-3.053000E+01	  0.026813626	9.824500E+01	  0.026813626	-9.074100E+01
36	  0.027014028	-4.563000E+00	  0.027014028	-3.073300E+01	  0.027014028	9.761300E+01	  0.027014028	-9.071800E+01
37	  0.027214428	-4.566000E+00	  0.027214428	-3.092800E+01	  0.027214428	9.701700E+01	  0.027214428	-9.062000E+01
38	  0.027414829	-4.564000E+00	  0.027414829	-3.113000E+01	  0.027414829	9.639800E+01	  0.027414829	-9.059900E+01
39	  0.027615231	-4.570000E+00	  0.027615231	-3.133800E+01	  0.027615231	9.577600E+01	  0.027615231	-9.044000E+01
40	  0.027815631	-4.574000E+00	  0.027815631	-3.157200E+01	  0.027815631	9.507700E+01	  0.027815631	-9.029300E+01
41	  0.028016033	-4.578000E+00	  0.028016033	-3.182500E+01	  0.028016033	9.433100E+01	  0.028016033	-9.014000E+01
42	  0.028216433	-4.577000E+00	  0.028216433	-3.206500E+01	  0.028216433	9.362100E+01	  0.028216433	-9.008300E+01
43	  0.028416833	-4.574000E+00	  0.028416833	-3.233500E+01	  0.028416833	9.282200E+01	  0.028416833	-9.005200E+01
44	  0.028617235	-4.568000E+00	  0.028617235	-3.259200E+01	  0.028617235	9.206000E+01	  0.028617235	-9.007800E+01
45	  0.028817635	-4.567000E+00	  0.028817635	-3.283900E+01	  0.028817635	9.134500E+01	  0.028817635	-9.000000E+01
46	  0.029018037	-4.563000E+00	  0.029018037	-3.306500E+01	  0.029018037	9.069000E+01	  0.029018037	-8.997600E+01
47	  0.029218437	-4.560000E+00	  0.029218437	-3.327200E+01	  0.029218437	9.009200E+01	  0.029218437	-8.995500E+01
48	  0.029418837	-4.557000E+00	  0.029418837	-3.345700E+01	  0.029418837	8.956300E+01	  0.029418837	-8.991900E+01
49	  0.029619239	-4.555000E+00	  0.029619239	-3.363800E+01	  0.029619239	8.905200E+01	  0.029619239	-8.987100E+01
50	  0.029819639	-4.555000E+00	  0.029819639	-3.378300E+01	  0.029819639	8.864700E+01	  0.029819639	-8.980200E+01
51	  0.030020041	-4.554000E+00	  0.030020041	-3.396500E+01	  0.030020041	8.813800E+01	  0.030020041	-8.974500E+01
52	  0.030220442	-4.560000E+00	  0.030220442	-3.416100E+01	  0.030220442	8.762000E+01	  0.030220442	-8.953300E+01
53	  0.030420844	-4.567000E+00	  0.030420844	-3.439900E+01	  0.030420844	8.699400E+01	  0.030420844	-8.928500E+01
54	  0.030621244	-4.572000E+00	  0.030621244	-3.464800E+01	  0.030621244	8.633800E+01	  0.030621244	-8.908300E+01
