! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4a.me2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 03:12:36 PM	05/26/2018 02:51:55 PM
! INTERNAL TEMP:    	59.5 C	59.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.560000E-01	  0.020000000	-1.264000E+02	  0.020000000	2.371000E+00	  0.020000000	-2.521100E+01
2	  0.020200402	-6.540000E-01	  0.020200402	-1.279120E+02	  0.020200402	2.332000E+00	  0.020200402	-2.439000E+01
3	  0.020400802	-6.510000E-01	  0.020400802	-1.293830E+02	  0.020400802	2.292000E+00	  0.020400802	-2.360200E+01
4	  0.020601204	-6.520000E-01	  0.020601204	-1.308420E+02	  0.020601204	2.268000E+00	  0.020601204	-2.283000E+01
5	  0.020801604	-6.560000E-01	  0.020801604	-1.323320E+02	  0.020801604	2.255000E+00	  0.020801604	-2.205000E+01
6	  0.021002004	-6.630000E-01	  0.021002004	-1.338670E+02	  0.021002004	2.253000E+00	  0.021002004	-2.125500E+01
7	  0.021202406	-6.690000E-01	  0.021202406	-1.353970E+02	  0.021202406	2.250000E+00	  0.021202406	-2.047200E+01
8	  0.021402806	-6.740000E-01	  0.021402806	-1.369500E+02	  0.021402806	2.241000E+00	  0.021402806	-1.968600E+01
9	  0.021603208	-6.790000E-01	  0.021603208	-1.385010E+02	  0.021603208	2.235000E+00	  0.021603208	-1.890900E+01
10	  0.021803608	-6.860000E-01	  0.021803608	-1.400600E+02	  0.021803608	2.234000E+00	  0.021803608	-1.813600E+01
11	  0.022004008	-6.920000E-01	  0.022004008	-1.416180E+02	  0.022004008	2.233000E+00	  0.022004008	-1.737100E+01
12	  0.022204408	-6.930000E-01	  0.022204408	-1.432300E+02	  0.022204408	2.213000E+00	  0.022204408	-1.658800E+01
13	  0.022404809	-6.940000E-01	  0.022404809	-1.448390E+02	  0.022404809	2.198000E+00	  0.022404809	-1.581400E+01
14	  0.022605211	-6.970000E-01	  0.022605211	-1.464320E+02	  0.022605211	2.188000E+00	  0.022605211	-1.505300E+01
15	  0.022805611	-7.000000E-01	  0.022805611	-1.480080E+02	  0.022805611	2.180000E+00	  0.022805611	-1.430800E+01
16	  0.023006011	-6.990000E-01	  0.023006011	-1.495800E+02	  0.023006011	2.161000E+00	  0.023006011	-1.357000E+01
17	  0.023206413	-7.070000E-01	  0.023206413	-1.511860E+02	  0.023206413	2.168000E+00	  0.023206413	-1.282100E+01
18	  0.023406813	-7.130000E-01	  0.023406813	-1.528120E+02	  0.023406813	2.172000E+00	  0.023406813	-1.206900E+01
19	  0.023607215	-7.210000E-01	  0.023607215	-1.544450E+02	  0.023607215	2.181000E+00	  0.023607215	-1.131800E+01
20	  0.023807615	-7.280000E-01	  0.023807615	-1.560800E+02	  0.023807615	2.189000E+00	  0.023807615	-1.057100E+01
21	  0.024008015	-7.370000E-01	  0.024008015	-1.576950E+02	  0.024008015	2.204000E+00	  0.024008015	-9.838000E+00
22	  0.024208417	-7.480000E-01	  0.024208417	-1.593370E+02	  0.024208417	2.223000E+00	  0.024208417	-9.097000E+00
23	  0.024408817	-7.580000E-01	  0.024408817	-1.609630E+02	  0.024408817	2.244000E+00	  0.024408817	-8.366000E+00
24	  0.024609219	-7.700000E-01	  0.024609219	-1.626390E+02	  0.024609219	2.268000E+00	  0.024609219	-7.618000E+00
25	  0.024809619	-7.770000E-01	  0.024809619	-1.643320E+02	  0.024809619	2.279000E+00	  0.024809619	-6.865000E+00
26	  0.025010020	-7.830000E-01	  0.025010020	-1.660150E+02	  0.025010020	2.288000E+00	  0.025010020	-6.119000E+00
27	  0.025210422	-7.930000E-01	  0.025210422	-1.677050E+02	  0.025210422	2.309000E+00	  0.025210422	-5.373000E+00
28	  0.025410822	-8.030000E-01	  0.025410822	-1.693920E+02	  0.025410822	2.330000E+00	  0.025410822	-4.631000E+00
29	  0.025611224	-8.120000E-01	  0.025611224	-1.710960E+02	  0.025611224	2.349000E+00	  0.025611224	-3.884000E+00
30	  0.025811624	-8.230000E-01	  0.025811624	-1.727940E+02	  0.025811624	2.379000E+00	  0.025811624	-3.140000E+00
31	  0.026012026	-8.360000E-01	  0.026012026	-1.745320E+02	  0.026012026	2.411000E+00	  0.026012026	-2.382000E+00
32	  0.026212426	-8.500000E-01	  0.026212426	-1.762700E+02	  0.026212426	2.448000E+00	  0.026212426	-1.623000E+00
33	  0.026412826	-8.660000E-01	  0.026412826	-1.780120E+02	  0.026412826	2.492000E+00	  0.026412826	-8.650000E-01
34	  0.026613226	-8.840000E-01	  0.026613226	-1.797870E+02	  0.026613226	2.542000E+00	  0.026613226	-9.200000E-02
35	  0.026813626	-9.000000E-01	  0.026813626	1.784340E+02	  0.026813626	2.589000E+00	  0.026813626	6.810000E-01
36	  0.027014028	-9.140000E-01	  0.027014028	1.766710E+02	  0.027014028	2.630000E+00	  0.027014028	1.448000E+00
37	  0.027214428	-9.290000E-01	  0.027214428	1.748970E+02	  0.027214428	2.678000E+00	  0.027214428	2.221000E+00
38	  0.027414829	-9.420000E-01	  0.027414829	1.731170E+02	  0.027414829	2.720000E+00	  0.027414829	2.997000E+00
39	  0.027615231	-9.590000E-01	  0.027615231	1.713320E+02	  0.027615231	2.776000E+00	  0.027615231	3.777000E+00
40	  0.027815631	-9.790000E-01	  0.027815631	1.695150E+02	  0.027815631	2.839000E+00	  0.027815631	4.573000E+00
41	  0.028016033	-9.980000E-01	  0.028016033	1.676840E+02	  0.028016033	2.902000E+00	  0.028016033	5.376000E+00
42	  0.028216433	-1.017000E+00	  0.028216433	1.658310E+02	  0.028216433	2.969000E+00	  0.028216433	6.192000E+00
43	  0.028416833	-1.037000E+00	  0.028416833	1.639840E+02	  0.028416833	3.041000E+00	  0.028416833	7.008000E+00
44	  0.028617235	-1.059000E+00	  0.028617235	1.621420E+02	  0.028617235	3.120000E+00	  0.028617235	7.825000E+00
45	  0.028817635	-1.082000E+00	  0.028817635	1.602710E+02	  0.028817635	3.206000E+00	  0.028817635	8.659000E+00
46	  0.029018037	-1.106000E+00	  0.029018037	1.583890E+02	  0.029018037	3.294000E+00	  0.029018037	9.502000E+00
47	  0.029218437	-1.129000E+00	  0.029218437	1.564770E+02	  0.029218437	3.387000E+00	  0.029218437	1.036400E+01
48	  0.029418837	-1.152000E+00	  0.029418837	1.545690E+02	  0.029418837	3.478000E+00	  0.029418837	1.123000E+01
49	  0.029619239	-1.172000E+00	  0.029619239	1.526920E+02	  0.029619239	3.567000E+00	  0.029619239	1.208700E+01
50	  0.029819639	-1.194000E+00	  0.029819639	1.508070E+02	  0.029819639	3.665000E+00	  0.029819639	1.295400E+01
