! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4a.r20.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 03:22:49 PM	05/26/2018 02:51:55 PM
! INTERNAL TEMP:    	59.8 C	59.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.286000E+00	  0.020000000	1.546100E+02	  0.020000000	2.066400E+01	  0.020000000	9.417000E+00
2	  0.020200402	-7.287000E+00	  0.020200402	1.543510E+02	  0.020200402	2.068400E+01	  0.020200402	9.515000E+00
3	  0.020400802	-7.288000E+00	  0.020400802	1.541040E+02	  0.020400802	2.070400E+01	  0.020400802	9.607000E+00
4	  0.020601204	-7.286000E+00	  0.020601204	1.538260E+02	  0.020601204	2.071700E+01	  0.020601204	9.713000E+00
5	  0.020801604	-7.285000E+00	  0.020801604	1.535680E+02	  0.020801604	2.073400E+01	  0.020801604	9.811000E+00
6	  0.021002004	-7.278000E+00	  0.021002004	1.533050E+02	  0.021002004	2.073600E+01	  0.021002004	9.914000E+00
7	  0.021202406	-7.280000E+00	  0.021202406	1.530340E+02	  0.021202406	2.076000E+01	  0.021202406	1.001600E+01
8	  0.021402806	-7.281000E+00	  0.021402806	1.527950E+02	  0.021402806	2.077800E+01	  0.021402806	1.010600E+01
9	  0.021603208	-7.284000E+00	  0.021603208	1.525370E+02	  0.021603208	2.080500E+01	  0.021603208	1.020200E+01
10	  0.021803608	-7.284000E+00	  0.021803608	1.522970E+02	  0.021803608	2.082400E+01	  0.021803608	1.029300E+01
11	  0.022004008	-7.291000E+00	  0.022004008	1.520340E+02	  0.022004008	2.086100E+01	  0.022004008	1.038900E+01
12	  0.022204408	-7.288000E+00	  0.022204408	1.517940E+02	  0.022204408	2.087200E+01	  0.022204408	1.048200E+01
13	  0.022404809	-7.286000E+00	  0.022404809	1.515330E+02	  0.022404809	2.088800E+01	  0.022404809	1.058200E+01
14	  0.022605211	-7.290000E+00	  0.022605211	1.513090E+02	  0.022605211	2.091400E+01	  0.022605211	1.066500E+01
15	  0.022805611	-7.292000E+00	  0.022805611	1.510290E+02	  0.022805611	2.094100E+01	  0.022805611	1.077000E+01
16	  0.023006011	-7.290000E+00	  0.023006011	1.508070E+02	  0.023006011	2.095300E+01	  0.023006011	1.085600E+01
17	  0.023206413	-7.289000E+00	  0.023206413	1.505300E+02	  0.023206413	2.097300E+01	  0.023206413	1.096200E+01
18	  0.023406813	-7.285000E+00	  0.023406813	1.502500E+02	  0.023406813	2.098600E+01	  0.023406813	1.107000E+01
19	  0.023607215	-7.285000E+00	  0.023607215	1.499600E+02	  0.023607215	2.100800E+01	  0.023607215	1.118100E+01
20	  0.023807615	-7.284000E+00	  0.023807615	1.497080E+02	  0.023807615	2.102700E+01	  0.023807615	1.127700E+01
21	  0.024008015	-7.284000E+00	  0.024008015	1.494570E+02	  0.024008015	2.104800E+01	  0.024008015	1.137300E+01
22	  0.024208417	-7.281000E+00	  0.024208417	1.492250E+02	  0.024208417	2.106100E+01	  0.024208417	1.146300E+01
23	  0.024408817	-7.286000E+00	  0.024408817	1.489840E+02	  0.024408817	2.109300E+01	  0.024408817	1.155300E+01
24	  0.024609219	-7.289000E+00	  0.024609219	1.487700E+02	  0.024609219	2.112000E+01	  0.024609219	1.163200E+01
25	  0.024809619	-7.289000E+00	  0.024809619	1.485290E+02	  0.024809619	2.114000E+01	  0.024809619	1.172500E+01
26	  0.025010020	-7.288000E+00	  0.025010020	1.483030E+02	  0.025010020	2.115800E+01	  0.025010020	1.181200E+01
27	  0.025210422	-7.292000E+00	  0.025210422	1.480420E+02	  0.025210422	2.119100E+01	  0.025210422	1.190900E+01
28	  0.025410822	-7.295000E+00	  0.025410822	1.477560E+02	  0.025410822	2.122200E+01	  0.025410822	1.201700E+01
29	  0.025611224	-7.296000E+00	  0.025611224	1.475000E+02	  0.025611224	2.124900E+01	  0.025611224	1.211400E+01
30	  0.025811624	-7.291000E+00	  0.025811624	1.472230E+02	  0.025811624	2.126100E+01	  0.025811624	1.222400E+01
31	  0.026012026	-7.286000E+00	  0.026012026	1.469510E+02	  0.026012026	2.127400E+01	  0.026012026	1.233100E+01
32	  0.026212426	-7.283000E+00	  0.026212426	1.466800E+02	  0.026212426	2.129000E+01	  0.026212426	1.243700E+01
33	  0.026412826	-7.280000E+00	  0.026412826	1.464140E+02	  0.026412826	2.130700E+01	  0.026412826	1.254100E+01
34	  0.026613226	-7.276000E+00	  0.026613226	1.461720E+02	  0.026613226	2.131900E+01	  0.026613226	1.263700E+01
35	  0.026813626	-7.275000E+00	  0.026813626	1.459440E+02	  0.026813626	2.133900E+01	  0.026813626	1.272500E+01
36	  0.027014028	-7.273000E+00	  0.027014028	1.457300E+02	  0.027014028	2.135500E+01	  0.027014028	1.280800E+01
