! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4b.47.3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 05:14:41 PM	05/26/2018 05:08:07 PM
! INTERNAL TEMP:    	52.8 C	52.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.000000E-02	  0.020000000	-5.601600E+01	  0.020000000	2.680000E-01	  0.020000000	-9.400200E+01
2	  0.020200402	-1.600000E-02	  0.020200402	-5.658800E+01	  0.020200402	2.140000E-01	  0.020200402	-9.288100E+01
3	  0.020400802	-1.400000E-02	  0.020400802	-5.715000E+01	  0.020400802	1.780000E-01	  0.020400802	-9.180100E+01
4	  0.020601204	-1.300000E-02	  0.020601204	-5.769200E+01	  0.020601204	1.630000E-01	  0.020601204	-9.077500E+01
5	  0.020801604	-1.400000E-02	  0.020801604	-5.824400E+01	  0.020801604	1.700000E-01	  0.020801604	-8.975000E+01
6	  0.021002004	-1.100000E-02	  0.021002004	-5.880900E+01	  0.021002004	1.390000E-01	  0.021002004	-8.871800E+01
7	  0.021202406	-1.400000E-02	  0.021202406	-5.937700E+01	  0.021202406	1.730000E-01	  0.021202406	-8.769900E+01
8	  0.021402806	-1.500000E-02	  0.021402806	-5.991200E+01	  0.021402806	1.830000E-01	  0.021402806	-8.675400E+01
9	  0.021603208	-1.800000E-02	  0.021603208	-6.046500E+01	  0.021603208	2.100000E-01	  0.021603208	-8.579400E+01
10	  0.021803608	-2.200000E-02	  0.021803608	-6.099500E+01	  0.021803608	2.550000E-01	  0.021803608	-8.488900E+01
11	  0.022004008	-2.500000E-02	  0.022004008	-6.151100E+01	  0.022004008	2.750000E-01	  0.022004008	-8.402100E+01
12	  0.022204408	-2.800000E-02	  0.022204408	-6.205400E+01	  0.022204408	3.090000E-01	  0.022204408	-8.312300E+01
13	  0.022404809	-3.000000E-02	  0.022404809	-6.261000E+01	  0.022404809	3.220000E-01	  0.022404809	-8.221700E+01
14	  0.022605211	-3.100000E-02	  0.022605211	-6.316800E+01	  0.022605211	3.250000E-01	  0.022605211	-8.132300E+01
15	  0.022805611	-2.800000E-02	  0.022805611	-6.371700E+01	  0.022805611	2.970000E-01	  0.022805611	-8.045600E+01
16	  0.023006011	-2.200000E-02	  0.023006011	-6.427600E+01	  0.023006011	2.250000E-01	  0.023006011	-7.958800E+01
