! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4b.66.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 04:38:42 PM	05/26/2018 04:28:16 PM
! INTERNAL TEMP:    	55.8 C	56.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-2.500000E-02	  0.020000000	-6.809000E+01	  0.020000000	2.360000E-01	  0.020000000	-7.400100E+01
2	  0.020200402	-2.300000E-02	  0.020200402	-6.873200E+01	  0.020200402	2.120000E-01	  0.020200402	-7.311400E+01
3	  0.020400802	-2.000000E-02	  0.020400802	-6.937700E+01	  0.020400802	1.860000E-01	  0.020400802	-7.223900E+01
4	  0.020601204	-2.100000E-02	  0.020601204	-7.000200E+01	  0.020601204	1.910000E-01	  0.020601204	-7.140400E+01
5	  0.020801604	-2.100000E-02	  0.020801604	-7.065700E+01	  0.020801604	1.830000E-01	  0.020801604	-7.054200E+01
6	  0.021002004	-2.000000E-02	  0.021002004	-7.130600E+01	  0.021002004	1.760000E-01	  0.021002004	-6.970100E+01
7	  0.021202406	-2.300000E-02	  0.021202406	-7.196900E+01	  0.021202406	1.920000E-01	  0.021202406	-6.885600E+01
8	  0.021402806	-3.000000E-02	  0.021402806	-7.260700E+01	  0.021402806	2.510000E-01	  0.021402806	-6.805600E+01
9	  0.021603208	-3.300000E-02	  0.021603208	-7.323800E+01	  0.021603208	2.690000E-01	  0.021603208	-6.727600E+01
10	  0.021803608	-3.900000E-02	  0.021803608	-7.387500E+01	  0.021803608	3.180000E-01	  0.021803608	-6.650100E+01
11	  0.022004008	-4.400000E-02	  0.022004008	-7.450500E+01	  0.022004008	3.490000E-01	  0.022004008	-6.574600E+01
12	  0.022204408	-4.600000E-02	  0.022204408	-7.514600E+01	  0.022204408	3.600000E-01	  0.022204408	-6.498700E+01
13	  0.022404809	-4.700000E-02	  0.022404809	-7.582200E+01	  0.022404809	3.610000E-01	  0.022404809	-6.420000E+01
14	  0.022605211	-4.800000E-02	  0.022605211	-7.646200E+01	  0.022605211	3.650000E-01	  0.022605211	-6.346500E+01
15	  0.022805611	-4.700000E-02	  0.022805611	-7.712500E+01	  0.022805611	3.500000E-01	  0.022805611	-6.271600E+01
16	  0.023006011	-3.800000E-02	  0.023006011	-7.777100E+01	  0.023006011	2.820000E-01	  0.023006011	-6.199600E+01
17	  0.023206413	-2.700000E-02	  0.023206413	-7.843500E+01	  0.023206413	1.980000E-01	  0.023206413	-6.126600E+01
18	  0.023406813	-2.200000E-02	  0.023406813	-7.907000E+01	  0.023406813	1.580000E-01	  0.023406813	-6.057800E+01
19	  0.023607215	-2.000000E-02	  0.023607215	-7.970300E+01	  0.023607215	1.430000E-01	  0.023607215	-5.990100E+01
20	  0.023807615	-1.900000E-02	  0.023807615	-8.028500E+01	  0.023807615	1.370000E-01	  0.023807615	-5.928600E+01
21	  0.024008015	-2.700000E-02	  0.024008015	-8.087800E+01	  0.024008015	1.840000E-01	  0.024008015	-5.866700E+01
22	  0.024208417	-3.200000E-02	  0.024208417	-8.142500E+01	  0.024208417	2.200000E-01	  0.024208417	-5.810400E+01
23	  0.024408817	-3.900000E-02	  0.024408817	-8.198800E+01	  0.024408817	2.630000E-01	  0.024408817	-5.752900E+01
24	  0.024609219	-4.400000E-02	  0.024609219	-8.257000E+01	  0.024609219	2.920000E-01	  0.024609219	-5.694200E+01
25	  0.024809619	-4.700000E-02	  0.024809619	-8.319600E+01	  0.024809619	3.100000E-01	  0.024809619	-5.631800E+01
26	  0.025010020	-5.100000E-02	  0.025010020	-8.382500E+01	  0.025010020	3.330000E-01	  0.025010020	-5.570000E+01
27	  0.025210422	-5.400000E-02	  0.025210422	-8.445500E+01	  0.025210422	3.490000E-01	  0.025210422	-5.508700E+01
28	  0.025410822	-5.700000E-02	  0.025410822	-8.512400E+01	  0.025410822	3.590000E-01	  0.025410822	-5.444500E+01
29	  0.025611224	-5.700000E-02	  0.025611224	-8.577400E+01	  0.025611224	3.560000E-01	  0.025611224	-5.382900E+01
30	  0.025811624	-5.300000E-02	  0.025811624	-8.641600E+01	  0.025811624	3.280000E-01	  0.025811624	-5.322800E+01
31	  0.026012026	-5.100000E-02	  0.026012026	-8.702300E+01	  0.026012026	3.100000E-01	  0.026012026	-5.266600E+01
32	  0.026212426	-4.700000E-02	  0.026212426	-8.761200E+01	  0.026212426	2.880000E-01	  0.026212426	-5.212700E+01
33	  0.026412826	-5.000000E-02	  0.026412826	-8.822200E+01	  0.026412826	2.970000E-01	  0.026412826	-5.157400E+01
34	  0.026613226	-5.500000E-02	  0.026613226	-8.878000E+01	  0.026613226	3.260000E-01	  0.026613226	-5.107400E+01
35	  0.026813626	-6.000000E-02	  0.026813626	-8.937300E+01	  0.026813626	3.520000E-01	  0.026813626	-5.054800E+01
36	  0.027014028	-6.800000E-02	  0.027014028	-8.992600E+01	  0.027014028	3.960000E-01	  0.027014028	-5.006200E+01
37	  0.027214428	-8.000000E-02	  0.027214428	-9.049500E+01	  0.027214428	4.590000E-01	  0.027214428	-4.956700E+01
38	  0.027414829	-9.000000E-02	  0.027414829	-9.112600E+01	  0.027414829	5.090000E-01	  0.027414829	-4.902300E+01
39	  0.027615231	-9.500000E-02	  0.027615231	-9.179300E+01	  0.027615231	5.340000E-01	  0.027615231	-4.845500E+01
40	  0.027815631	-9.800000E-02	  0.027815631	-9.246900E+01	  0.027815631	5.450000E-01	  0.027815631	-4.788700E+01
41	  0.028016033	-9.600000E-02	  0.028016033	-9.315500E+01	  0.028016033	5.260000E-01	  0.028016033	-4.731600E+01
42	  0.028216433	-8.700000E-02	  0.028216433	-9.383200E+01	  0.028216433	4.730000E-01	  0.028216433	-4.676000E+01
43	  0.028416833	-7.900000E-02	  0.028416833	-9.451800E+01	  0.028416833	4.260000E-01	  0.028416833	-4.620200E+01
44	  0.028617235	-7.100000E-02	  0.028617235	-9.514800E+01	  0.028617235	3.750000E-01	  0.028617235	-4.569600E+01
45	  0.028817635	-6.100000E-02	  0.028817635	-9.574600E+01	  0.028817635	3.220000E-01	  0.028817635	-4.521900E+01
46	  0.029018037	-5.300000E-02	  0.029018037	-9.631200E+01	  0.029018037	2.770000E-01	  0.029018037	-4.477300E+01
47	  0.029218437	-4.500000E-02	  0.029218437	-9.683600E+01	  0.029218437	2.330000E-01	  0.029218437	-4.436200E+01
