! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4b.me1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 04:33:15 PM	05/26/2018 04:28:16 PM
! INTERNAL TEMP:    	56.0 C	56.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.170000E-01	  0.020000000	-1.268030E+02	  0.020000000	2.222000E+00	  0.020000000	-2.499600E+01
2	  0.020200402	-6.170000E-01	  0.020200402	-1.282990E+02	  0.020200402	2.191000E+00	  0.020200402	-2.418700E+01
3	  0.020400802	-6.140000E-01	  0.020400802	-1.297830E+02	  0.020400802	2.156000E+00	  0.020400802	-2.339400E+01
4	  0.020601204	-6.140000E-01	  0.020601204	-1.312460E+02	  0.020601204	2.131000E+00	  0.020601204	-2.262200E+01
5	  0.020801604	-6.190000E-01	  0.020801604	-1.327550E+02	  0.020801604	2.122000E+00	  0.020801604	-2.183400E+01
6	  0.021002004	-6.240000E-01	  0.021002004	-1.342840E+02	  0.021002004	2.116000E+00	  0.021002004	-2.104500E+01
7	  0.021202406	-6.320000E-01	  0.021202406	-1.358350E+02	  0.021202406	2.118000E+00	  0.021202406	-2.025300E+01
8	  0.021402806	-6.390000E-01	  0.021402806	-1.373790E+02	  0.021402806	2.120000E+00	  0.021402806	-1.947300E+01
9	  0.021603208	-6.430000E-01	  0.021603208	-1.389210E+02	  0.021603208	2.110000E+00	  0.021603208	-1.870400E+01
10	  0.021803608	-6.500000E-01	  0.021803608	-1.404680E+02	  0.021803608	2.114000E+00	  0.021803608	-1.793900E+01
11	  0.022004008	-6.560000E-01	  0.022004008	-1.420440E+02	  0.022004008	2.111000E+00	  0.022004008	-1.716700E+01
12	  0.022204408	-6.580000E-01	  0.022204408	-1.436250E+02	  0.022204408	2.098000E+00	  0.022204408	-1.640000E+01
13	  0.022404809	-6.600000E-01	  0.022404809	-1.452310E+02	  0.022404809	2.086000E+00	  0.022404809	-1.562900E+01
14	  0.022605211	-6.630000E-01	  0.022605211	-1.468050E+02	  0.022605211	2.077000E+00	  0.022605211	-1.487900E+01
15	  0.022805611	-6.650000E-01	  0.022805611	-1.483790E+02	  0.022805611	2.067000E+00	  0.022805611	-1.413500E+01
