! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4b.me3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 05:12:43 PM	05/26/2018 05:08:07 PM
! INTERNAL TEMP:    	52.8 C	52.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.150000E-01	  0.020000000	-1.266480E+02	  0.020000000	2.218000E+00	  0.020000000	-2.508100E+01
2	  0.020200402	-6.120000E-01	  0.020200402	-1.281480E+02	  0.020200402	2.179000E+00	  0.020200402	-2.426900E+01
3	  0.020400802	-6.110000E-01	  0.020400802	-1.296430E+02	  0.020400802	2.148000E+00	  0.020400802	-2.346900E+01
4	  0.020601204	-6.100000E-01	  0.020601204	-1.311030E+02	  0.020601204	2.119000E+00	  0.020601204	-2.269700E+01
5	  0.020801604	-6.150000E-01	  0.020801604	-1.325980E+02	  0.020801604	2.110000E+00	  0.020801604	-2.191600E+01
6	  0.021002004	-6.200000E-01	  0.021002004	-1.341270E+02	  0.021002004	2.103000E+00	  0.021002004	-2.112600E+01
7	  0.021202406	-6.280000E-01	  0.021202406	-1.356680E+02	  0.021202406	2.108000E+00	  0.021202406	-2.033800E+01
8	  0.021402806	-6.330000E-01	  0.021402806	-1.371930E+02	  0.021402806	2.103000E+00	  0.021402806	-1.956700E+01
9	  0.021603208	-6.370000E-01	  0.021603208	-1.387450E+02	  0.021603208	2.093000E+00	  0.021603208	-1.879100E+01
10	  0.021803608	-6.440000E-01	  0.021803608	-1.402890E+02	  0.021803608	2.094000E+00	  0.021803608	-1.802700E+01
11	  0.022004008	-6.510000E-01	  0.022004008	-1.418520E+02	  0.022004008	2.097000E+00	  0.022004008	-1.726100E+01
12	  0.022204408	-6.540000E-01	  0.022204408	-1.434280E+02	  0.022204408	2.087000E+00	  0.022204408	-1.649600E+01
13	  0.022404809	-6.540000E-01	  0.022404809	-1.450240E+02	  0.022404809	2.071000E+00	  0.022404809	-1.572800E+01
14	  0.022605211	-6.560000E-01	  0.022605211	-1.465940E+02	  0.022605211	2.059000E+00	  0.022605211	-1.498000E+01
15	  0.022805611	-6.590000E-01	  0.022805611	-1.481760E+02	  0.022805611	2.051000E+00	  0.022805611	-1.423100E+01
16	  0.023006011	-6.620000E-01	  0.023006011	-1.497570E+02	  0.023006011	2.043000E+00	  0.023006011	-1.348900E+01
17	  0.023206413	-6.690000E-01	  0.023206413	-1.513540E+02	  0.023206413	2.052000E+00	  0.023206413	-1.274500E+01
18	  0.023406813	-6.800000E-01	  0.023406813	-1.529600E+02	  0.023406813	2.070000E+00	  0.023406813	-1.200200E+01
19	  0.023607215	-6.860000E-01	  0.023607215	-1.545950E+02	  0.023607215	2.076000E+00	  0.023607215	-1.125100E+01
20	  0.023807615	-6.950000E-01	  0.023807615	-1.562350E+02	  0.023807615	2.090000E+00	  0.023807615	-1.050200E+01
21	  0.024008015	-7.040000E-01	  0.024008015	-1.578540E+02	  0.024008015	2.103000E+00	  0.024008015	-9.768000E+00
22	  0.024208417	-7.130000E-01	  0.024208417	-1.594930E+02	  0.024208417	2.119000E+00	  0.024208417	-9.028000E+00
23	  0.024408817	-7.270000E-01	  0.024408817	-1.611320E+02	  0.024408817	2.151000E+00	  0.024408817	-8.292000E+00
24	  0.024609219	-7.390000E-01	  0.024609219	-1.628170E+02	  0.024609219	2.174000E+00	  0.024609219	-7.540000E+00
25	  0.024809619	-7.460000E-01	  0.024809619	-1.645100E+02	  0.024809619	2.186000E+00	  0.024809619	-6.787000E+00
26	  0.025010020	-7.520000E-01	  0.025010020	-1.662080E+02	  0.025010020	2.195000E+00	  0.025010020	-6.035000E+00
27	  0.025210422	-7.620000E-01	  0.025210422	-1.678940E+02	  0.025210422	2.216000E+00	  0.025210422	-5.291000E+00
