! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4b.r20.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 04:41:06 PM	05/26/2018 04:28:16 PM
! INTERNAL TEMP:    	55.5 C	56.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.274000E+00	  0.020000000	1.542960E+02	  0.020000000	2.065600E+01	  0.020000000	9.541000E+00
2	  0.020200402	-7.275000E+00	  0.020200402	1.540190E+02	  0.020200402	2.067700E+01	  0.020200402	9.645000E+00
3	  0.020400802	-7.272000E+00	  0.020400802	1.537740E+02	  0.020400802	2.068700E+01	  0.020400802	9.739000E+00
4	  0.020601204	-7.269000E+00	  0.020601204	1.535220E+02	  0.020601204	2.069600E+01	  0.020601204	9.836000E+00
5	  0.020801604	-7.265000E+00	  0.020801604	1.532680E+02	  0.020801604	2.070600E+01	  0.020801604	9.934000E+00
6	  0.021002004	-7.261000E+00	  0.021002004	1.530150E+02	  0.021002004	2.071300E+01	  0.021002004	1.003200E+01
7	  0.021202406	-7.262000E+00	  0.021202406	1.527770E+02	  0.021202406	2.073200E+01	  0.021202406	1.012200E+01
8	  0.021402806	-7.260000E+00	  0.021402806	1.525230E+02	  0.021402806	2.074700E+01	  0.021402806	1.021900E+01
9	  0.021603208	-7.264000E+00	  0.021603208	1.523200E+02	  0.021603208	2.077100E+01	  0.021603208	1.029400E+01
10	  0.021803608	-7.267000E+00	  0.021803608	1.520600E+02	  0.021803608	2.080000E+01	  0.021803608	1.039100E+01
11	  0.022004008	-7.272000E+00	  0.022004008	1.518450E+02	  0.022004008	2.082800E+01	  0.022004008	1.047100E+01
12	  0.022204408	-7.274000E+00	  0.022204408	1.516220E+02	  0.022204408	2.084900E+01	  0.022204408	1.055400E+01
13	  0.022404809	-7.271000E+00	  0.022404809	1.513560E+02	  0.022404809	2.086200E+01	  0.022404809	1.065700E+01
14	  0.022605211	-7.276000E+00	  0.022605211	1.510940E+02	  0.022605211	2.089600E+01	  0.022605211	1.075400E+01
15	  0.022805611	-7.278000E+00	  0.022805611	1.508600E+02	  0.022805611	2.091900E+01	  0.022805611	1.084200E+01
16	  0.023006011	-7.280000E+00	  0.023006011	1.506160E+02	  0.023006011	2.094400E+01	  0.023006011	1.093300E+01
17	  0.023206413	-7.282000E+00	  0.023206413	1.503590E+02	  0.023206413	2.096800E+01	  0.023206413	1.103000E+01
18	  0.023406813	-7.280000E+00	  0.023406813	1.500880E+02	  0.023406813	2.098700E+01	  0.023406813	1.113500E+01
19	  0.023607215	-7.275000E+00	  0.023607215	1.497890E+02	  0.023607215	2.099800E+01	  0.023607215	1.125100E+01
20	  0.023807615	-7.278000E+00	  0.023807615	1.495260E+02	  0.023807615	2.102800E+01	  0.023807615	1.135000E+01
21	  0.024008015	-7.277000E+00	  0.024008015	1.492760E+02	  0.024008015	2.104700E+01	  0.024008015	1.144600E+01
22	  0.024208417	-7.278000E+00	  0.024208417	1.490190E+02	  0.024208417	2.107000E+01	  0.024208417	1.154400E+01
23	  0.024408817	-7.281000E+00	  0.024408817	1.487780E+02	  0.024408817	2.109800E+01	  0.024408817	1.163400E+01
24	  0.024609219	-7.286000E+00	  0.024609219	1.485630E+02	  0.024609219	2.113100E+01	  0.024609219	1.171300E+01
25	  0.024809619	-7.287000E+00	  0.024809619	1.483510E+02	  0.024809619	2.115000E+01	  0.024809619	1.179400E+01
