! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4b.r200.3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 05:21:17 PM	05/26/2018 05:08:07 PM
! INTERNAL TEMP:    	52.5 C	52.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.544000E+00	  0.020000000	-2.247900E+01	  0.020000000	1.267110E+02	  0.020000000	-8.850000E+01
2	  0.020200402	-4.543000E+00	  0.020200402	-2.272000E+01	  0.020200402	1.257710E+02	  0.020200402	-8.875300E+01
3	  0.020400802	-4.546000E+00	  0.020400802	-2.295500E+01	  0.020400802	1.248420E+02	  0.020400802	-8.889600E+01
4	  0.020601204	-4.545000E+00	  0.020601204	-2.319400E+01	  0.020601204	1.239250E+02	  0.020601204	-8.914400E+01
5	  0.020801604	-4.544000E+00	  0.020801604	-2.342900E+01	  0.020801604	1.230270E+02	  0.020801604	-8.936300E+01
6	  0.021002004	-4.543000E+00	  0.021002004	-2.367900E+01	  0.021002004	1.220760E+02	  0.021002004	-8.959000E+01
7	  0.021202406	-4.547000E+00	  0.021202406	-2.393500E+01	  0.021202406	1.210820E+02	  0.021202406	-8.967900E+01
8	  0.021402806	-4.544000E+00	  0.021402806	-2.417700E+01	  0.021402806	1.201770E+02	  0.021402806	-8.990700E+01
9	  0.021603208	-4.546000E+00	  0.021603208	-2.442000E+01	  0.021603208	1.192560E+02	  0.021603208	-9.002100E+01
10	  0.021803608	-4.550000E+00	  0.021803608	-2.463500E+01	  0.021803608	1.184390E+02	  0.021803608	-9.006600E+01
11	  0.022004008	-4.551000E+00	  0.022004008	-2.486600E+01	  0.022004008	1.175780E+02	  0.022004008	-9.017900E+01
12	  0.022204408	-4.550000E+00	  0.022204408	-2.507700E+01	  0.022204408	1.168040E+02	  0.022204408	-9.031700E+01
13	  0.022404809	-4.549000E+00	  0.022404809	-2.530200E+01	  0.022404809	1.159800E+02	  0.022404809	-9.045500E+01
14	  0.022605211	-4.549000E+00	  0.022605211	-2.553800E+01	  0.022605211	1.151200E+02	  0.022605211	-9.056600E+01
15	  0.022805611	-4.550000E+00	  0.022805611	-2.577700E+01	  0.022805611	1.142490E+02	  0.022805611	-9.063500E+01
