! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.66.5.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 01:22:19 PM	05/27/2018 01:14:08 PM
! INTERNAL TEMP:    	52.0 C	52.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(0.829 ohm, 7.060 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.700000E-02	  0.020000000	-6.807100E+01	  0.020000000	3.460000E-01	  0.020000000	-7.402600E+01
2	  0.020200402	-3.300000E-02	  0.020200402	-6.873200E+01	  0.020200402	3.000000E-01	  0.020200402	-7.311400E+01
3	  0.020400802	-3.100000E-02	  0.020400802	-6.938200E+01	  0.020400802	2.780000E-01	  0.020400802	-7.223100E+01
4	  0.020601204	-3.100000E-02	  0.020601204	-7.002400E+01	  0.020601204	2.780000E-01	  0.020601204	-7.137400E+01
5	  0.020801604	-2.800000E-02	  0.020801604	-7.064900E+01	  0.020801604	2.450000E-01	  0.020801604	-7.055100E+01
6	  0.021002004	-2.900000E-02	  0.021002004	-7.130400E+01	  0.021002004	2.480000E-01	  0.021002004	-6.970400E+01
7	  0.021202406	-3.300000E-02	  0.021202406	-7.195700E+01	  0.021202406	2.760000E-01	  0.021202406	-6.887200E+01
8	  0.021402806	-3.700000E-02	  0.021402806	-7.259300E+01	  0.021402806	3.110000E-01	  0.021402806	-6.807400E+01
9	  0.021603208	-4.300000E-02	  0.021603208	-7.323100E+01	  0.021603208	3.490000E-01	  0.021603208	-6.728400E+01
10	  0.021803608	-4.700000E-02	  0.021803608	-7.385500E+01	  0.021803608	3.740000E-01	  0.021803608	-6.652500E+01
11	  0.022004008	-4.900000E-02	  0.022004008	-7.448600E+01	  0.022004008	3.900000E-01	  0.022004008	-6.576700E+01
12	  0.022204408	-5.400000E-02	  0.022204408	-7.513300E+01	  0.022204408	4.200000E-01	  0.022204408	-6.500200E+01
13	  0.022404809	-5.500000E-02	  0.022404809	-7.577500E+01	  0.022404809	4.230000E-01	  0.022404809	-6.425400E+01
14	  0.022605211	-5.600000E-02	  0.022605211	-7.642600E+01	  0.022605211	4.260000E-01	  0.022605211	-6.350700E+01
15	  0.022805611	-5.200000E-02	  0.022805611	-7.708100E+01	  0.022805611	3.900000E-01	  0.022805611	-6.276500E+01
16	  0.023006011	-4.500000E-02	  0.023006011	-7.773000E+01	  0.023006011	3.290000E-01	  0.023006011	-6.204100E+01
17	  0.023206413	-3.900000E-02	  0.023206413	-7.837400E+01	  0.023206413	2.810000E-01	  0.023206413	-6.133300E+01
18	  0.023406813	-3.400000E-02	  0.023406813	-7.901600E+01	  0.023406813	2.420000E-01	  0.023406813	-6.063600E+01
19	  0.023607215	-3.100000E-02	  0.023607215	-7.963400E+01	  0.023607215	2.180000E-01	  0.023607215	-5.997400E+01
20	  0.023807615	-3.100000E-02	  0.023807615	-8.023300E+01	  0.023807615	2.210000E-01	  0.023807615	-5.934000E+01
21	  0.024008015	-3.700000E-02	  0.024008015	-8.080300E+01	  0.024008015	2.560000E-01	  0.024008015	-5.874500E+01
22	  0.024208417	-4.100000E-02	  0.024208417	-8.137700E+01	  0.024208417	2.790000E-01	  0.024208417	-5.815200E+01
23	  0.024408817	-4.700000E-02	  0.024408817	-8.194400E+01	  0.024408817	3.180000E-01	  0.024408817	-5.757400E+01
24	  0.024609219	-5.400000E-02	  0.024609219	-8.251900E+01	  0.024609219	3.600000E-01	  0.024609219	-5.699200E+01
25	  0.024809619	-6.000000E-02	  0.024809619	-8.313600E+01	  0.024809619	3.950000E-01	  0.024809619	-5.637800E+01
26	  0.025010020	-6.000000E-02	  0.025010020	-8.378000E+01	  0.025010020	3.900000E-01	  0.025010020	-5.574300E+01
27	  0.025210422	-6.100000E-02	  0.025210422	-8.442200E+01	  0.025210422	3.940000E-01	  0.025210422	-5.511800E+01
28	  0.025410822	-6.400000E-02	  0.025410822	-8.508300E+01	  0.025410822	4.030000E-01	  0.025410822	-5.448400E+01
29	  0.025611224	-6.500000E-02	  0.025611224	-8.571400E+01	  0.025611224	4.040000E-01	  0.025611224	-5.388500E+01
30	  0.025811624	-6.000000E-02	  0.025811624	-8.636200E+01	  0.025811624	3.730000E-01	  0.025811624	-5.327700E+01
31	  0.026012026	-5.400000E-02	  0.026012026	-8.697200E+01	  0.026012026	3.330000E-01	  0.026012026	-5.271300E+01
32	  0.026212426	-5.400000E-02	  0.026212426	-8.757700E+01	  0.026212426	3.250000E-01	  0.026212426	-5.215800E+01
33	  0.026412826	-5.700000E-02	  0.026412826	-8.817400E+01	  0.026412826	3.410000E-01	  0.026412826	-5.161800E+01
34	  0.026613226	-6.100000E-02	  0.026613226	-8.877000E+01	  0.026613226	3.600000E-01	  0.026613226	-5.108300E+01
35	  0.026813626	-6.700000E-02	  0.026813626	-8.934400E+01	  0.026813626	3.920000E-01	  0.026813626	-5.057400E+01
36	  0.027014028	-7.500000E-02	  0.027014028	-8.990400E+01	  0.027014028	4.370000E-01	  0.027014028	-5.008100E+01
37	  0.027214428	-8.400000E-02	  0.027214428	-9.049200E+01	  0.027214428	4.820000E-01	  0.027214428	-4.956900E+01
38	  0.027414829	-9.500000E-02	  0.027414829	-9.112000E+01	  0.027414829	5.410000E-01	  0.027414829	-4.902800E+01
39	  0.027615231	-1.020000E-01	  0.027615231	-9.179600E+01	  0.027615231	5.690000E-01	  0.027615231	-4.845300E+01
40	  0.027815631	-1.030000E-01	  0.027815631	-9.248400E+01	  0.027815631	5.720000E-01	  0.027815631	-4.787300E+01
41	  0.028016033	-9.900000E-02	  0.028016033	-9.317600E+01	  0.028016033	5.410000E-01	  0.028016033	-4.729900E+01
42	  0.028216433	-9.000000E-02	  0.028216433	-9.387200E+01	  0.028216433	4.850000E-01	  0.028216433	-4.672700E+01
43	  0.028416833	-7.900000E-02	  0.028416833	-9.453400E+01	  0.028416833	4.230000E-01	  0.028416833	-4.618900E+01
44	  0.028617235	-7.100000E-02	  0.028617235	-9.518200E+01	  0.028617235	3.770000E-01	  0.028617235	-4.566800E+01
45	  0.028817635	-6.400000E-02	  0.028817635	-9.577100E+01	  0.028817635	3.350000E-01	  0.028817635	-4.519900E+01
46	  0.029018037	-5.500000E-02	  0.029018037	-9.631000E+01	  0.029018037	2.890000E-01	  0.029018037	-4.477400E+01
47	  0.029218437	-5.000000E-02	  0.029218437	-9.683500E+01	  0.029218437	2.600000E-01	  0.029218437	-4.436300E+01
48	  0.029418837	-4.500000E-02	  0.029418837	-9.733500E+01	  0.029418837	2.330000E-01	  0.029418837	-4.397500E+01
49	  0.029619239	-4.300000E-02	  0.029619239	-9.781900E+01	  0.029619239	2.180000E-01	  0.029619239	-4.360200E+01
50	  0.029819639	-4.400000E-02	  0.029819639	-9.833900E+01	  0.029819639	2.240000E-01	  0.029819639	-4.320400E+01
51	  0.030020041	-5.200000E-02	  0.030020041	-9.887300E+01	  0.030020041	2.600000E-01	  0.030020041	-4.279800E+01
52	  0.030220442	-6.200000E-02	  0.030220442	-9.942900E+01	  0.030220442	3.090000E-01	  0.030220442	-4.237900E+01
53	  0.030420844	-7.300000E-02	  0.030420844	-1.000260E+02	  0.030420844	3.620000E-01	  0.030420844	-4.193400E+01
54	  0.030621244	-8.300000E-02	  0.030621244	-1.006610E+02	  0.030621244	4.040000E-01	  0.030621244	-4.146400E+01
55	  0.030821644	-8.300000E-02	  0.030821644	-1.012980E+02	  0.030821644	4.020000E-01	  0.030821644	-4.099700E+01
56	  0.031022044	-8.200000E-02	  0.031022044	-1.019010E+02	  0.031022044	3.910000E-01	  0.031022044	-4.055800E+01
57	  0.031222444	-7.700000E-02	  0.031222444	-1.024920E+02	  0.031222444	3.650000E-01	  0.031222444	-4.013300E+01
58	  0.031422846	-7.400000E-02	  0.031422846	-1.030780E+02	  0.031422846	3.470000E-01	  0.031422846	-3.971400E+01
59	  0.031623244	-7.600000E-02	  0.031623244	-1.036240E+02	  0.031623244	3.580000E-01	  0.031623244	-3.932700E+01
60	  0.031823646	-7.700000E-02	  0.031823646	-1.041650E+02	  0.031823646	3.570000E-01	  0.031823646	-3.894700E+01
61	  0.032024048	-7.800000E-02	  0.032024048	-1.046790E+02	  0.032024048	3.620000E-01	  0.032024048	-3.858700E+01
62	  0.032224450	-8.700000E-02	  0.032224450	-1.051970E+02	  0.032224450	3.980000E-01	  0.032224450	-3.822800E+01
63	  0.032424849	-9.900000E-02	  0.032424849	-1.057310E+02	  0.032424849	4.510000E-01	  0.032424849	-3.786000E+01
64	  0.032625251	-1.110000E-01	  0.032625251	-1.063130E+02	  0.032625251	5.000000E-01	  0.032625251	-3.746100E+01
65	  0.032825653	-1.230000E-01	  0.032825653	-1.069070E+02	  0.032825653	5.490000E-01	  0.032825653	-3.705700E+01
66	  0.033026051	-1.280000E-01	  0.033026051	-1.075490E+02	  0.033026051	5.690000E-01	  0.033026051	-3.662500E+01
67	  0.033226453	-1.280000E-01	  0.033226453	-1.081810E+02	  0.033226453	5.620000E-01	  0.033226453	-3.620300E+01
68	  0.033426855	-1.320000E-01	  0.033426855	-1.088130E+02	  0.033426855	5.750000E-01	  0.033426855	-3.578400E+01
69	  0.033627257	-1.330000E-01	  0.033627257	-1.094700E+02	  0.033627257	5.770000E-01	  0.033627257	-3.535200E+01
70	  0.033827655	-1.340000E-01	  0.033827655	-1.101220E+02	  0.033827655	5.740000E-01	  0.033827655	-3.492700E+01
71	  0.034028057	-1.280000E-01	  0.034028057	-1.107350E+02	  0.034028057	5.460000E-01	  0.034028057	-3.453100E+01
72	  0.034228459	-1.200000E-01	  0.034228459	-1.113570E+02	  0.034228459	5.060000E-01	  0.034228459	-3.413200E+01
73	  0.034428857	-1.110000E-01	  0.034428857	-1.119400E+02	  0.034428857	4.680000E-01	  0.034428857	-3.376100E+01
74	  0.034629259	-1.000000E-01	  0.034629259	-1.124900E+02	  0.034629259	4.200000E-01	  0.034629259	-3.341300E+01
75	  0.034829661	-9.500000E-02	  0.034829661	-1.129920E+02	  0.034829661	3.940000E-01	  0.034829661	-3.309700E+01
76	  0.035030060	-9.000000E-02	  0.035030060	-1.134930E+02	  0.035030060	3.710000E-01	  0.035030060	-3.278400E+01
77	  0.035230462	-8.600000E-02	  0.035230462	-1.139760E+02	  0.035230462	3.530000E-01	  0.035230462	-3.248300E+01
78	  0.035430863	-8.700000E-02	  0.035430863	-1.144760E+02	  0.035430863	3.570000E-01	  0.035430863	-3.217400E+01
79	  0.035631265	-9.400000E-02	  0.035631265	-1.149970E+02	  0.035631265	3.830000E-01	  0.035631265	-3.185300E+01
80	  0.035831664	-1.030000E-01	  0.035831664	-1.155320E+02	  0.035831664	4.140000E-01	  0.035831664	-3.152600E+01
81	  0.036032066	-1.130000E-01	  0.036032066	-1.161060E+02	  0.036032066	4.520000E-01	  0.036032066	-3.117700E+01
82	  0.036232468	-1.180000E-01	  0.036232468	-1.166820E+02	  0.036232468	4.700000E-01	  0.036232468	-3.082900E+01
83	  0.036432866	-1.230000E-01	  0.036432866	-1.173090E+02	  0.036432866	4.880000E-01	  0.036432866	-3.045200E+01
84	  0.036633268	-1.250000E-01	  0.036633268	-1.178990E+02	  0.036633268	4.920000E-01	  0.036633268	-3.010000E+01
85	  0.036833670	-1.210000E-01	  0.036833670	-1.185060E+02	  0.036833670	4.740000E-01	  0.036833670	-2.974100E+01
86	  0.037034072	-1.090000E-01	  0.037034072	-1.190440E+02	  0.037034072	4.250000E-01	  0.037034072	-2.942400E+01
87	  0.037234470	-1.020000E-01	  0.037234470	-1.195260E+02	  0.037234470	3.940000E-01	  0.037234470	-2.914200E+01
88	  0.037434869	-9.900000E-02	  0.037434869	-1.199940E+02	  0.037434869	3.820000E-01	  0.037434869	-2.886900E+01
89	  0.037635271	-9.800000E-02	  0.037635271	-1.204780E+02	  0.037635271	3.770000E-01	  0.037635271	-2.858800E+01
90	  0.037835669	-1.050000E-01	  0.037835669	-1.209690E+02	  0.037835669	4.020000E-01	  0.037835669	-2.830400E+01
91	  0.038036071	-1.140000E-01	  0.038036071	-1.214950E+02	  0.038036071	4.340000E-01	  0.038036071	-2.800200E+01
92	  0.038236473	-1.220000E-01	  0.038236473	-1.220390E+02	  0.038236473	4.610000E-01	  0.038236473	-2.769000E+01
93	  0.038436871	-1.300000E-01	  0.038436871	-1.226030E+02	  0.038436871	4.860000E-01	  0.038436871	-2.736900E+01
94	  0.038637273	-1.360000E-01	  0.038637273	-1.231550E+02	  0.038637273	5.080000E-01	  0.038637273	-2.705700E+01
95	  0.038837675	-1.420000E-01	  0.038837675	-1.237190E+02	  0.038837675	5.280000E-01	  0.038837675	-2.674000E+01
96	  0.039038073	-1.500000E-01	  0.039038073	-1.243050E+02	  0.039038073	5.520000E-01	  0.039038073	-2.641200E+01
97	  0.039238475	-1.530000E-01	  0.039238475	-1.248910E+02	  0.039238475	5.600000E-01	  0.039238475	-2.608500E+01
98	  0.039438877	-1.530000E-01	  0.039438877	-1.254810E+02	  0.039438877	5.600000E-01	  0.039438877	-2.575900E+01
99	  0.039639279	-1.490000E-01	  0.039639279	-1.260480E+02	  0.039639279	5.420000E-01	  0.039639279	-2.544700E+01
100	  0.039839678	-1.450000E-01	  0.039839678	-1.265850E+02	  0.039839678	5.240000E-01	  0.039839678	-2.515200E+01
101	  0.040040080	-1.380000E-01	  0.040040080	-1.271120E+02	  0.040040080	4.970000E-01	  0.040040080	-2.486500E+01
102	  0.040240481	-1.340000E-01	  0.040240481	-1.276290E+02	  0.040240481	4.790000E-01	  0.040240481	-2.458500E+01
103	  0.040440880	-1.320000E-01	  0.040440880	-1.281450E+02	  0.040440880	4.720000E-01	  0.040440880	-2.430600E+01
104	  0.040641282	-1.280000E-01	  0.040641282	-1.286680E+02	  0.040641282	4.540000E-01	  0.040641282	-2.402500E+01
105	  0.040841684	-1.300000E-01	  0.040841684	-1.291750E+02	  0.040841684	4.590000E-01	  0.040841684	-2.375300E+01
106	  0.041042086	-1.300000E-01	  0.041042086	-1.296780E+02	  0.041042086	4.600000E-01	  0.041042086	-2.348400E+01
107	  0.041242484	-1.390000E-01	  0.041242484	-1.301810E+02	  0.041242484	4.880000E-01	  0.041242484	-2.321700E+01
