! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.m.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 11:59:04 AM	05/27/2018 11:54:56 AM
! INTERNAL TEMP:    	50.0 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(16.327 ohm, -1.744 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.170000E-01	  0.020000000	-1.251630E+02	  0.020000000	2.252000E+00	  0.020000000	-2.589600E+01
2	  0.020200402	-6.180000E-01	  0.020200402	-1.266170E+02	  0.020200402	2.229000E+00	  0.020200402	-2.509700E+01
3	  0.020400802	-6.170000E-01	  0.020400802	-1.280600E+02	  0.020400802	2.195000E+00	  0.020400802	-2.431600E+01
4	  0.020601204	-6.190000E-01	  0.020601204	-1.295020E+02	  0.020601204	2.179000E+00	  0.020601204	-2.354300E+01
5	  0.020801604	-6.240000E-01	  0.020801604	-1.309730E+02	  0.020801604	2.169000E+00	  0.020801604	-2.276400E+01
6	  0.021002004	-6.290000E-01	  0.021002004	-1.324760E+02	  0.021002004	2.162000E+00	  0.021002004	-2.197800E+01
7	  0.021202406	-6.370000E-01	  0.021202406	-1.339820E+02	  0.021202406	2.164000E+00	  0.021202406	-2.119800E+01
8	  0.021402806	-6.430000E-01	  0.021402806	-1.355250E+02	  0.021402806	2.161000E+00	  0.021402806	-2.040900E+01
9	  0.021603208	-6.480000E-01	  0.021603208	-1.370340E+02	  0.021603208	2.152000E+00	  0.021603208	-1.964600E+01
10	  0.021803608	-6.530000E-01	  0.021803608	-1.385520E+02	  0.021803608	2.148000E+00	  0.021803608	-1.888600E+01
11	  0.022004008	-6.580000E-01	  0.022004008	-1.400950E+02	  0.022004008	2.143000E+00	  0.022004008	-1.812100E+01
12	  0.022204408	-6.620000E-01	  0.022204408	-1.416540E+02	  0.022204408	2.134000E+00	  0.022204408	-1.735700E+01
13	  0.022404809	-6.660000E-01	  0.022404809	-1.432080E+02	  0.022404809	2.128000E+00	  0.022404809	-1.660100E+01
14	  0.022605211	-6.700000E-01	  0.022605211	-1.447480E+02	  0.022605211	2.122000E+00	  0.022605211	-1.585900E+01
15	  0.022805611	-6.680000E-01	  0.022805611	-1.462680E+02	  0.022805611	2.099000E+00	  0.022805611	-1.513400E+01
16	  0.023006011	-6.710000E-01	  0.023006011	-1.477840E+02	  0.023006011	2.091000E+00	  0.023006011	-1.441500E+01
