! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.m4.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 12:52:10 PM	05/27/2018 12:49:51 PM
! INTERNAL TEMP:    	52.5 C	52.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(16.325 ohm, -1.076 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.290000E-01	  0.020000000	-1.255930E+02	  0.020000000	2.288000E+00	  0.020000000	-2.565700E+01
2	  0.020200402	-6.280000E-01	  0.020200402	-1.270720E+02	  0.020200402	2.256000E+00	  0.020200402	-2.484800E+01
3	  0.020400802	-6.270000E-01	  0.020400802	-1.285250E+02	  0.020400802	2.224000E+00	  0.020400802	-2.406400E+01
4	  0.020601204	-6.270000E-01	  0.020601204	-1.299470E+02	  0.020601204	2.198000E+00	  0.020601204	-2.330600E+01
5	  0.020801604	-6.320000E-01	  0.020801604	-1.314090E+02	  0.020801604	2.188000E+00	  0.020801604	-2.253400E+01
6	  0.021002004	-6.390000E-01	  0.021002004	-1.329040E+02	  0.021002004	2.188000E+00	  0.021002004	-2.175500E+01
7	  0.021202406	-6.470000E-01	  0.021202406	-1.344120E+02	  0.021202406	2.192000E+00	  0.021202406	-2.097700E+01
8	  0.021402806	-6.550000E-01	  0.021402806	-1.359240E+02	  0.021402806	2.193000E+00	  0.021402806	-2.020600E+01
9	  0.021603208	-6.600000E-01	  0.021603208	-1.374160E+02	  0.021603208	2.186000E+00	  0.021603208	-1.945300E+01
10	  0.021803608	-6.660000E-01	  0.021803608	-1.389200E+02	  0.021803608	2.185000E+00	  0.021803608	-1.870200E+01
11	  0.022004008	-6.720000E-01	  0.022004008	-1.404410E+02	  0.022004008	2.185000E+00	  0.022004008	-1.795000E+01
12	  0.022204408	-6.780000E-01	  0.022204408	-1.419910E+02	  0.022204408	2.184000E+00	  0.022204408	-1.719100E+01
13	  0.022404809	-6.800000E-01	  0.022404809	-1.435560E+02	  0.022404809	2.170000E+00	  0.022404809	-1.643200E+01
14	  0.022605211	-6.820000E-01	  0.022605211	-1.450830E+02	  0.022605211	2.157000E+00	  0.022605211	-1.569800E+01
15	  0.022805611	-6.830000E-01	  0.022805611	-1.466250E+02	  0.022805611	2.141000E+00	  0.022805611	-1.496300E+01
16	  0.023006011	-6.880000E-01	  0.023006011	-1.481460E+02	  0.023006011	2.142000E+00	  0.023006011	-1.424300E+01
