! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.m8_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 01:32:14 PM	05/27/2018 01:14:08 PM
! INTERNAL TEMP:    	51.8 C	52.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(16.304 ohm, -0.968 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.250000E-01	  0.020000000	-1.257010E+02	  0.020000000	2.272000E+00	  0.020000000	-2.559800E+01
2	  0.020200402	-6.220000E-01	  0.020200402	-1.271900E+02	  0.020200402	2.230000E+00	  0.020200402	-2.478500E+01
3	  0.020400802	-6.210000E-01	  0.020400802	-1.286440E+02	  0.020400802	2.202000E+00	  0.020400802	-2.400100E+01
4	  0.020601204	-6.230000E-01	  0.020601204	-1.300760E+02	  0.020601204	2.183000E+00	  0.020601204	-2.323800E+01
5	  0.020801604	-6.250000E-01	  0.020801604	-1.315330E+02	  0.020801604	2.163000E+00	  0.020801604	-2.247000E+01
6	  0.021002004	-6.320000E-01	  0.021002004	-1.330300E+02	  0.021002004	2.164000E+00	  0.021002004	-2.169000E+01
7	  0.021202406	-6.400000E-01	  0.021202406	-1.345350E+02	  0.021202406	2.167000E+00	  0.021202406	-2.091400E+01
8	  0.021402806	-6.460000E-01	  0.021402806	-1.360330E+02	  0.021402806	2.163000E+00	  0.021402806	-2.015200E+01
9	  0.021603208	-6.540000E-01	  0.021603208	-1.375240E+02	  0.021603208	2.165000E+00	  0.021603208	-1.939900E+01
10	  0.021803608	-6.590000E-01	  0.021803608	-1.390160E+02	  0.021803608	2.162000E+00	  0.021803608	-1.865500E+01
11	  0.022004008	-6.660000E-01	  0.022004008	-1.405410E+02	  0.022004008	2.164000E+00	  0.022004008	-1.790100E+01
12	  0.022204408	-6.700000E-01	  0.022204408	-1.420780E+02	  0.022204408	2.157000E+00	  0.022204408	-1.714900E+01
13	  0.022404809	-6.730000E-01	  0.022404809	-1.436190E+02	  0.022404809	2.146000E+00	  0.022404809	-1.640200E+01
14	  0.022605211	-6.760000E-01	  0.022605211	-1.451490E+02	  0.022605211	2.136000E+00	  0.022605211	-1.566600E+01
15	  0.022805611	-6.770000E-01	  0.022805611	-1.466810E+02	  0.022805611	2.124000E+00	  0.022805611	-1.493700E+01
16	  0.023006011	-6.810000E-01	  0.023006011	-1.482090E+02	  0.023006011	2.119000E+00	  0.023006011	-1.421400E+01
17	  0.023206413	-6.890000E-01	  0.023206413	-1.497680E+02	  0.023206413	2.127000E+00	  0.023206413	-1.348300E+01
18	  0.023406813	-6.980000E-01	  0.023406813	-1.513530E+02	  0.023406813	2.138000E+00	  0.023406813	-1.274400E+01
19	  0.023607215	-7.050000E-01	  0.023607215	-1.529390E+02	  0.023607215	2.146000E+00	  0.023607215	-1.201100E+01
20	  0.023807615	-7.130000E-01	  0.023807615	-1.545370E+02	  0.023807615	2.158000E+00	  0.023807615	-1.127600E+01
21	  0.024008015	-7.220000E-01	  0.024008015	-1.561250E+02	  0.024008015	2.171000E+00	  0.024008015	-1.055100E+01
22	  0.024208417	-7.300000E-01	  0.024208417	-1.577220E+02	  0.024208417	2.184000E+00	  0.024208417	-9.826000E+00
23	  0.024408817	-7.430000E-01	  0.024408817	-1.593460E+02	  0.024408817	2.210000E+00	  0.024408817	-9.093000E+00
24	  0.024609219	-7.540000E-01	  0.024609219	-1.609980E+02	  0.024609219	2.231000E+00	  0.024609219	-8.351000E+00
25	  0.024809619	-7.610000E-01	  0.024809619	-1.626720E+02	  0.024809619	2.239000E+00	  0.024809619	-7.603000E+00
26	  0.025010020	-7.660000E-01	  0.025010020	-1.643340E+02	  0.025010020	2.246000E+00	  0.025010020	-6.864000E+00
27	  0.025210422	-7.720000E-01	  0.025210422	-1.659930E+02	  0.025210422	2.254000E+00	  0.025210422	-6.129000E+00
28	  0.025410822	-7.830000E-01	  0.025410822	-1.676610E+02	  0.025410822	2.278000E+00	  0.025410822	-5.393000E+00
29	  0.025611224	-7.910000E-01	  0.025611224	-1.693240E+02	  0.025611224	2.296000E+00	  0.025611224	-4.661000E+00
30	  0.025811624	-8.000000E-01	  0.025811624	-1.710280E+02	  0.025811624	2.316000E+00	  0.025811624	-3.914000E+00
31	  0.026012026	-8.100000E-01	  0.026012026	-1.727220E+02	  0.026012026	2.341000E+00	  0.026012026	-3.172000E+00
32	  0.026212426	-8.240000E-01	  0.026212426	-1.744320E+02	  0.026212426	2.377000E+00	  0.026212426	-2.425000E+00
33	  0.026412826	-8.410000E-01	  0.026412826	-1.761490E+02	  0.026412826	2.423000E+00	  0.026412826	-1.676000E+00
34	  0.026613226	-8.580000E-01	  0.026613226	-1.778820E+02	  0.026613226	2.470000E+00	  0.026613226	-9.210000E-01
35	  0.026813626	-8.740000E-01	  0.026813626	-1.796130E+02	  0.026813626	2.513000E+00	  0.026813626	-1.680000E-01
36	  0.027014028	-8.900000E-01	  0.027014028	1.786450E+02	  0.027014028	2.560000E+00	  0.027014028	5.890000E-01
37	  0.027214428	-9.040000E-01	  0.027214428	1.769160E+02	  0.027214428	2.604000E+00	  0.027214428	1.342000E+00
38	  0.027414829	-9.200000E-01	  0.027414829	1.751610E+02	  0.027414829	2.651000E+00	  0.027414829	2.106000E+00
39	  0.027615231	-9.380000E-01	  0.027615231	1.734110E+02	  0.027615231	2.707000E+00	  0.027615231	2.869000E+00
40	  0.027815631	-9.590000E-01	  0.027815631	1.716220E+02	  0.027815631	2.773000E+00	  0.027815631	3.650000E+00
41	  0.028016033	-9.800000E-01	  0.028016033	1.698210E+02	  0.028016033	2.840000E+00	  0.028016033	4.438000E+00
42	  0.028216433	-9.990000E-01	  0.028216433	1.680050E+02	  0.028216433	2.906000E+00	  0.028216433	5.235000E+00
43	  0.028416833	-1.022000E+00	  0.028416833	1.661930E+02	  0.028416833	2.981000E+00	  0.028416833	6.032000E+00
44	  0.028617235	-1.046000E+00	  0.028617235	1.643810E+02	  0.028617235	3.064000E+00	  0.028617235	6.832000E+00
45	  0.028817635	-1.071000E+00	  0.028817635	1.625450E+02	  0.028817635	3.153000E+00	  0.028817635	7.645000E+00
46	  0.029018037	-1.098000E+00	  0.029018037	1.606760E+02	  0.029018037	3.249000E+00	  0.029018037	8.477000E+00
