! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.r20.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 12:04:42 PM	05/27/2018 11:54:56 AM
! INTERNAL TEMP:    	51.0 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(31.831 ohm, 33.877 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.304000E+00	  0.020000000	1.553330E+02	  0.020000000	2.066000E+01	  0.020000000	9.137000E+00
2	  0.020200402	-7.311000E+00	  0.020200402	1.550390E+02	  0.020200402	2.069700E+01	  0.020200402	9.244000E+00
3	  0.020400802	-7.315000E+00	  0.020400802	1.547830E+02	  0.020400802	2.072400E+01	  0.020400802	9.339000E+00
4	  0.020601204	-7.312000E+00	  0.020601204	1.544840E+02	  0.020601204	2.073700E+01	  0.020601204	9.453000E+00
5	  0.020801604	-7.312000E+00	  0.020801604	1.542180E+02	  0.020801604	2.075500E+01	  0.020801604	9.553000E+00
6	  0.021002004	-7.306000E+00	  0.021002004	1.539300E+02	  0.021002004	2.076100E+01	  0.021002004	9.665000E+00
7	  0.021202406	-7.307000E+00	  0.021202406	1.536410E+02	  0.021202406	2.078300E+01	  0.021202406	9.773000E+00
8	  0.021402806	-7.302000E+00	  0.021402806	1.534100E+02	  0.021402806	2.078700E+01	  0.021402806	9.863000E+00
9	  0.021603208	-7.304000E+00	  0.021603208	1.531710E+02	  0.021603208	2.080900E+01	  0.021603208	9.952000E+00
10	  0.021803608	-7.303000E+00	  0.021803608	1.529160E+02	  0.021803608	2.082500E+01	  0.021803608	1.004900E+01
11	  0.022004008	-7.301000E+00	  0.022004008	1.526960E+02	  0.022004008	2.083700E+01	  0.022004008	1.013300E+01
12	  0.022204408	-7.296000E+00	  0.022204408	1.524960E+02	  0.022204408	2.083800E+01	  0.022204408	1.021200E+01
13	  0.022404809	-7.292000E+00	  0.022404809	1.522330E+02	  0.022404809	2.084900E+01	  0.022404809	1.031300E+01
14	  0.022605211	-7.294000E+00	  0.022605211	1.520480E+02	  0.022605211	2.086700E+01	  0.022605211	1.038300E+01
15	  0.022805611	-7.292000E+00	  0.022805611	1.518030E+02	  0.022805611	2.088200E+01	  0.022805611	1.047600E+01
16	  0.023006011	-7.287000E+00	  0.023006011	1.516210E+02	  0.023006011	2.088400E+01	  0.023006011	1.054800E+01
17	  0.023206413	-7.286000E+00	  0.023206413	1.513860E+02	  0.023206413	2.089700E+01	  0.023206413	1.063800E+01
18	  0.023406813	-7.287000E+00	  0.023406813	1.511660E+02	  0.023406813	2.091700E+01	  0.023406813	1.072100E+01
19	  0.023607215	-7.286000E+00	  0.023607215	1.509480E+02	  0.023607215	2.093200E+01	  0.023607215	1.080400E+01
20	  0.023807615	-7.289000E+00	  0.023807615	1.507340E+02	  0.023807615	2.095600E+01	  0.023807615	1.088400E+01
21	  0.024008015	-7.293000E+00	  0.024008015	1.505040E+02	  0.024008015	2.098600E+01	  0.024008015	1.096900E+01
22	  0.024208417	-7.294000E+00	  0.024208417	1.503070E+02	  0.024208417	2.100400E+01	  0.024208417	1.104400E+01
23	  0.024408817	-7.302000E+00	  0.024408817	1.500920E+02	  0.024408817	2.104200E+01	  0.024408817	1.112100E+01
24	  0.024609219	-7.309000E+00	  0.024609219	1.498810E+02	  0.024609219	2.107700E+01	  0.024609219	1.119800E+01
25	  0.024809619	-7.315000E+00	  0.024809619	1.496460E+02	  0.024809619	2.111100E+01	  0.024809619	1.128400E+01
26	  0.025010020	-7.319000E+00	  0.025010020	1.493980E+02	  0.025010020	2.114200E+01	  0.025010020	1.137600E+01
27	  0.025210422	-7.329000E+00	  0.025210422	1.491170E+02	  0.025210422	2.119000E+01	  0.025210422	1.147800E+01
28	  0.025410822	-7.332000E+00	  0.025410822	1.488170E+02	  0.025410822	2.122400E+01	  0.025410822	1.159000E+01
29	  0.025611224	-7.332000E+00	  0.025611224	1.485420E+02	  0.025611224	2.124700E+01	  0.025611224	1.169500E+01
30	  0.025811624	-7.331000E+00	  0.025811624	1.482130E+02	  0.025811624	2.127400E+01	  0.025811624	1.182100E+01
31	  0.026012026	-7.329000E+00	  0.026012026	1.479240E+02	  0.026012026	2.129300E+01	  0.026012026	1.193300E+01
