! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.r200.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 12:08:07 PM	05/27/2018 11:54:56 AM
! INTERNAL TEMP:    	51.5 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(30.267 ohm, -52.389 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.543000E+00	  0.020000000	-2.183200E+01	  0.020000000	1.292670E+02	  0.020000000	-8.784900E+01
2	  0.020200402	-4.544000E+00	  0.020200402	-2.204100E+01	  0.020200402	1.284370E+02	  0.020200402	-8.805900E+01
3	  0.020400802	-4.540000E+00	  0.020400802	-2.224500E+01	  0.020400802	1.276510E+02	  0.020400802	-8.835700E+01
4	  0.020601204	-4.539000E+00	  0.020601204	-2.243200E+01	  0.020601204	1.269280E+02	  0.020601204	-8.858500E+01
5	  0.020801604	-4.540000E+00	  0.020801604	-2.262800E+01	  0.020801604	1.261510E+02	  0.020801604	-8.874800E+01
6	  0.021002004	-4.541000E+00	  0.021002004	-2.281800E+01	  0.021002004	1.254050E+02	  0.021002004	-8.890200E+01
7	  0.021202406	-4.542000E+00	  0.021202406	-2.302600E+01	  0.021202406	1.245930E+02	  0.021202406	-8.908200E+01
8	  0.021402806	-4.546000E+00	  0.021402806	-2.322300E+01	  0.021402806	1.238090E+02	  0.021402806	-8.914800E+01
9	  0.021603208	-4.550000E+00	  0.021603208	-2.341500E+01	  0.021603208	1.230500E+02	  0.021603208	-8.920700E+01
10	  0.021803608	-4.554000E+00	  0.021803608	-2.361200E+01	  0.021803608	1.222770E+02	  0.021803608	-8.926300E+01
11	  0.022004008	-4.558000E+00	  0.022004008	-2.382900E+01	  0.022004008	1.214300E+02	  0.022004008	-8.932500E+01
12	  0.022204408	-4.562000E+00	  0.022204408	-2.404100E+01	  0.022204408	1.206100E+02	  0.022204408	-8.937800E+01
13	  0.022404809	-4.566000E+00	  0.022404809	-2.424900E+01	  0.022404809	1.198140E+02	  0.022404809	-8.942900E+01
14	  0.022605211	-4.572000E+00	  0.022605211	-2.449600E+01	  0.022605211	1.188670E+02	  0.022605211	-8.943800E+01
15	  0.022805611	-4.574000E+00	  0.022805611	-2.475400E+01	  0.022805611	1.179020E+02	  0.022805611	-8.954400E+01
16	  0.023006011	-4.576000E+00	  0.023006011	-2.501100E+01	  0.023006011	1.169520E+02	  0.023006011	-8.964400E+01
17	  0.023206413	-4.575000E+00	  0.023206413	-2.529200E+01	  0.023206413	1.159330E+02	  0.023206413	-8.982600E+01
18	  0.023406813	-4.574000E+00	  0.023406813	-2.554100E+01	  0.023406813	1.150320E+02	  0.023406813	-8.995500E+01
19	  0.023607215	-4.572000E+00	  0.023607215	-2.582600E+01	  0.023607215	1.140140E+02	  0.023607215	-9.013300E+01
20	  0.023807615	-4.572000E+00	  0.023807615	-2.608200E+01	  0.023807615	1.130950E+02	  0.023807615	-9.022300E+01
21	  0.024008015	-4.570000E+00	  0.024008015	-2.635500E+01	  0.024008015	1.121320E+02	  0.024008015	-9.037300E+01
22	  0.024208417	-4.569000E+00	  0.024208417	-2.658500E+01	  0.024208417	1.113220E+02	  0.024208417	-9.046600E+01
23	  0.024408817	-4.570000E+00	  0.024408817	-2.680600E+01	  0.024408817	1.105490E+02	  0.024408817	-9.051200E+01
24	  0.024609219	-4.571000E+00	  0.024609219	-2.701700E+01	  0.024609219	1.098110E+02	  0.024609219	-9.053200E+01
25	  0.024809619	-4.570000E+00	  0.024809619	-2.722900E+01	  0.024809619	1.090800E+02	  0.024809619	-9.061700E+01
26	  0.025010020	-4.569000E+00	  0.025010020	-2.743000E+01	  0.025010020	1.083880E+02	  0.025010020	-9.067100E+01
27	  0.025210422	-4.568000E+00	  0.025210422	-2.765500E+01	  0.025210422	1.076200E+02	  0.025210422	-9.073900E+01
28	  0.025410822	-4.566000E+00	  0.025410822	-2.786500E+01	  0.025410822	1.069080E+02	  0.025410822	-9.079500E+01
29	  0.025611224	-4.564000E+00	  0.025611224	-2.807500E+01	  0.025611224	1.062000E+02	  0.025611224	-9.086200E+01
30	  0.025811624	-4.563000E+00	  0.025811624	-2.827300E+01	  0.025811624	1.055360E+02	  0.025811624	-9.091600E+01
31	  0.026012026	-4.562000E+00	  0.026012026	-2.848400E+01	  0.026012026	1.048320E+02	  0.026012026	-9.093000E+01
32	  0.026212426	-4.562000E+00	  0.026212426	-2.869200E+01	  0.026212426	1.041410E+02	  0.026212426	-9.095500E+01
33	  0.026412826	-4.562000E+00	  0.026412826	-2.892100E+01	  0.026412826	1.033880E+02	  0.026412826	-9.093700E+01
34	  0.026613226	-4.562000E+00	  0.026613226	-2.911300E+01	  0.026613226	1.027600E+02	  0.026613226	-9.094300E+01
35	  0.026813626	-4.560000E+00	  0.026813626	-2.929600E+01	  0.026813626	1.021640E+02	  0.026813626	-9.098200E+01
36	  0.027014028	-4.563000E+00	  0.027014028	-2.946100E+01	  0.027014028	1.016310E+02	  0.027014028	-9.089800E+01
37	  0.027214428	-4.569000E+00	  0.027214428	-2.961600E+01	  0.027214428	1.011370E+02	  0.027214428	-9.076600E+01
38	  0.027414829	-4.573000E+00	  0.027414829	-2.980300E+01	  0.027414829	1.005430E+02	  0.027414829	-9.065400E+01
39	  0.027615231	-4.579000E+00	  0.027615231	-3.000800E+01	  0.027615231	9.989500E+01	  0.027615231	-9.051400E+01
40	  0.027815631	-4.588000E+00	  0.027815631	-3.024600E+01	  0.027815631	9.915700E+01	  0.027815631	-9.028600E+01
41	  0.028016033	-4.598000E+00	  0.028016033	-3.050900E+01	  0.028016033	9.835000E+01	  0.028016033	-9.005300E+01
42	  0.028216433	-4.600000E+00	  0.028216433	-3.079700E+01	  0.028216433	9.746700E+01	  0.028216433	-8.994800E+01
43	  0.028416833	-4.599000E+00	  0.028416833	-3.111800E+01	  0.028416833	9.648700E+01	  0.028416833	-8.990400E+01
