! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.r200.3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 01:05:29 PM	05/27/2018 12:49:51 PM
! INTERNAL TEMP:    	52.3 C	52.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(29.099 ohm, -50.405 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.524000E+00	  0.020000000	-2.250900E+01	  0.020000000	1.267240E+02	  0.020000000	-8.906500E+01
2	  0.020200402	-4.528000E+00	  0.020200402	-2.275200E+01	  0.020200402	1.257440E+02	  0.020200402	-8.917800E+01
3	  0.020400802	-4.538000E+00	  0.020400802	-2.298400E+01	  0.020400802	1.247790E+02	  0.020400802	-8.914200E+01
4	  0.020601204	-4.550000E+00	  0.020601204	-2.323400E+01	  0.020601204	1.237440E+02	  0.020601204	-8.905100E+01
5	  0.020801604	-4.544000E+00	  0.020801604	-2.346400E+01	  0.020801604	1.228900E+02	  0.020801604	-8.938200E+01
6	  0.021002004	-4.536000E+00	  0.021002004	-2.371600E+01	  0.021002004	1.219680E+02	  0.021002004	-8.977900E+01
7	  0.021202406	-4.534000E+00	  0.021202406	-2.395800E+01	  0.021202406	1.210560E+02	  0.021202406	-9.001000E+01
8	  0.021402806	-4.543000E+00	  0.021402806	-2.419600E+01	  0.021402806	1.201140E+02	  0.021402806	-8.996700E+01
9	  0.021603208	-4.549000E+00	  0.021603208	-2.443400E+01	  0.021603208	1.191950E+02	  0.021603208	-8.996000E+01
10	  0.021803608	-4.550000E+00	  0.021803608	-2.465100E+01	  0.021803608	1.183760E+02	  0.021803608	-9.005900E+01
11	  0.022004008	-4.545000E+00	  0.022004008	-2.486400E+01	  0.022004008	1.176090E+02	  0.022004008	-9.032200E+01
12	  0.022204408	-4.527000E+00	  0.022204408	-2.508700E+01	  0.022204408	1.168410E+02	  0.022204408	-9.086100E+01
13	  0.022404809	-4.541000E+00	  0.022404809	-2.529300E+01	  0.022404809	1.160380E+02	  0.022404809	-9.063800E+01
14	  0.022605211	-4.548000E+00	  0.022605211	-2.551400E+01	  0.022605211	1.152080E+02	  0.022605211	-9.056300E+01
15	  0.022805611	-4.555000E+00	  0.022805611	-2.574300E+01	  0.022805611	1.143600E+02	  0.022805611	-9.050700E+01
16	  0.023006011	-4.553000E+00	  0.023006011	-2.597400E+01	  0.023006011	1.135280E+02	  0.023006011	-9.062700E+01
17	  0.023206413	-4.547000E+00	  0.023206413	-2.618800E+01	  0.023206413	1.127790E+02	  0.023206413	-9.086100E+01
18	  0.023406813	-4.542000E+00	  0.023406813	-2.640500E+01	  0.023406813	1.120120E+02	  0.023406813	-9.103600E+01
19	  0.023607215	-4.541000E+00	  0.023607215	-2.664000E+01	  0.023607215	1.111810E+02	  0.023607215	-9.113600E+01
20	  0.023807615	-4.545000E+00	  0.023807615	-2.686500E+01	  0.023807615	1.103840E+02	  0.023807615	-9.110500E+01
21	  0.024008015	-4.544000E+00	  0.024008015	-2.706600E+01	  0.024008015	1.096810E+02	  0.024008015	-9.116000E+01
22	  0.024208417	-4.546000E+00	  0.024208417	-2.727700E+01	  0.024208417	1.089450E+02	  0.024208417	-9.116400E+01
23	  0.024408817	-4.551000E+00	  0.024408817	-2.746500E+01	  0.024408817	1.082910E+02	  0.024408817	-9.109400E+01
24	  0.024609219	-4.556000E+00	  0.024609219	-2.765600E+01	  0.024609219	1.076270E+02	  0.024609219	-9.100400E+01
25	  0.024809619	-4.558000E+00	  0.024809619	-2.786600E+01	  0.024809619	1.069120E+02	  0.024809619	-9.097600E+01
26	  0.025010020	-4.563000E+00	  0.025010020	-2.809000E+01	  0.025010020	1.061500E+02	  0.025010020	-9.089200E+01
27	  0.025210422	-4.567000E+00	  0.025210422	-2.831600E+01	  0.025210422	1.053890E+02	  0.025210422	-9.081300E+01
28	  0.025410822	-4.569000E+00	  0.025410822	-2.856000E+01	  0.025410822	1.045780E+02	  0.025410822	-9.078500E+01
29	  0.025611224	-4.569000E+00	  0.025611224	-2.880800E+01	  0.025611224	1.037580E+02	  0.025611224	-9.079800E+01
30	  0.025811624	-4.572000E+00	  0.025811624	-2.906500E+01	  0.025811624	1.029190E+02	  0.025811624	-9.073800E+01
31	  0.026012026	-4.574000E+00	  0.026012026	-2.933700E+01	  0.026012026	1.020350E+02	  0.026012026	-9.066800E+01
32	  0.026212426	-4.573000E+00	  0.026212426	-2.960500E+01	  0.026212426	1.011730E+02	  0.026212426	-9.067800E+01
33	  0.026412826	-4.575000E+00	  0.026412826	-2.988200E+01	  0.026412826	1.002910E+02	  0.026412826	-9.060500E+01
34	  0.026613226	-4.573000E+00	  0.026613226	-3.014300E+01	  0.026613226	9.946500E+01	  0.026613226	-9.061500E+01
35	  0.026813626	-4.567000E+00	  0.026813626	-3.035800E+01	  0.026813626	9.878500E+01	  0.026813626	-9.070500E+01
36	  0.027014028	-4.565000E+00	  0.027014028	-3.056500E+01	  0.027014028	9.813800E+01	  0.027014028	-9.071100E+01
37	  0.027214428	-4.568000E+00	  0.027214428	-3.075700E+01	  0.027214428	9.754700E+01	  0.027214428	-9.062000E+01
38	  0.027414829	-4.568000E+00	  0.027414829	-3.095000E+01	  0.027414829	9.695200E+01	  0.027414829	-9.057200E+01
39	  0.027615231	-4.570000E+00	  0.027615231	-3.116100E+01	  0.027615231	9.631400E+01	  0.027615231	-9.047000E+01
40	  0.027815631	-4.576000E+00	  0.027815631	-3.141300E+01	  0.027815631	9.555900E+01	  0.027815631	-9.028700E+01
41	  0.028016033	-4.582000E+00	  0.028016033	-3.164300E+01	  0.028016033	9.488000E+01	  0.028016033	-9.011500E+01
42	  0.028216433	-4.582000E+00	  0.028216433	-3.190000E+01	  0.028216433	9.411900E+01	  0.028216433	-9.003400E+01
43	  0.028416833	-4.577000E+00	  0.028416833	-3.216500E+01	  0.028416833	9.332600E+01	  0.028416833	-9.004200E+01
