! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5a.66.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 05:17:36 PM	05/27/2018 05:09:13 PM
! INTERNAL TEMP:    	53.3 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(0.823 ohm, 7.156 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.700000E-02	  0.020000000	-6.811600E+01	  0.020000000	3.430000E-01	  0.020000000	-7.396400E+01
2	  0.020200402	-3.500000E-02	  0.020200402	-6.876000E+01	  0.020200402	3.210000E-01	  0.020200402	-7.307600E+01
3	  0.020400802	-3.300000E-02	  0.020400802	-6.941300E+01	  0.020400802	2.960000E-01	  0.020400802	-7.218900E+01
4	  0.020601204	-3.200000E-02	  0.020601204	-7.005400E+01	  0.020601204	2.830000E-01	  0.020601204	-7.133400E+01
5	  0.020801604	-3.000000E-02	  0.020801604	-7.070600E+01	  0.020801604	2.640000E-01	  0.020801604	-7.047800E+01
6	  0.021002004	-3.100000E-02	  0.021002004	-7.137500E+01	  0.021002004	2.660000E-01	  0.021002004	-6.961300E+01
7	  0.021202406	-3.500000E-02	  0.021202406	-7.199900E+01	  0.021202406	2.910000E-01	  0.021202406	-6.881800E+01
8	  0.021402806	-3.600000E-02	  0.021402806	-7.263800E+01	  0.021402806	3.030000E-01	  0.021402806	-6.801700E+01
9	  0.021603208	-4.200000E-02	  0.021603208	-7.327400E+01	  0.021603208	3.450000E-01	  0.021603208	-6.723200E+01
10	  0.021803608	-4.700000E-02	  0.021803608	-7.389300E+01	  0.021803608	3.770000E-01	  0.021803608	-6.647800E+01
11	  0.022004008	-5.000000E-02	  0.022004008	-7.451500E+01	  0.022004008	3.980000E-01	  0.022004008	-6.573300E+01
12	  0.022204408	-5.300000E-02	  0.022204408	-7.515300E+01	  0.022204408	4.130000E-01	  0.022204408	-6.497800E+01
13	  0.022404809	-5.600000E-02	  0.022404809	-7.580600E+01	  0.022404809	4.300000E-01	  0.022404809	-6.421800E+01
14	  0.022605211	-5.700000E-02	  0.022605211	-7.644200E+01	  0.022605211	4.340000E-01	  0.022605211	-6.348800E+01
15	  0.022805611	-5.500000E-02	  0.022805611	-7.709600E+01	  0.022805611	4.090000E-01	  0.022805611	-6.274800E+01
16	  0.023006011	-4.600000E-02	  0.023006011	-7.773700E+01	  0.023006011	3.410000E-01	  0.023006011	-6.203300E+01
