! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5a..m2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 05:02:51 PM	05/27/2018 04:42:15 PM
! INTERNAL TEMP:    	53.5 C	52.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(16.424 ohm, -0.192 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.020000E-01	  0.020000000	-1.261120E+02	  0.020000000	2.543000E+00	  0.020000000	-2.536200E+01
2	  0.020200402	-7.000000E-01	  0.020200402	-1.275520E+02	  0.020200402	2.504000E+00	  0.020200402	-2.457900E+01
3	  0.020400802	-6.990000E-01	  0.020400802	-1.289850E+02	  0.020400802	2.468000E+00	  0.020400802	-2.380900E+01
4	  0.020601204	-6.980000E-01	  0.020601204	-1.303990E+02	  0.020601204	2.438000E+00	  0.020601204	-2.305800E+01
5	  0.020801604	-7.020000E-01	  0.020801604	-1.318630E+02	  0.020801604	2.424000E+00	  0.020801604	-2.228900E+01
6	  0.021002004	-7.110000E-01	  0.021002004	-1.333620E+02	  0.021002004	2.427000E+00	  0.021002004	-2.151000E+01
7	  0.021202406	-7.180000E-01	  0.021202406	-1.348710E+02	  0.021202406	2.423000E+00	  0.021202406	-2.073400E+01
8	  0.021402806	-7.260000E-01	  0.021402806	-1.363750E+02	  0.021402806	2.424000E+00	  0.021402806	-1.997000E+01
9	  0.021603208	-7.310000E-01	  0.021603208	-1.379050E+02	  0.021603208	2.416000E+00	  0.021603208	-1.920100E+01
10	  0.021803608	-7.380000E-01	  0.021803608	-1.394350E+02	  0.021803608	2.413000E+00	  0.021803608	-1.844000E+01
11	  0.022004008	-7.430000E-01	  0.022004008	-1.409650E+02	  0.022004008	2.407000E+00	  0.022004008	-1.768600E+01
12	  0.022204408	-7.490000E-01	  0.022204408	-1.425450E+02	  0.022204408	2.403000E+00	  0.022204408	-1.691500E+01
13	  0.022404809	-7.490000E-01	  0.022404809	-1.441150E+02	  0.022404809	2.380000E+00	  0.022404809	-1.615700E+01
14	  0.022605211	-7.490000E-01	  0.022605211	-1.456970E+02	  0.022605211	2.362000E+00	  0.022605211	-1.539900E+01
15	  0.022805611	-7.550000E-01	  0.022805611	-1.472420E+02	  0.022805611	2.361000E+00	  0.022805611	-1.466500E+01
16	  0.023006011	-7.590000E-01	  0.023006011	-1.487760E+02	  0.023006011	2.355000E+00	  0.023006011	-1.394200E+01
17	  0.023206413	-7.660000E-01	  0.023206413	-1.503380E+02	  0.023206413	2.359000E+00	  0.023206413	-1.321100E+01
18	  0.023406813	-7.760000E-01	  0.023406813	-1.519240E+02	  0.023406813	2.371000E+00	  0.023406813	-1.247500E+01
19	  0.023607215	-7.820000E-01	  0.023607215	-1.535070E+02	  0.023607215	2.374000E+00	  0.023607215	-1.174400E+01
20	  0.023807615	-7.890000E-01	  0.023807615	-1.550760E+02	  0.023807615	2.381000E+00	  0.023807615	-1.102500E+01
21	  0.024008015	-8.020000E-01	  0.024008015	-1.566440E+02	  0.024008015	2.405000E+00	  0.024008015	-1.031100E+01
22	  0.024208417	-8.110000E-01	  0.024208417	-1.582150E+02	  0.024208417	2.421000E+00	  0.024208417	-9.599000E+00
23	  0.024408817	-8.220000E-01	  0.024408817	-1.598100E+02	  0.024408817	2.441000E+00	  0.024408817	-8.880000E+00
24	  0.024609219	-8.370000E-01	  0.024609219	-1.614250E+02	  0.024609219	2.472000E+00	  0.024609219	-8.157000E+00
25	  0.024809619	-8.440000E-01	  0.024809619	-1.630570E+02	  0.024809619	2.483000E+00	  0.024809619	-7.428000E+00
26	  0.025010020	-8.520000E-01	  0.025010020	-1.646890E+02	  0.025010020	2.497000E+00	  0.025010020	-6.703000E+00
27	  0.025210422	-8.610000E-01	  0.025210422	-1.663180E+02	  0.025210422	2.514000E+00	  0.025210422	-5.983000E+00
28	  0.025410822	-8.730000E-01	  0.025410822	-1.679540E+02	  0.025410822	2.539000E+00	  0.025410822	-5.261000E+00
29	  0.025611224	-8.840000E-01	  0.025611224	-1.696080E+02	  0.025611224	2.564000E+00	  0.025611224	-4.534000E+00
30	  0.025811624	-8.950000E-01	  0.025811624	-1.712750E+02	  0.025811624	2.591000E+00	  0.025811624	-3.804000E+00
31	  0.026012026	-9.080000E-01	  0.026012026	-1.729610E+02	  0.026012026	2.622000E+00	  0.026012026	-3.066000E+00
32	  0.026212426	-9.250000E-01	  0.026212426	-1.746660E+02	  0.026212426	2.667000E+00	  0.026212426	-2.322000E+00
33	  0.026412826	-9.420000E-01	  0.026412826	-1.763770E+02	  0.026412826	2.713000E+00	  0.026412826	-1.576000E+00
34	  0.026613226	-9.620000E-01	  0.026613226	-1.781110E+02	  0.026613226	2.769000E+00	  0.026613226	-8.210000E-01
35	  0.026813626	-9.800000E-01	  0.026813626	-1.798510E+02	  0.026813626	2.819000E+00	  0.026813626	-6.400000E-02
36	  0.027014028	-9.970000E-01	  0.027014028	1.784090E+02	  0.027014028	2.867000E+00	  0.027014028	6.910000E-01
37	  0.027214428	-1.013000E+00	  0.027214428	1.766730E+02	  0.027214428	2.916000E+00	  0.027214428	1.446000E+00
38	  0.027414829	-1.031000E+00	  0.027414829	1.749290E+02	  0.027414829	2.970000E+00	  0.027414829	2.206000E+00
39	  0.027615231	-1.049000E+00	  0.027615231	1.731780E+02	  0.027615231	3.027000E+00	  0.027615231	2.969000E+00
40	  0.027815631	-1.070000E+00	  0.027815631	1.714020E+02	  0.027815631	3.094000E+00	  0.027815631	3.744000E+00
41	  0.028016033	-1.091000E+00	  0.028016033	1.696200E+02	  0.028016033	3.164000E+00	  0.028016033	4.523000E+00
42	  0.028216433	-1.114000E+00	  0.028216433	1.678240E+02	  0.028216433	3.239000E+00	  0.028216433	5.310000E+00
43	  0.028416833	-1.137000E+00	  0.028416833	1.660300E+02	  0.028416833	3.319000E+00	  0.028416833	6.099000E+00
44	  0.028617235	-1.161000E+00	  0.028617235	1.642490E+02	  0.028617235	3.403000E+00	  0.028617235	6.884000E+00
45	  0.028817635	-1.190000E+00	  0.028817635	1.624460E+02	  0.028817635	3.501000E+00	  0.028817635	7.682000E+00
46	  0.029018037	-1.218000E+00	  0.029018037	1.606250E+02	  0.029018037	3.604000E+00	  0.029018037	8.492000E+00
47	  0.029218437	-1.245000E+00	  0.029218437	1.587880E+02	  0.029218437	3.704000E+00	  0.029218437	9.312000E+00
48	  0.029418837	-1.271000E+00	  0.029418837	1.569450E+02	  0.029418837	3.805000E+00	  0.029418837	1.014000E+01
49	  0.029619239	-1.296000E+00	  0.029619239	1.551420E+02	  0.029619239	3.904000E+00	  0.029619239	1.095500E+01
50	  0.029819639	-1.323000E+00	  0.029819639	1.533350E+02	  0.029819639	4.012000E+00	  0.029819639	1.177600E+01
51	  0.030020041	-1.350000E+00	  0.030020041	1.515210E+02	  0.030020041	4.128000E+00	  0.030020041	1.260600E+01
52	  0.030220442	-1.382000E+00	  0.030220442	1.497030E+02	  0.030220442	4.259000E+00	  0.030220442	1.344400E+01
53	  0.030420844	-1.420000E+00	  0.030420844	1.478510E+02	  0.030420844	4.416000E+00	  0.030420844	1.430300E+01
54	  0.030621244	-1.464000E+00	  0.030621244	1.459680E+02	  0.030621244	4.595000E+00	  0.030621244	1.518300E+01
55	  0.030821644	-1.502000E+00	  0.030821644	1.440340E+02	  0.030821644	4.766000E+00	  0.030821644	1.609500E+01
56	  0.031022044	-1.539000E+00	  0.031022044	1.420660E+02	  0.031022044	4.936000E+00	  0.031022044	1.703400E+01
57	  0.031222444	-1.572000E+00	  0.031222444	1.400810E+02	  0.031222444	5.103000E+00	  0.031222444	1.799100E+01
58	  0.031422846	-1.602000E+00	  0.031422846	1.380930E+02	  0.031422846	5.267000E+00	  0.031422846	1.896000E+01
59	  0.031623244	-1.635000E+00	  0.031623244	1.361180E+02	  0.031623244	5.446000E+00	  0.031623244	1.993500E+01
60	  0.031823646	-1.661000E+00	  0.031823646	1.341330E+02	  0.031823646	5.610000E+00	  0.031823646	2.092800E+01
61	  0.032024048	-1.685000E+00	  0.032024048	1.321850E+02	  0.032024048	5.774000E+00	  0.032024048	2.191600E+01
62	  0.032224450	-1.715000E+00	  0.032224450	1.302310E+02	  0.032224450	5.969000E+00	  0.032224450	2.291900E+01
63	  0.032424849	-1.748000E+00	  0.032424849	1.282880E+02	  0.032424849	6.177000E+00	  0.032424849	2.393000E+01
64	  0.032625251	-1.785000E+00	  0.032625251	1.263270E+02	  0.032625251	6.413000E+00	  0.032625251	2.496400E+01
65	  0.032825653	-1.825000E+00	  0.032825653	1.243890E+02	  0.032825653	6.670000E+00	  0.032825653	2.599900E+01
66	  0.033026051	-1.873000E+00	  0.033026051	1.224300E+02	  0.033026051	6.968000E+00	  0.033026051	2.705900E+01
67	  0.033226453	-1.917000E+00	  0.033226453	1.204460E+02	  0.033226453	7.269000E+00	  0.033226453	2.815100E+01
68	  0.033426855	-1.967000E+00	  0.033426855	1.184700E+02	  0.033426855	7.604000E+00	  0.033426855	2.925300E+01
69	  0.033627257	-2.015000E+00	  0.033627257	1.164360E+02	  0.033627257	7.951000E+00	  0.033627257	3.041000E+01
70	  0.033827655	-2.061000E+00	  0.033827655	1.143980E+02	  0.033827655	8.312000E+00	  0.033827655	3.159000E+01
71	  0.034028057	-2.112000E+00	  0.034028057	1.123540E+02	  0.034028057	8.710000E+00	  0.034028057	3.279400E+01
72	  0.034228459	-2.161000E+00	  0.034228459	1.102990E+02	  0.034228459	9.124000E+00	  0.034228459	3.402900E+01
73	  0.034428857	-2.213000E+00	  0.034428857	1.082440E+02	  0.034428857	9.572000E+00	  0.034428857	3.528700E+01
74	  0.034629259	-2.255000E+00	  0.034629259	1.061910E+02	  0.034629259	1.000000E+01	  0.034629259	3.657700E+01
75	  0.034829661	-2.299000E+00	  0.034829661	1.041850E+02	  0.034829661	1.046100E+01	  0.034829661	3.786200E+01
76	  0.035030060	-2.339000E+00	  0.035030060	1.021640E+02	  0.035030060	1.092600E+01	  0.035030060	3.918900E+01
77	  0.035230462	-2.392000E+00	  0.035230462	1.002080E+02	  0.035230462	1.147300E+01	  0.035230462	4.048700E+01
78	  0.035430863	-2.448000E+00	  0.035430863	9.820300E+01	  0.035430863	1.207800E+01	  0.035430863	4.184300E+01
79	  0.035631265	-2.515000E+00	  0.035631265	9.621200E+01	  0.035631265	1.276400E+01	  0.035631265	4.320500E+01
80	  0.035831664	-2.581000E+00	  0.035831664	9.414500E+01	  0.035831664	1.350100E+01	  0.035831664	4.465400E+01
81	  0.036032066	-2.650000E+00	  0.036032066	9.203800E+01	  0.036032066	1.431400E+01	  0.036032066	4.616000E+01
82	  0.036232468	-2.716000E+00	  0.036232468	8.987200E+01	  0.036232468	1.517800E+01	  0.036232468	4.775100E+01
83	  0.036432866	-2.782000E+00	  0.036432866	8.767900E+01	  0.036432866	1.611300E+01	  0.036432866	4.940200E+01
84	  0.036633268	-2.842000E+00	  0.036633268	8.546000E+01	  0.036633268	1.708400E+01	  0.036633268	5.112800E+01
85	  0.036833670	-2.896000E+00	  0.036833670	8.325900E+01	  0.036833670	1.809200E+01	  0.036833670	5.289400E+01
86	  0.037034072	-2.949000E+00	  0.037034072	8.103900E+01	  0.037034072	1.917800E+01	  0.037034072	5.472700E+01
87	  0.037234470	-2.999000E+00	  0.037234470	7.886200E+01	  0.037234470	2.031200E+01	  0.037234470	5.658000E+01
88	  0.037434869	-3.050000E+00	  0.037434869	7.671600E+01	  0.037434869	2.152600E+01	  0.037434869	5.845100E+01
89	  0.037635271	-3.102000E+00	  0.037635271	7.458200E+01	  0.037635271	2.284200E+01	  0.037635271	6.035400E+01
90	  0.037835669	-3.152000E+00	  0.037835669	7.246600E+01	  0.037835669	2.423600E+01	  0.037835669	6.229500E+01
91	  0.038036071	-3.211000E+00	  0.038036071	7.033800E+01	  0.038036071	2.581300E+01	  0.038036071	6.426200E+01
92	  0.038236473	-3.271000E+00	  0.038236473	6.821000E+01	  0.038236473	2.751700E+01	  0.038236473	6.627200E+01
93	  0.038436871	-3.337000E+00	  0.038436871	6.607000E+01	  0.038436871	2.942100E+01	  0.038436871	6.830300E+01
94	  0.038637273	-3.400000E+00	  0.038637273	6.391700E+01	  0.038637273	3.147600E+01	  0.038637273	7.039100E+01
95	  0.038837675	-3.470000E+00	  0.038837675	6.173400E+01	  0.038837675	3.377800E+01	  0.038837675	7.250900E+01
96	  0.039038073	-3.537000E+00	  0.039038073	5.952800E+01	  0.039038073	3.627500E+01	  0.039038073	7.469000E+01
97	  0.039238475	-3.597000E+00	  0.039238475	5.731800E+01	  0.039238475	3.895100E+01	  0.039238475	7.692800E+01
