! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5a..r200.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 05:00:17 PM	05/27/2018 04:42:15 PM
! INTERNAL TEMP:    	53.5 C	52.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(29.666 ohm, -51.708 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.550000E+00	  0.020000000	-2.210900E+01	  0.020000000	1.281210E+02	  0.020000000	-8.796600E+01
2	  0.020200402	-4.543000E+00	  0.020200402	-2.229600E+01	  0.020200402	1.274320E+02	  0.020200402	-8.833200E+01
3	  0.020400802	-4.542000E+00	  0.020400802	-2.248900E+01	  0.020400802	1.266850E+02	  0.020400802	-8.857300E+01
4	  0.020601204	-4.536000E+00	  0.020601204	-2.267100E+01	  0.020601204	1.260090E+02	  0.020601204	-8.888800E+01
5	  0.020801604	-4.535000E+00	  0.020801604	-2.286500E+01	  0.020801604	1.252620E+02	  0.020801604	-8.911300E+01
6	  0.021002004	-4.535000E+00	  0.021002004	-2.305500E+01	  0.021002004	1.245210E+02	  0.021002004	-8.928400E+01
7	  0.021202406	-4.536000E+00	  0.021202406	-2.326500E+01	  0.021202406	1.237030E+02	  0.021202406	-8.942900E+01
8	  0.021402806	-4.537000E+00	  0.021402806	-2.343900E+01	  0.021402806	1.230270E+02	  0.021402806	-8.955400E+01
9	  0.021603208	-4.539000E+00	  0.021603208	-2.364100E+01	  0.021603208	1.222420E+02	  0.021603208	-8.966700E+01
10	  0.021803608	-4.543000E+00	  0.021803608	-2.381500E+01	  0.021803608	1.215550E+02	  0.021803608	-8.967600E+01
11	  0.022004008	-4.546000E+00	  0.022004008	-2.399800E+01	  0.022004008	1.208490E+02	  0.022004008	-8.975500E+01
12	  0.022204408	-4.551000E+00	  0.022204408	-2.420900E+01	  0.022204408	1.200320E+02	  0.022204408	-8.977200E+01
13	  0.022404809	-4.551000E+00	  0.022404809	-2.442700E+01	  0.022404809	1.192130E+02	  0.022404809	-8.991800E+01
14	  0.022605211	-4.555000E+00	  0.022605211	-2.465800E+01	  0.022605211	1.183340E+02	  0.022605211	-8.994300E+01
15	  0.022805611	-4.562000E+00	  0.022805611	-2.489400E+01	  0.022805611	1.174330E+02	  0.022805611	-8.992500E+01
16	  0.023006011	-4.565000E+00	  0.023006011	-2.514000E+01	  0.023006011	1.165190E+02	  0.023006011	-8.997000E+01
