! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5a.r200.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 05:23:18 PM	05/27/2018 05:09:13 PM
! INTERNAL TEMP:    	53.3 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(29.353 ohm, -50.660 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.554000E+00	  0.020000000	-2.240500E+01	  0.020000000	1.269340E+02	  0.020000000	-8.817100E+01
2	  0.020200402	-4.551000E+00	  0.020200402	-2.261700E+01	  0.020200402	1.261220E+02	  0.020200402	-8.845400E+01
3	  0.020400802	-4.551000E+00	  0.020400802	-2.285000E+01	  0.020400802	1.252200E+02	  0.020400802	-8.868000E+01
4	  0.020601204	-4.550000E+00	  0.020601204	-2.309500E+01	  0.020601204	1.242800E+02	  0.020601204	-8.892600E+01
5	  0.020801604	-4.548000E+00	  0.020801604	-2.331700E+01	  0.020801604	1.234330E+02	  0.020801604	-8.916400E+01
6	  0.021002004	-4.547000E+00	  0.021002004	-2.356300E+01	  0.021002004	1.224990E+02	  0.021002004	-8.939700E+01
7	  0.021202406	-4.547000E+00	  0.021202406	-2.380800E+01	  0.021202406	1.215610E+02	  0.021202406	-8.957200E+01
8	  0.021402806	-4.547000E+00	  0.021402806	-2.404300E+01	  0.021402806	1.206710E+02	  0.021402806	-8.975000E+01
9	  0.021603208	-4.547000E+00	  0.021603208	-2.426500E+01	  0.021603208	1.198370E+02	  0.021603208	-8.990600E+01
10	  0.021803608	-4.550000E+00	  0.021803608	-2.448000E+01	  0.021803608	1.190170E+02	  0.021803608	-8.996800E+01
11	  0.022004008	-4.553000E+00	  0.022004008	-2.470000E+01	  0.022004008	1.181850E+02	  0.022004008	-9.003500E+01
12	  0.022204408	-4.552000E+00	  0.022204408	-2.490700E+01	  0.022204408	1.174210E+02	  0.022204408	-9.016700E+01
13	  0.022404809	-4.552000E+00	  0.022404809	-2.511500E+01	  0.022404809	1.166580E+02	  0.022404809	-9.028900E+01
14	  0.022605211	-4.552000E+00	  0.022605211	-2.534100E+01	  0.022605211	1.158280E+02	  0.022605211	-9.039900E+01
15	  0.022805611	-4.556000E+00	  0.022805611	-2.558300E+01	  0.022805611	1.149310E+02	  0.022805611	-9.039800E+01
16	  0.023006011	-4.556000E+00	  0.023006011	-2.579600E+01	  0.023006011	1.141660E+02	  0.023006011	-9.050600E+01
