! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5b.m.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 03:26:22 PM	05/27/2018 03:21:57 PM
! INTERNAL TEMP:    	52.5 C	52.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(17.328 ohm, -1.864 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.190000E-01	  0.020000000	-1.255010E+02	  0.020000000	2.617000E+00	  0.020000000	-2.569500E+01
2	  0.020200402	-7.190000E-01	  0.020200402	-1.269830E+02	  0.020200402	2.584000E+00	  0.020200402	-2.488400E+01
3	  0.020400802	-7.160000E-01	  0.020400802	-1.284410E+02	  0.020400802	2.540000E+00	  0.020400802	-2.409800E+01
4	  0.020601204	-7.170000E-01	  0.020601204	-1.299040E+02	  0.020601204	2.513000E+00	  0.020601204	-2.331700E+01
5	  0.020801604	-7.220000E-01	  0.020801604	-1.313940E+02	  0.020801604	2.500000E+00	  0.020801604	-2.253100E+01
6	  0.021002004	-7.280000E-01	  0.021002004	-1.329010E+02	  0.021002004	2.493000E+00	  0.021002004	-2.174600E+01
7	  0.021202406	-7.370000E-01	  0.021202406	-1.344450E+02	  0.021202406	2.493000E+00	  0.021202406	-2.095000E+01
8	  0.021402806	-7.430000E-01	  0.021402806	-1.359810E+02	  0.021402806	2.485000E+00	  0.021402806	-2.016700E+01
9	  0.021603208	-7.480000E-01	  0.021603208	-1.375160E+02	  0.021603208	2.476000E+00	  0.021603208	-1.939300E+01
10	  0.021803608	-7.530000E-01	  0.021803608	-1.390460E+02	  0.021803608	2.468000E+00	  0.021803608	-1.863000E+01
11	  0.022004008	-7.590000E-01	  0.022004008	-1.406020E+02	  0.022004008	2.463000E+00	  0.022004008	-1.786200E+01
12	  0.022204408	-7.620000E-01	  0.022204408	-1.421780E+02	  0.022204408	2.448000E+00	  0.022204408	-1.709200E+01
13	  0.022404809	-7.660000E-01	  0.022404809	-1.437550E+02	  0.022404809	2.439000E+00	  0.022404809	-1.632800E+01
14	  0.022605211	-7.700000E-01	  0.022605211	-1.453240E+02	  0.022605211	2.430000E+00	  0.022605211	-1.557500E+01
15	  0.022805611	-7.710000E-01	  0.022805611	-1.468680E+02	  0.022805611	2.413000E+00	  0.022805611	-1.484100E+01
16	  0.023006011	-7.720000E-01	  0.023006011	-1.484190E+02	  0.023006011	2.399000E+00	  0.023006011	-1.410900E+01
