! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5b.m4.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 04:10:38 PM	05/27/2018 03:52:12 PM
! INTERNAL TEMP:    	51.5 C	52.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(17.303 ohm, -2.233 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.170000E-01	  0.020000000	-1.252390E+02	  0.020000000	2.616000E+00	  0.020000000	-2.583900E+01
2	  0.020200402	-7.180000E-01	  0.020200402	-1.266990E+02	  0.020200402	2.587000E+00	  0.020200402	-2.503900E+01
3	  0.020400802	-7.200000E-01	  0.020400802	-1.281480E+02	  0.020400802	2.559000E+00	  0.020400802	-2.425400E+01
4	  0.020601204	-7.240000E-01	  0.020601204	-1.295850E+02	  0.020601204	2.543000E+00	  0.020601204	-2.348600E+01
5	  0.020801604	-7.320000E-01	  0.020801604	-1.310520E+02	  0.020801604	2.541000E+00	  0.020801604	-2.271000E+01
6	  0.021002004	-7.380000E-01	  0.021002004	-1.325660E+02	  0.021002004	2.532000E+00	  0.021002004	-2.191800E+01
7	  0.021202406	-7.460000E-01	  0.021202406	-1.340880E+02	  0.021202406	2.531000E+00	  0.021202406	-2.113200E+01
8	  0.021402806	-7.540000E-01	  0.021402806	-1.356190E+02	  0.021402806	2.532000E+00	  0.021402806	-2.034900E+01
9	  0.021603208	-7.600000E-01	  0.021603208	-1.371390E+02	  0.021603208	2.524000E+00	  0.021603208	-1.958200E+01
10	  0.021803608	-7.650000E-01	  0.021803608	-1.386690E+02	  0.021803608	2.515000E+00	  0.021803608	-1.881600E+01
11	  0.022004008	-7.730000E-01	  0.022004008	-1.402360E+02	  0.022004008	2.515000E+00	  0.022004008	-1.804100E+01
12	  0.022204408	-7.770000E-01	  0.022204408	-1.418140E+02	  0.022204408	2.504000E+00	  0.022204408	-1.726800E+01
13	  0.022404809	-7.800000E-01	  0.022404809	-1.434120E+02	  0.022404809	2.489000E+00	  0.022404809	-1.649200E+01
14	  0.022605211	-7.850000E-01	  0.022605211	-1.449700E+02	  0.022605211	2.482000E+00	  0.022605211	-1.574300E+01
15	  0.022805611	-7.880000E-01	  0.022805611	-1.465310E+02	  0.022805611	2.472000E+00	  0.022805611	-1.499900E+01
16	  0.023006011	-7.910000E-01	  0.023006011	-1.481020E+02	  0.023006011	2.460000E+00	  0.023006011	-1.425600E+01
