! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5b.r20.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 03:33:01 PM	05/27/2018 03:21:57 PM
! INTERNAL TEMP:    	53.0 C	52.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(31.611 ohm, 34.165 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.350000E+00	  0.020000000	1.551320E+02	  0.020000000	2.078900E+01	  0.020000000	9.192000E+00
2	  0.020200402	-7.356000E+00	  0.020200402	1.548290E+02	  0.020200402	2.082300E+01	  0.020200402	9.303000E+00
3	  0.020400802	-7.358000E+00	  0.020400802	1.545270E+02	  0.020400802	2.084900E+01	  0.020400802	9.416000E+00
4	  0.020601204	-7.354000E+00	  0.020601204	1.541910E+02	  0.020601204	2.086200E+01	  0.020601204	9.544000E+00
5	  0.020801604	-7.348000E+00	  0.020801604	1.538800E+02	  0.020801604	2.086900E+01	  0.020801604	9.664000E+00
6	  0.021002004	-7.344000E+00	  0.021002004	1.535560E+02	  0.021002004	2.088300E+01	  0.021002004	9.788000E+00
7	  0.021202406	-7.336000E+00	  0.021202406	1.532540E+02	  0.021202406	2.088400E+01	  0.021202406	9.906000E+00
8	  0.021402806	-7.331000E+00	  0.021402806	1.529870E+02	  0.021402806	2.089000E+01	  0.021402806	1.000900E+01
9	  0.021603208	-7.323000E+00	  0.021603208	1.527290E+02	  0.021603208	2.088900E+01	  0.021603208	1.011000E+01
10	  0.021803608	-7.319000E+00	  0.021803608	1.524760E+02	  0.021803608	2.089800E+01	  0.021803608	1.020800E+01
11	  0.022004008	-7.311000E+00	  0.022004008	1.522360E+02	  0.022004008	2.089500E+01	  0.022004008	1.030300E+01
12	  0.022204408	-7.302000E+00	  0.022204408	1.520580E+02	  0.022204408	2.088800E+01	  0.022204408	1.037400E+01
13	  0.022404809	-7.291000E+00	  0.022404809	1.518720E+02	  0.022404809	2.087400E+01	  0.022404809	1.045100E+01
14	  0.022605211	-7.286000E+00	  0.022605211	1.516700E+02	  0.022605211	2.087700E+01	  0.022605211	1.053000E+01
15	  0.022805611	-7.281000E+00	  0.022805611	1.515030E+02	  0.022805611	2.087700E+01	  0.022805611	1.059600E+01
16	  0.023006011	-7.274000E+00	  0.023006011	1.513210E+02	  0.023006011	2.087400E+01	  0.023006011	1.066800E+01
17	  0.023206413	-7.273000E+00	  0.023206413	1.511550E+02	  0.023206413	2.088200E+01	  0.023206413	1.073200E+01
18	  0.023406813	-7.274000E+00	  0.023406813	1.509720E+02	  0.023406813	2.090000E+01	  0.023406813	1.080200E+01
19	  0.023607215	-7.278000E+00	  0.023607215	1.507880E+02	  0.023607215	2.092600E+01	  0.023607215	1.086900E+01
20	  0.023807615	-7.284000E+00	  0.023807615	1.505990E+02	  0.023807615	2.095600E+01	  0.023807615	1.093800E+01
21	  0.024008015	-7.291000E+00	  0.024008015	1.503930E+02	  0.024008015	2.098900E+01	  0.024008015	1.101300E+01
22	  0.024208417	-7.298000E+00	  0.024208417	1.502180E+02	  0.024208417	2.102000E+01	  0.024208417	1.107600E+01
23	  0.024408817	-7.311000E+00	  0.024408817	1.499820E+02	  0.024408817	2.107200E+01	  0.024408817	1.115800E+01
24	  0.024609219	-7.322000E+00	  0.024609219	1.497670E+02	  0.024609219	2.111700E+01	  0.024609219	1.123400E+01
25	  0.024809619	-7.333000E+00	  0.024809619	1.495210E+02	  0.024809619	2.116600E+01	  0.024809619	1.132200E+01
26	  0.025010020	-7.343000E+00	  0.025010020	1.492480E+02	  0.025010020	2.121400E+01	  0.025010020	1.142000E+01
27	  0.025210422	-7.354000E+00	  0.025210422	1.489490E+02	  0.025210422	2.126700E+01	  0.025210422	1.152800E+01
28	  0.025410822	-7.362000E+00	  0.025410822	1.486080E+02	  0.025410822	2.131600E+01	  0.025410822	1.165300E+01
29	  0.025611224	-7.364000E+00	  0.025611224	1.482740E+02	  0.025611224	2.135100E+01	  0.025611224	1.177900E+01
30	  0.025811624	-7.361000E+00	  0.025811624	1.479200E+02	  0.025811624	2.137600E+01	  0.025811624	1.191500E+01
31	  0.026012026	-7.353000E+00	  0.026012026	1.475630E+02	  0.026012026	2.138600E+01	  0.026012026	1.205700E+01
32	  0.026212426	-7.346000E+00	  0.026212426	1.472320E+02	  0.026212426	2.140000E+01	  0.026212426	1.218700E+01
33	  0.026412826	-7.340000E+00	  0.026412826	1.468960E+02	  0.026412826	2.141300E+01	  0.026412826	1.232000E+01
34	  0.026613226	-7.327000E+00	  0.026613226	1.466220E+02	  0.026613226	2.140600E+01	  0.026613226	1.243300E+01
35	  0.026813626	-7.315000E+00	  0.026813626	1.463640E+02	  0.026813626	2.140100E+01	  0.026813626	1.253800E+01
36	  0.027014028	-7.309000E+00	  0.027014028	1.461790E+02	  0.027014028	2.140300E+01	  0.027014028	1.261400E+01
37	  0.027214428	-7.299000E+00	  0.027214428	1.459920E+02	  0.027214428	2.139500E+01	  0.027214428	1.269200E+01
38	  0.027414829	-7.284000E+00	  0.027414829	1.458220E+02	  0.027414829	2.137300E+01	  0.027414829	1.276700E+01
39	  0.027615231	-7.280000E+00	  0.027615231	1.456630E+02	  0.027615231	2.137900E+01	  0.027615231	1.283000E+01
40	  0.027815631	-7.278000E+00	  0.027815631	1.454860E+02	  0.027815631	2.139100E+01	  0.027815631	1.289900E+01
41	  0.028016033	-7.276000E+00	  0.028016033	1.453060E+02	  0.028016033	2.140200E+01	  0.028016033	1.297000E+01
42	  0.028216433	-7.272000E+00	  0.028216433	1.451450E+02	  0.028216433	2.140900E+01	  0.028216433	1.303500E+01
43	  0.028416833	-7.273000E+00	  0.028416833	1.449470E+02	  0.028416833	2.142900E+01	  0.028416833	1.311100E+01
44	  0.028617235	-7.272000E+00	  0.028617235	1.447970E+02	  0.028617235	2.144300E+01	  0.028617235	1.316900E+01
45	  0.028817635	-7.276000E+00	  0.028817635	1.446180E+02	  0.028817635	2.147100E+01	  0.028817635	1.323600E+01
46	  0.029018037	-7.281000E+00	  0.029018037	1.444140E+02	  0.029018037	2.150400E+01	  0.029018037	1.331100E+01
47	  0.029218437	-7.288000E+00	  0.029218437	1.442230E+02	  0.029218437	2.154000E+01	  0.029218437	1.338100E+01
48	  0.029418837	-7.294000E+00	  0.029418837	1.440540E+02	  0.029418837	2.157200E+01	  0.029418837	1.344200E+01
49	  0.029619239	-7.300000E+00	  0.029619239	1.438740E+02	  0.029619239	2.160700E+01	  0.029619239	1.350700E+01
50	  0.029819639	-7.311000E+00	  0.029819639	1.437020E+02	  0.029819639	2.165200E+01	  0.029819639	1.356700E+01
51	  0.030020041	-7.322000E+00	  0.030020041	1.434950E+02	  0.030020041	2.170200E+01	  0.030020041	1.363900E+01
52	  0.030220442	-7.335000E+00	  0.030220442	1.432620E+02	  0.030220442	2.175800E+01	  0.030220442	1.372000E+01
53	  0.030420844	-7.351000E+00	  0.030420844	1.429950E+02	  0.030420844	2.182800E+01	  0.030420844	1.381200E+01
54	  0.030621244	-7.371000E+00	  0.030621244	1.426480E+02	  0.030621244	2.191500E+01	  0.030621244	1.393300E+01
55	  0.030821644	-7.380000E+00	  0.030821644	1.422890E+02	  0.030821644	2.197700E+01	  0.030821644	1.406500E+01
56	  0.031022044	-7.385000E+00	  0.031022044	1.418980E+02	  0.031022044	2.203100E+01	  0.031022044	1.421300E+01
57	  0.031222444	-7.380000E+00	  0.031222444	1.415250E+02	  0.031222444	2.206100E+01	  0.031222444	1.436000E+01
58	  0.031422846	-7.375000E+00	  0.031422846	1.411300E+02	  0.031422846	2.209200E+01	  0.031422846	1.451700E+01
59	  0.031623244	-7.370000E+00	  0.031623244	1.407700E+02	  0.031623244	2.211800E+01	  0.031623244	1.466100E+01
60	  0.031823646	-7.356000E+00	  0.031823646	1.404270E+02	  0.031823646	2.212300E+01	  0.031823646	1.480400E+01
61	  0.032024048	-7.341000E+00	  0.032024048	1.401240E+02	  0.032024048	2.211700E+01	  0.032024048	1.493500E+01
62	  0.032224450	-7.323000E+00	  0.032224450	1.398310E+02	  0.032224450	2.210600E+01	  0.032224450	1.506200E+01
63	  0.032424849	-7.300000E+00	  0.032424849	1.395970E+02	  0.032424849	2.207400E+01	  0.032424849	1.517100E+01
64	  0.032625251	-7.283000E+00	  0.032625251	1.393990E+02	  0.032625251	2.205200E+01	  0.032625251	1.526200E+01
65	  0.032825653	-7.269000E+00	  0.032825653	1.391990E+02	  0.032825653	2.204100E+01	  0.032825653	1.535100E+01
66	  0.033026051	-7.258000E+00	  0.033026051	1.390690E+02	  0.033026051	2.202800E+01	  0.033026051	1.541100E+01
67	  0.033226453	-7.250000E+00	  0.033226453	1.389230E+02	  0.033226453	2.202300E+01	  0.033226453	1.547500E+01
68	  0.033426855	-7.245000E+00	  0.033426855	1.387850E+02	  0.033426855	2.202700E+01	  0.033426855	1.553300E+01
69	  0.033627257	-7.243000E+00	  0.033627257	1.386060E+02	  0.033627257	2.204200E+01	  0.033627257	1.560600E+01
70	  0.033827655	-7.244000E+00	  0.033827655	1.384710E+02	  0.033827655	2.206200E+01	  0.033827655	1.565800E+01
71	  0.034028057	-7.249000E+00	  0.034028057	1.383240E+02	  0.034028057	2.209300E+01	  0.034028057	1.571100E+01
72	  0.034228459	-7.255000E+00	  0.034228459	1.381860E+02	  0.034228459	2.212600E+01	  0.034228459	1.576100E+01
73	  0.034428857	-7.266000E+00	  0.034428857	1.380110E+02	  0.034428857	2.217500E+01	  0.034428857	1.582100E+01
74	  0.034629259	-7.273000E+00	  0.034629259	1.378520E+02	  0.034629259	2.221400E+01	  0.034629259	1.587800E+01
75	  0.034829661	-7.284000E+00	  0.034829661	1.376830E+02	  0.034829661	2.226300E+01	  0.034829661	1.593600E+01
76	  0.035030060	-7.290000E+00	  0.035030060	1.374620E+02	  0.035030060	2.230700E+01	  0.035030060	1.601800E+01
77	  0.035230462	-7.296000E+00	  0.035230462	1.372310E+02	  0.035230462	2.234900E+01	  0.035230462	1.610500E+01
78	  0.035430863	-7.304000E+00	  0.035430863	1.369840E+02	  0.035430863	2.240300E+01	  0.035430863	1.619500E+01
79	  0.035631265	-7.314000E+00	  0.035631265	1.367830E+02	  0.035631265	2.245300E+01	  0.035631265	1.626700E+01
80	  0.035831664	-7.327000E+00	  0.035831664	1.365470E+02	  0.035831664	2.251800E+01	  0.035831664	1.634800E+01
81	  0.036032066	-7.343000E+00	  0.036032066	1.362490E+02	  0.036032066	2.259800E+01	  0.036032066	1.645200E+01
82	  0.036232468	-7.359000E+00	  0.036232468	1.359200E+02	  0.036232468	2.268200E+01	  0.036232468	1.656800E+01
83	  0.036432866	-7.374000E+00	  0.036432866	1.355580E+02	  0.036432866	2.276900E+01	  0.036432866	1.669800E+01
84	  0.036633268	-7.380000E+00	  0.036633268	1.351790E+02	  0.036633268	2.283400E+01	  0.036633268	1.684300E+01
85	  0.036833670	-7.385000E+00	  0.036833670	1.347720E+02	  0.036833670	2.290300E+01	  0.036833670	1.699900E+01
86	  0.037034072	-7.381000E+00	  0.037034072	1.344040E+02	  0.037034072	2.294300E+01	  0.037034072	1.714800E+01
87	  0.037234470	-7.375000E+00	  0.037234470	1.340260E+02	  0.037234470	2.298100E+01	  0.037234470	1.730200E+01
88	  0.037434869	-7.358000E+00	  0.037434869	1.336780E+02	  0.037434869	2.298500E+01	  0.037434869	1.745600E+01
89	  0.037635271	-7.341000E+00	  0.037635271	1.333680E+02	  0.037635271	2.298200E+01	  0.037635271	1.759600E+01
90	  0.037835669	-7.319000E+00	  0.037835669	1.330870E+02	  0.037835669	2.296400E+01	  0.037835669	1.772900E+01
91	  0.038036071	-7.297000E+00	  0.038036071	1.328560E+02	  0.038036071	2.294000E+01	  0.038036071	1.784100E+01
92	  0.038236473	-7.280000E+00	  0.038236473	1.326840E+02	  0.038236473	2.291900E+01	  0.038236473	1.792600E+01
93	  0.038436871	-7.270000E+00	  0.038436871	1.325250E+02	  0.038436871	2.291600E+01	  0.038436871	1.799900E+01
94	  0.038637273	-7.263000E+00	  0.038637273	1.323640E+02	  0.038637273	2.292000E+01	  0.038637273	1.807100E+01
