! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5b.r50.3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 04:05:36 PM	05/27/2018 03:52:12 PM
! INTERNAL TEMP:    	51.5 C	52.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(52.402 ohm, 1.415 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.932100E+01	  0.020000000	5.396700E+01	  0.020000000	5.063200E+01	  0.020000000	8.850000E-01
2	  0.020200402	-3.912700E+01	  0.020200402	5.293000E+01	  0.020200402	5.066300E+01	  0.020200402	8.940000E-01
3	  0.020400802	-3.901700E+01	  0.020400802	5.271500E+01	  0.020400802	5.067400E+01	  0.020400802	9.030000E-01
4	  0.020601204	-3.905300E+01	  0.020601204	5.300000E+01	  0.020601204	5.066700E+01	  0.020601204	9.020000E-01
5	  0.020801604	-3.882400E+01	  0.020801604	5.297000E+01	  0.020801604	5.068500E+01	  0.020801604	9.260000E-01
6	  0.021002004	-3.882700E+01	  0.021002004	5.262600E+01	  0.021002004	5.069100E+01	  0.021002004	9.220000E-01
7	  0.021202406	-3.877800E+01	  0.021202406	5.248900E+01	  0.021202406	5.069700E+01	  0.021202406	9.250000E-01
8	  0.021402806	-3.859600E+01	  0.021402806	5.248000E+01	  0.021402806	5.071200E+01	  0.021402806	9.450000E-01
9	  0.021603208	-3.857700E+01	  0.021603208	5.170500E+01	  0.021603208	5.072600E+01	  0.021603208	9.380000E-01
10	  0.021803608	-3.846500E+01	  0.021803608	5.133700E+01	  0.021803608	5.074200E+01	  0.021803608	9.450000E-01
11	  0.022004008	-3.832300E+01	  0.022004008	5.133700E+01	  0.022004008	5.075400E+01	  0.022004008	9.610000E-01
12	  0.022204408	-3.827300E+01	  0.022204408	5.127200E+01	  0.022204408	5.075900E+01	  0.022204408	9.660000E-01
13	  0.022404809	-3.816000E+01	  0.022404809	5.194600E+01	  0.022404809	5.075700E+01	  0.022404809	9.880000E-01
14	  0.022605211	-3.808200E+01	  0.022605211	5.142900E+01	  0.022605211	5.077300E+01	  0.022605211	9.900000E-01
15	  0.022805611	-3.798800E+01	  0.022805611	5.126200E+01	  0.022805611	5.078500E+01	  0.022805611	9.980000E-01
16	  0.023006011	-3.789200E+01	  0.023006011	5.152200E+01	  0.023006011	5.078900E+01	  0.023006011	1.013000E+00
17	  0.023206413	-3.784000E+01	  0.023206413	5.137500E+01	  0.023206413	5.079600E+01	  0.023206413	1.017000E+00
18	  0.023406813	-3.777300E+01	  0.023406813	5.209000E+01	  0.023406813	5.078900E+01	  0.023406813	1.035000E+00
19	  0.023607215	-3.768800E+01	  0.023607215	5.205600E+01	  0.023607215	5.079800E+01	  0.023607215	1.045000E+00
20	  0.023807615	-3.760500E+01	  0.023807615	5.177900E+01	  0.023807615	5.081000E+01	  0.023807615	1.052000E+00
21	  0.024008015	-3.759400E+01	  0.024008015	5.209200E+01	  0.024008015	5.080500E+01	  0.024008015	1.057000E+00
22	  0.024208417	-3.755900E+01	  0.024208417	5.231500E+01	  0.024208417	5.080400E+01	  0.024208417	1.065000E+00
23	  0.024408817	-3.749300E+01	  0.024408817	5.211700E+01	  0.024408817	5.081400E+01	  0.024408817	1.070000E+00
24	  0.024609219	-3.749100E+01	  0.024609219	5.248800E+01	  0.024609219	5.080700E+01	  0.024609219	1.076000E+00
25	  0.024809619	-3.742400E+01	  0.024809619	5.256400E+01	  0.024809619	5.081200E+01	  0.024809619	1.085000E+00
26	  0.025010020	-3.731300E+01	  0.025010020	5.255500E+01	  0.025010020	5.082300E+01	  0.025010020	1.099000E+00
27	  0.025210422	-3.734500E+01	  0.025210422	5.199000E+01	  0.025210422	5.083100E+01	  0.025210422	1.087000E+00
28	  0.025410822	-3.721300E+01	  0.025410822	5.241200E+01	  0.025410822	5.083500E+01	  0.025410822	1.110000E+00
29	  0.025611224	-3.715500E+01	  0.025611224	5.273000E+01	  0.025611224	5.083400E+01	  0.025611224	1.122000E+00
30	  0.025811624	-3.716900E+01	  0.025811624	5.257400E+01	  0.025811624	5.083600E+01	  0.025811624	1.118000E+00
31	  0.026012026	-3.713600E+01	  0.026012026	5.266600E+01	  0.026012026	5.083700E+01	  0.026012026	1.124000E+00
32	  0.026212426	-3.705300E+01	  0.026212426	5.241600E+01	  0.026212426	5.085000E+01	  0.026212426	1.131000E+00
33	  0.026412826	-3.709500E+01	  0.026412826	5.237800E+01	  0.026412826	5.084700E+01	  0.026412826	1.125000E+00
34	  0.026613226	-3.703100E+01	  0.026613226	5.263900E+01	  0.026613226	5.084800E+01	  0.026613226	1.137000E+00
35	  0.026813626	-3.706600E+01	  0.026813626	5.317800E+01	  0.026813626	5.083400E+01	  0.026813626	1.141000E+00
36	  0.027014028	-3.701000E+01	  0.027014028	5.287700E+01	  0.027014028	5.084500E+01	  0.027014028	1.144000E+00
37	  0.027214428	-3.696900E+01	  0.027214428	5.298900E+01	  0.027214428	5.084700E+01	  0.027214428	1.151000E+00
38	  0.027414829	-3.705200E+01	  0.027414829	5.276100E+01	  0.027414829	5.084400E+01	  0.027414829	1.136000E+00
39	  0.027615231	-3.699200E+01	  0.027615231	5.238500E+01	  0.027615231	5.085700E+01	  0.027615231	1.139000E+00
40	  0.027815631	-3.697800E+01	  0.027815631	5.195300E+01	  0.027815631	5.086700E+01	  0.027815631	1.134000E+00
41	  0.028016033	-3.691900E+01	  0.028016033	5.211900E+01	  0.028016033	5.087000E+01	  0.028016033	1.145000E+00
42	  0.028216433	-3.682500E+01	  0.028216433	5.182700E+01	  0.028216433	5.088500E+01	  0.028216433	1.153000E+00
43	  0.028416833	-3.680500E+01	  0.028416833	5.180000E+01	  0.028416833	5.088800E+01	  0.028416833	1.155000E+00
44	  0.028617235	-3.685400E+01	  0.028617235	5.152000E+01	  0.028617235	5.088800E+01	  0.028617235	1.144000E+00
45	  0.028817635	-3.676100E+01	  0.028817635	5.100600E+01	  0.028817635	5.090800E+01	  0.028817635	1.149000E+00
46	  0.029018037	-3.677700E+01	  0.029018037	5.075700E+01	  0.029018037	5.091200E+01	  0.029018037	1.143000E+00
47	  0.029218437	-3.673800E+01	  0.029218437	5.051000E+01	  0.029218437	5.092100E+01	  0.029218437	1.144000E+00
48	  0.029418837	-3.668400E+01	  0.029418837	5.022000E+01	  0.029418837	5.093300E+01	  0.029418837	1.146000E+00
49	  0.029619239	-3.663500E+01	  0.029619239	5.011200E+01	  0.029619239	5.094000E+01	  0.029619239	1.151000E+00
50	  0.029819639	-3.654300E+01	  0.029819639	4.957700E+01	  0.029819639	5.096100E+01	  0.029819639	1.155000E+00
51	  0.030020041	-3.657500E+01	  0.030020041	4.939900E+01	  0.030020041	5.096100E+01	  0.030020041	1.148000E+00
52	  0.030220442	-3.641100E+01	  0.030220442	4.938200E+01	  0.030220442	5.098000E+01	  0.030220442	1.170000E+00
53	  0.030420844	-3.637800E+01	  0.030420844	4.925400E+01	  0.030420844	5.098600E+01	  0.030420844	1.172000E+00
54	  0.030621244	-3.627400E+01	  0.030621244	4.914000E+01	  0.030621244	5.100000E+01	  0.030621244	1.184000E+00
55	  0.030821644	-3.618400E+01	  0.030821644	4.871800E+01	  0.030821644	5.102000E+01	  0.030821644	1.190000E+00
56	  0.031022044	-3.610700E+01	  0.031022044	4.904000E+01	  0.031022044	5.102200E+01	  0.031022044	1.206000E+00
57	  0.031222444	-3.605700E+01	  0.031222444	4.941400E+01	  0.031222444	5.102000E+01	  0.031222444	1.220000E+00
58	  0.031422846	-3.595200E+01	  0.031422846	4.937400E+01	  0.031422846	5.103300E+01	  0.031422846	1.234000E+00
59	  0.031623244	-3.586600E+01	  0.031623244	4.970200E+01	  0.031623244	5.103600E+01	  0.031623244	1.253000E+00
60	  0.031823646	-3.588200E+01	  0.031823646	4.946900E+01	  0.031823646	5.103900E+01	  0.031823646	1.246000E+00
61	  0.032024048	-3.586900E+01	  0.032024048	4.980500E+01	  0.032024048	5.103300E+01	  0.032024048	1.254000E+00
62	  0.032224450	-3.576500E+01	  0.032224450	5.028800E+01	  0.032224450	5.103500E+01	  0.032224450	1.278000E+00
63	  0.032424849	-3.578800E+01	  0.032424849	5.026200E+01	  0.032424849	5.103200E+01	  0.032424849	1.274000E+00
64	  0.032625251	-3.579200E+01	  0.032625251	5.010600E+01	  0.032625251	5.103500E+01	  0.032625251	1.271000E+00
65	  0.032825653	-3.574600E+01	  0.032825653	4.979900E+01	  0.032825653	5.104800E+01	  0.032825653	1.272000E+00
66	  0.033026051	-3.576800E+01	  0.033026051	5.032100E+01	  0.033026051	5.103400E+01	  0.033026051	1.279000E+00
