! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/20ohm4_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 04:18:25 PM	12/20/2017 04:05:21 PM
! INTERNAL TEMP:    	42.0 C	43.3 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.207000E+00	  0.010000000	1.674800E+02	  0.010000000	1.983000E+01	  0.010000000	4.630000E+00
2	  0.010200000	-7.198000E+00	  0.010200000	1.672920E+02	  0.010200000	1.981300E+01	  0.010200000	4.702000E+00
3	  0.010400000	-7.199000E+00	  0.010400000	1.670000E+02	  0.010400000	1.982700E+01	  0.010400000	4.810000E+00
4	  0.010600000	-7.200000E+00	  0.010600000	1.667250E+02	  0.010600000	1.983700E+01	  0.010600000	4.912000E+00
5	  0.010800000	-7.203000E+00	  0.010800000	1.664610E+02	  0.010800000	1.985400E+01	  0.010800000	5.010000E+00
6	  0.011000001	-7.205000E+00	  0.011000001	1.661880E+02	  0.011000001	1.986800E+01	  0.011000001	5.111000E+00
7	  0.011200000	-7.200000E+00	  0.011200000	1.659370E+02	  0.011200000	1.986600E+01	  0.011200000	5.205000E+00
8	  0.011399999	-7.203000E+00	  0.011399999	1.656890E+02	  0.011399999	1.988200E+01	  0.011399999	5.297000E+00
9	  0.011600000	-7.200000E+00	  0.011600000	1.654300E+02	  0.011600000	1.988300E+01	  0.011600000	5.394000E+00
10	  0.011800000	-7.206000E+00	  0.011800000	1.651570E+02	  0.011800000	1.990800E+01	  0.011800000	5.494000E+00
11	  0.012000000	-7.208000E+00	  0.012000000	1.649010E+02	  0.012000000	1.992400E+01	  0.012000000	5.589000E+00
12	  0.012200000	-7.208000E+00	  0.012200000	1.646290E+02	  0.012200000	1.993500E+01	  0.012200000	5.690000E+00
13	  0.012400000	-7.207000E+00	  0.012400000	1.643850E+02	  0.012400000	1.994200E+01	  0.012400000	5.781000E+00
14	  0.012600001	-7.207000E+00	  0.012600001	1.641300E+02	  0.012600001	1.995200E+01	  0.012600001	5.877000E+00
15	  0.012800000	-7.209000E+00	  0.012800000	1.638730E+02	  0.012800000	1.996700E+01	  0.012800000	5.972000E+00
16	  0.012999999	-7.211000E+00	  0.012999999	1.636320E+02	  0.012999999	1.998400E+01	  0.012999999	6.061000E+00
