! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/msr1_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 03:58:47 PM	12/20/2017 03:36:34 PM
! INTERNAL TEMP:    	44.0 C	44.5 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-6.080000E-01	  0.010000000	-5.835500E+01	  0.010000000	7.342000E+00	  0.010000000	-8.908400E+01
2	  0.010200000	-5.980000E-01	  0.010200000	-5.955600E+01	  0.010200000	6.952000E+00	  0.010200000	-8.696300E+01
3	  0.010400000	-5.960000E-01	  0.010400000	-6.078700E+01	  0.010400000	6.680000E+00	  0.010400000	-8.485300E+01
4	  0.010600000	-6.010000E-01	  0.010600000	-6.202800E+01	  0.010600000	6.497000E+00	  0.010600000	-8.279300E+01
5	  0.010800000	-6.030000E-01	  0.010800000	-6.331300E+01	  0.010800000	6.287000E+00	  0.010800000	-8.073900E+01
6	  0.011000001	-6.050000E-01	  0.011000001	-6.456000E+01	  0.011000001	6.094000E+00	  0.011000001	-7.881600E+01
7	  0.011200000	-6.080000E-01	  0.011200000	-6.583200E+01	  0.011200000	5.913000E+00	  0.011200000	-7.692000E+01
8	  0.011399999	-6.050000E-01	  0.011399999	-6.707300E+01	  0.011399999	5.694000E+00	  0.011399999	-7.513700E+01
9	  0.011600000	-6.070000E-01	  0.011600000	-6.831400E+01	  0.011600000	5.526000E+00	  0.011600000	-7.340600E+01
10	  0.011800000	-6.110000E-01	  0.011800000	-6.957400E+01	  0.011800000	5.392000E+00	  0.011800000	-7.170200E+01
11	  0.012000000	-6.110000E-01	  0.012000000	-7.084200E+01	  0.012000000	5.228000E+00	  0.012000000	-7.004300E+01
12	  0.012200000	-6.160000E-01	  0.012200000	-7.214000E+01	  0.012200000	5.101000E+00	  0.012200000	-6.839300E+01
13	  0.012400000	-6.100000E-01	  0.012400000	-7.342400E+01	  0.012400000	4.902000E+00	  0.012400000	-6.681900E+01
14	  0.012600001	-6.070000E-01	  0.012600001	-7.471300E+01	  0.012600001	4.738000E+00	  0.012600001	-6.528200E+01
15	  0.012800000	-6.090000E-01	  0.012800000	-7.598000E+01	  0.012800000	4.616000E+00	  0.012800000	-6.381200E+01
16	  0.012999999	-6.060000E-01	  0.012999999	-7.726100E+01	  0.012999999	4.465000E+00	  0.012999999	-6.236900E+01
17	  0.013200000	-6.050000E-01	  0.013200000	-7.854800E+01	  0.013200000	4.337000E+00	  0.013200000	-6.095900E+01
18	  0.013400001	-6.070000E-01	  0.013400001	-7.984700E+01	  0.013400001	4.234000E+00	  0.013400001	-5.957200E+01
19	  0.013600000	-6.020000E-01	  0.013600000	-8.112600E+01	  0.013600000	4.093000E+00	  0.013600000	-5.824600E+01
20	  0.013800000	-6.010000E-01	  0.013800000	-8.243300E+01	  0.013800000	3.982000E+00	  0.013800000	-5.692300E+01
21	  0.014000000	-6.010000E-01	  0.014000000	-8.371800E+01	  0.014000000	3.878000E+00	  0.014000000	-5.565600E+01
22	  0.014200001	-6.030000E-01	  0.014200001	-8.503300E+01	  0.014200001	3.794000E+00	  0.014200001	-5.438900E+01
23	  0.014400000	-6.020000E-01	  0.014400000	-8.633100E+01	  0.014400000	3.701000E+00	  0.014400000	-5.317100E+01
24	  0.014599999	-6.050000E-01	  0.014599999	-8.761800E+01	  0.014599999	3.632000E+00	  0.014599999	-5.199000E+01
25	  0.014800000	-6.080000E-01	  0.014800000	-8.896000E+01	  0.014800000	3.560000E+00	  0.014800000	-5.078800E+01
26	  0.015000001	-6.080000E-01	  0.015000001	-9.030100E+01	  0.015000001	3.479000E+00	  0.015000001	-4.961600E+01
27	  0.015200000	-6.070000E-01	  0.015200000	-9.159500E+01	  0.015200000	3.399000E+00	  0.015200000	-4.851000E+01
28	  0.015400000	-6.050000E-01	  0.015400000	-9.290100E+01	  0.015400000	3.312000E+00	  0.015400000	-4.741900E+01
29	  0.015600001	-6.080000E-01	  0.015600001	-9.427800E+01	  0.015600001	3.252000E+00	  0.015600001	-4.629300E+01
30	  0.015800001	-6.010000E-01	  0.015800001	-9.552100E+01	  0.015800001	3.155000E+00	  0.015800001	-4.530000E+01
31	  0.016000001	-5.980000E-01	  0.016000001	-9.682500E+01	  0.016000001	3.077000E+00	  0.016000001	-4.427700E+01
32	  0.016200000	-5.950000E-01	  0.016200000	-9.816900E+01	  0.016200000	2.996000E+00	  0.016200000	-4.324500E+01
33	  0.016400000	-5.970000E-01	  0.016400000	-9.952300E+01	  0.016400000	2.946000E+00	  0.016400000	-4.222400E+01
34	  0.016600000	-5.910000E-01	  0.016600000	-1.008660E+02	  0.016600000	2.862000E+00	  0.016600000	-4.123300E+01
35	  0.016799999	-5.840000E-01	  0.016799999	-1.022630E+02	  0.016799999	2.773000E+00	  0.016799999	-4.022400E+01
36	  0.016999999	-5.820000E-01	  0.016999999	-1.036180E+02	  0.016999999	2.710000E+00	  0.016999999	-3.926100E+01
37	  0.017200001	-5.820000E-01	  0.017200001	-1.049930E+02	  0.017200001	2.658000E+00	  0.017200001	-3.830200E+01
38	  0.017400000	-5.840000E-01	  0.017400000	-1.063310E+02	  0.017400000	2.622000E+00	  0.017400000	-3.738500E+01
39	  0.017600000	-5.870000E-01	  0.017600000	-1.076980E+02	  0.017600000	2.589000E+00	  0.017600000	-3.646400E+01
40	  0.017800000	-5.890000E-01	  0.017800000	-1.090830E+02	  0.017800000	2.552000E+00	  0.017800000	-3.554800E+01
41	  0.017999999	-5.930000E-01	  0.017999999	-1.104700E+02	  0.017999999	2.530000E+00	  0.017999999	-3.464500E+01
42	  0.018200001	-5.960000E-01	  0.018200001	-1.118940E+02	  0.018200001	2.497000E+00	  0.018200001	-3.373400E+01
43	  0.018400000	-5.950000E-01	  0.018400000	-1.132980E+02	  0.018400000	2.453000E+00	  0.018400000	-3.285100E+01
44	  0.018600000	-5.920000E-01	  0.018600000	-1.147340E+02	  0.018600000	2.403000E+00	  0.018600000	-3.196400E+01
45	  0.018800002	-5.890000E-01	  0.018800002	-1.161520E+02	  0.018800002	2.355000E+00	  0.018800002	-3.110100E+01
46	  0.019000001	-5.880000E-01	  0.019000001	-1.175780E+02	  0.019000001	2.314000E+00	  0.019000001	-3.024600E+01
47	  0.019200001	-5.900000E-01	  0.019200001	-1.190260E+02	  0.019200001	2.287000E+00	  0.019200001	-2.939000E+01
48	  0.019399999	-5.900000E-01	  0.019399999	-1.204880E+02	  0.019399999	2.254000E+00	  0.019399999	-2.854000E+01
49	  0.019599998	-5.940000E-01	  0.019599998	-1.219640E+02	  0.019599998	2.236000E+00	  0.019599998	-2.769300E+01
50	  0.019800000	-5.920000E-01	  0.019800000	-1.234410E+02	  0.019800000	2.197000E+00	  0.019800000	-2.685800E+01
51	  0.020000000	-5.900000E-01	  0.020000000	-1.249160E+02	  0.020000000	2.160000E+00	  0.020000000	-2.603600E+01
52	  0.020199999	-5.870000E-01	  0.020199999	-1.263620E+02	  0.020199999	2.122000E+00	  0.020199999	-2.524100E+01
53	  0.020400001	-5.840000E-01	  0.020400001	-1.278080E+02	  0.020400001	2.084000E+00	  0.020400001	-2.445500E+01
54	  0.020600000	-5.850000E-01	  0.020600000	-1.292740E+02	  0.020600000	2.062000E+00	  0.020600000	-2.366800E+01
55	  0.020800000	-5.880000E-01	  0.020800000	-1.307740E+02	  0.020800000	2.046000E+00	  0.020800000	-2.287300E+01
56	  0.021000000	-5.960000E-01	  0.021000000	-1.322770E+02	  0.021000000	2.052000E+00	  0.021000000	-2.208500E+01
57	  0.021199999	-6.030000E-01	  0.021199999	-1.337900E+02	  0.021199999	2.051000E+00	  0.021199999	-2.130100E+01
58	  0.021400001	-6.040000E-01	  0.021400001	-1.353060E+02	  0.021400001	2.034000E+00	  0.021400001	-2.052500E+01
59	  0.021600001	-6.060000E-01	  0.021600001	-1.368330E+02	  0.021600001	2.018000E+00	  0.021600001	-1.975100E+01
60	  0.021800000	-6.080000E-01	  0.021800000	-1.383530E+02	  0.021800000	2.004000E+00	  0.021800000	-1.898900E+01
61	  0.022000002	-6.110000E-01	  0.022000002	-1.398760E+02	  0.022000002	1.994000E+00	  0.022000002	-1.823300E+01
62	  0.022200001	-6.180000E-01	  0.022200001	-1.414100E+02	  0.022200001	1.996000E+00	  0.022200001	-1.747900E+01
63	  0.022399999	-6.220000E-01	  0.022399999	-1.429580E+02	  0.022399999	1.991000E+00	  0.022399999	-1.672500E+01
64	  0.022599999	-6.220000E-01	  0.022599999	-1.445230E+02	  0.022599999	1.974000E+00	  0.022599999	-1.597100E+01
65	  0.022799999	-6.260000E-01	  0.022799999	-1.461280E+02	  0.022799999	1.970000E+00	  0.022799999	-1.520300E+01
66	  0.023000000	-6.280000E-01	  0.023000000	-1.476930E+02	  0.023000000	1.959000E+00	  0.023000000	-1.446100E+01
