! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/ns.200bohm2_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/21/2017 05:24:51 PM	12/21/2017 05:13:10 PM
! INTERNAL TEMP:    	39.5 C	40.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	"MK1 TR3:  58.600 MHz,Z:(38.582 ohm, -62.265 ohm)"	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.541000E+00	  0.010000000	-1.097300E+01	  0.010000000	1.729690E+02	  0.010000000	-6.019200E+01
2	  0.010200000	-4.531000E+00	  0.010200000	-1.114800E+01	  0.010200000	1.726100E+02	  0.010200000	-6.116100E+01
3	  0.010400000	-4.529000E+00	  0.010400000	-1.135600E+01	  0.010400000	1.718820E+02	  0.010400000	-6.204700E+01
4	  0.010600000	-4.529000E+00	  0.010600000	-1.158800E+01	  0.010600000	1.710210E+02	  0.010600000	-6.298300E+01
5	  0.010800000	-4.530000E+00	  0.010800000	-1.178400E+01	  0.010800000	1.702520E+02	  0.010800000	-6.373100E+01
6	  0.011000001	-4.531000E+00	  0.011000001	-1.201900E+01	  0.011000001	1.693290E+02	  0.011000001	-6.461400E+01
7	  0.011200000	-4.534000E+00	  0.011200000	-1.222900E+01	  0.011200000	1.684590E+02	  0.011200000	-6.534900E+01
8	  0.011399999	-4.534000E+00	  0.011399999	-1.247100E+01	  0.011399999	1.675280E+02	  0.011399999	-6.625500E+01
9	  0.011600000	-4.532000E+00	  0.011600000	-1.269000E+01	  0.011600000	1.667230E+02	  0.011600000	-6.710200E+01
10	  0.011800000	-4.536000E+00	  0.011800000	-1.291200E+01	  0.011800000	1.657460E+02	  0.011800000	-6.778700E+01
11	  0.012000000	-4.538000E+00	  0.012000000	-1.313700E+01	  0.012000000	1.648120E+02	  0.012000000	-6.852400E+01
12	  0.012200000	-4.542000E+00	  0.012200000	-1.338200E+01	  0.012200000	1.637570E+02	  0.012200000	-6.926100E+01
13	  0.012400000	-4.541000E+00	  0.012400000	-1.359700E+01	  0.012400000	1.629360E+02	  0.012400000	-7.002800E+01
14	  0.012600001	-4.542000E+00	  0.012600001	-1.383700E+01	  0.012600001	1.619590E+02	  0.012600001	-7.080300E+01
15	  0.012800000	-4.544000E+00	  0.012800000	-1.405600E+01	  0.012800000	1.610280E+02	  0.012800000	-7.144600E+01
16	  0.012999999	-4.549000E+00	  0.012999999	-1.426700E+01	  0.012999999	1.600830E+02	  0.012999999	-7.198400E+01
17	  0.013200000	-4.546000E+00	  0.013200000	-1.447800E+01	  0.013200000	1.592860E+02	  0.013200000	-7.271000E+01
18	  0.013400001	-4.547000E+00	  0.013400001	-1.472300E+01	  0.013400001	1.582700E+02	  0.013400001	-7.342700E+01
19	  0.013600000	-4.549000E+00	  0.013600000	-1.492400E+01	  0.013600000	1.574150E+02	  0.013600000	-7.396600E+01
20	  0.013800000	-4.550000E+00	  0.013800000	-1.517000E+01	  0.013800000	1.563950E+02	  0.013800000	-7.465500E+01
21	  0.014000000	-4.550000E+00	  0.014000000	-1.537700E+01	  0.014000000	1.555500E+02	  0.014000000	-7.523600E+01
22	  0.014200001	-4.552000E+00	  0.014200001	-1.564100E+01	  0.014200001	1.544350E+02	  0.014200001	-7.591400E+01
23	  0.014400000	-4.555000E+00	  0.014400000	-1.585300E+01	  0.014400000	1.535270E+02	  0.014400000	-7.642500E+01
24	  0.014599999	-4.555000E+00	  0.014599999	-1.609000E+01	  0.014599999	1.525560E+02	  0.014599999	-7.704000E+01
25	  0.014800000	-4.557000E+00	  0.014800000	-1.632300E+01	  0.014800000	1.515640E+02	  0.014800000	-7.758600E+01
26	  0.015000001	-4.556000E+00	  0.015000001	-1.652700E+01	  0.015000001	1.507350E+02	  0.015000001	-7.810900E+01
27	  0.015200000	-4.557000E+00	  0.015200000	-1.675500E+01	  0.015200000	1.497900E+02	  0.015200000	-7.864600E+01
28	  0.015400000	-4.559000E+00	  0.015400000	-1.701100E+01	  0.015400000	1.486990E+02	  0.015400000	-7.918500E+01
29	  0.015600001	-4.561000E+00	  0.015600001	-1.717600E+01	  0.015600001	1.479870E+02	  0.015600001	-7.950600E+01
30	  0.015800001	-4.561000E+00	  0.015800001	-1.745700E+01	  0.015800001	1.468400E+02	  0.015800001	-8.014400E+01
31	  0.016000001	-4.562000E+00	  0.016000001	-1.766600E+01	  0.016000001	1.459640E+02	  0.016000001	-8.056800E+01
32	  0.016200000	-4.561000E+00	  0.016200000	-1.789500E+01	  0.016200000	1.450350E+02	  0.016200000	-8.108200E+01
33	  0.016400000	-4.562000E+00	  0.016400000	-1.809700E+01	  0.016400000	1.442030E+02	  0.016400000	-8.148500E+01
34	  0.016600000	-4.562000E+00	  0.016600000	-1.832900E+01	  0.016600000	1.432430E+02	  0.016600000	-8.193000E+01
35	  0.016799999	-4.560000E+00	  0.016799999	-1.854800E+01	  0.016799999	1.423730E+02	  0.016799999	-8.241300E+01
36	  0.016999999	-4.555000E+00	  0.016999999	-1.877400E+01	  0.016999999	1.415070E+02	  0.016999999	-8.297400E+01
37	  0.017200001	-4.552000E+00	  0.017200001	-1.900100E+01	  0.017200001	1.406210E+02	  0.017200001	-8.349100E+01
38	  0.017400000	-4.551000E+00	  0.017400000	-1.920500E+01	  0.017400000	1.397900E+02	  0.017400000	-8.386100E+01
39	  0.017600000	-4.552000E+00	  0.017600000	-1.941900E+01	  0.017600000	1.389100E+02	  0.017600000	-8.422000E+01
40	  0.017800000	-4.552000E+00	  0.017800000	-1.965000E+01	  0.017800000	1.379610E+02	  0.017800000	-8.458900E+01
41	  0.017999999	-4.553000E+00	  0.017999999	-1.985900E+01	  0.017999999	1.371050E+02	  0.017999999	-8.490300E+01
42	  0.018200001	-4.554000E+00	  0.018200001	-2.007100E+01	  0.018200001	1.362310E+02	  0.018200001	-8.520000E+01
43	  0.018400000	-4.556000E+00	  0.018400000	-2.030100E+01	  0.018400000	1.352780E+02	  0.018400000	-8.549000E+01
44	  0.018600000	-4.556000E+00	  0.018600000	-2.052200E+01	  0.018600000	1.343890E+02	  0.018600000	-8.581400E+01
45	  0.018800002	-4.556000E+00	  0.018800002	-2.074400E+01	  0.018800002	1.335030E+02	  0.018800002	-8.614000E+01
46	  0.019000001	-4.556000E+00	  0.019000001	-2.096300E+01	  0.019000001	1.326230E+02	  0.019000001	-8.643600E+01
47	  0.019200001	-4.557000E+00	  0.019200001	-2.116900E+01	  0.019200001	1.317920E+02	  0.019200001	-8.667800E+01
48	  0.019399999	-4.562000E+00	  0.019399999	-2.139800E+01	  0.019399999	1.308430E+02	  0.019399999	-8.684200E+01
49	  0.019599998	-4.565000E+00	  0.019599998	-2.162800E+01	  0.019599998	1.299100E+02	  0.019599998	-8.704300E+01
50	  0.019800000	-4.564000E+00	  0.019800000	-2.185000E+01	  0.019800000	1.290380E+02	  0.019800000	-8.731500E+01
