! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/ns.20ohm_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/21/2017 04:53:22 PM	12/21/2017 04:46:01 PM
! INTERNAL TEMP:    	41.0 C	41.5 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	"MK1 TR3:  58.600 MHz,Z:(27.275 ohm, 27.605 ohm)"	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.210000E+00	  0.010000000	1.677270E+02	  0.010000000	1.982900E+01	  0.010000000	4.538000E+00
2	  0.010200000	-7.196000E+00	  0.010200000	1.675000E+02	  0.010200000	1.980200E+01	  0.010200000	4.625000E+00
3	  0.010400000	-7.203000E+00	  0.010400000	1.672330E+02	  0.010400000	1.982800E+01	  0.010400000	4.723000E+00
4	  0.010600000	-7.198000E+00	  0.010600000	1.670130E+02	  0.010600000	1.982400E+01	  0.010600000	4.805000E+00
5	  0.010800000	-7.204000E+00	  0.010800000	1.667680E+02	  0.010800000	1.984600E+01	  0.010800000	4.895000E+00
6	  0.011000001	-7.208000E+00	  0.011000001	1.665150E+02	  0.011000001	1.986500E+01	  0.011000001	4.988000E+00
7	  0.011200000	-7.203000E+00	  0.011200000	1.662540E+02	  0.011200000	1.986100E+01	  0.011200000	5.087000E+00
8	  0.011399999	-7.203000E+00	  0.011399999	1.660100E+02	  0.011399999	1.987100E+01	  0.011399999	5.177000E+00
9	  0.011600000	-7.211000E+00	  0.011600000	1.657970E+02	  0.011600000	1.989800E+01	  0.011600000	5.255000E+00
10	  0.011800000	-7.209000E+00	  0.011800000	1.655210E+02	  0.011800000	1.990200E+01	  0.011800000	5.358000E+00
11	  0.012000000	-7.211000E+00	  0.012000000	1.652630E+02	  0.012000000	1.991700E+01	  0.012000000	5.453000E+00
12	  0.012200000	-7.211000E+00	  0.012200000	1.649970E+02	  0.012200000	1.992900E+01	  0.012200000	5.553000E+00
13	  0.012400000	-7.213000E+00	  0.012400000	1.647540E+02	  0.012400000	1.994100E+01	  0.012400000	5.642000E+00
14	  0.012600001	-7.211000E+00	  0.012600001	1.644940E+02	  0.012600001	1.994700E+01	  0.012600001	5.740000E+00
15	  0.012800000	-7.216000E+00	  0.012800000	1.642620E+02	  0.012800000	1.996800E+01	  0.012800000	5.825000E+00
16	  0.012999999	-7.214000E+00	  0.012999999	1.640310E+02	  0.012999999	1.997400E+01	  0.012999999	5.911000E+00
17	  0.013200000	-7.219000E+00	  0.013200000	1.637760E+02	  0.013200000	1.999600E+01	  0.013200000	6.005000E+00
18	  0.013400001	-7.218000E+00	  0.013400001	1.635170E+02	  0.013400001	2.000400E+01	  0.013400001	6.102000E+00
19	  0.013600000	-7.216000E+00	  0.013600000	1.632810E+02	  0.013600000	2.001000E+01	  0.013600000	6.191000E+00
20	  0.013800000	-7.214000E+00	  0.013800000	1.630540E+02	  0.013800000	2.001600E+01	  0.013800000	6.276000E+00
21	  0.014000000	-7.214000E+00	  0.014000000	1.628030E+02	  0.014000000	2.002600E+01	  0.014000000	6.370000E+00
22	  0.014200001	-7.215000E+00	  0.014200001	1.625640E+02	  0.014200001	2.004000E+01	  0.014200001	6.459000E+00
23	  0.014400000	-7.219000E+00	  0.014400000	1.623290E+02	  0.014400000	2.005900E+01	  0.014400000	6.545000E+00
24	  0.014599999	-7.216000E+00	  0.014599999	1.621050E+02	  0.014599999	2.006300E+01	  0.014599999	6.630000E+00
25	  0.014800000	-7.222000E+00	  0.014800000	1.618520E+02	  0.014800000	2.009000E+01	  0.014800000	6.723000E+00
26	  0.015000001	-7.223000E+00	  0.015000001	1.616010E+02	  0.015000001	2.010300E+01	  0.015000001	6.816000E+00
27	  0.015200000	-7.226000E+00	  0.015200000	1.613700E+02	  0.015200000	2.012300E+01	  0.015200000	6.902000E+00
28	  0.015400000	-7.228000E+00	  0.015400000	1.611100E+02	  0.015400000	2.013900E+01	  0.015400000	6.999000E+00
29	  0.015600001	-7.229000E+00	  0.015600001	1.609010E+02	  0.015600001	2.015300E+01	  0.015600001	7.076000E+00
30	  0.015800001	-7.232000E+00	  0.015800001	1.606370E+02	  0.015800001	2.017300E+01	  0.015800001	7.174000E+00
31	  0.016000001	-7.234000E+00	  0.016000001	1.603780E+02	  0.016000001	2.019200E+01	  0.016000001	7.270000E+00
32	  0.016200000	-7.234000E+00	  0.016200000	1.601430E+02	  0.016200000	2.020300E+01	  0.016200000	7.358000E+00
33	  0.016400000	-7.237000E+00	  0.016400000	1.599160E+02	  0.016400000	2.022400E+01	  0.016400000	7.442000E+00
34	  0.016600000	-7.235000E+00	  0.016600000	1.596840E+02	  0.016600000	2.023100E+01	  0.016600000	7.530000E+00
35	  0.016799999	-7.235000E+00	  0.016799999	1.594530E+02	  0.016799999	2.024300E+01	  0.016799999	7.616000E+00
36	  0.016999999	-7.237000E+00	  0.016999999	1.591810E+02	  0.016999999	2.026200E+01	  0.016999999	7.718000E+00
37	  0.017200001	-7.236000E+00	  0.017200001	1.589690E+02	  0.017200001	2.027100E+01	  0.017200001	7.798000E+00
38	  0.017400000	-7.235000E+00	  0.017400000	1.587310E+02	  0.017400000	2.028200E+01	  0.017400000	7.887000E+00
39	  0.017600000	-7.237000E+00	  0.017600000	1.584530E+02	  0.017600000	2.030300E+01	  0.017600000	7.991000E+00
40	  0.017800000	-7.236000E+00	  0.017800000	1.582080E+02	  0.017800000	2.031600E+01	  0.017800000	8.083000E+00
41	  0.017999999	-7.238000E+00	  0.017999999	1.579540E+02	  0.017999999	2.033500E+01	  0.017999999	8.178000E+00
42	  0.018200001	-7.242000E+00	  0.018200001	1.577430E+02	  0.018200001	2.035600E+01	  0.018200001	8.256000E+00
43	  0.018400000	-7.242000E+00	  0.018400000	1.574760E+02	  0.018400000	2.037100E+01	  0.018400000	8.356000E+00
44	  0.018600000	-7.246000E+00	  0.018600000	1.572410E+02	  0.018600000	2.039500E+01	  0.018600000	8.443000E+00
45	  0.018800002	-7.244000E+00	  0.018800002	1.569990E+02	  0.018800002	2.040500E+01	  0.018800002	8.535000E+00
46	  0.019000001	-7.242000E+00	  0.019000001	1.567510E+02	  0.019000001	2.041500E+01	  0.019000001	8.629000E+00
47	  0.019200001	-7.240000E+00	  0.019200001	1.565430E+02	  0.019200001	2.042400E+01	  0.019200001	8.708000E+00
48	  0.019399999	-7.241000E+00	  0.019399999	1.562500E+02	  0.019399999	2.044500E+01	  0.019399999	8.818000E+00
49	  0.019599998	-7.250000E+00	  0.019599998	1.560240E+02	  0.019599998	2.048100E+01	  0.019599998	8.900000E+00
50	  0.019800000	-7.246000E+00	  0.019800000	1.557770E+02	  0.019800000	2.048700E+01	  0.019800000	8.994000E+00
51	  0.020000000	-7.247000E+00	  0.020000000	1.555150E+02	  0.020000000	2.050700E+01	  0.020000000	9.093000E+00
52	  0.020199999	-7.244000E+00	  0.020199999	1.553010E+02	  0.020199999	2.051400E+01	  0.020199999	9.175000E+00
53	  0.020400001	-7.244000E+00	  0.020400001	1.550470E+02	  0.020400001	2.052900E+01	  0.020400001	9.271000E+00
54	  0.020600000	-7.239000E+00	  0.020600000	1.548160E+02	  0.020600000	2.053400E+01	  0.020600000	9.360000E+00
55	  0.020800000	-7.239000E+00	  0.020800000	1.545820E+02	  0.020800000	2.054800E+01	  0.020800000	9.449000E+00
56	  0.021000000	-7.241000E+00	  0.021000000	1.542790E+02	  0.021000000	2.057500E+01	  0.021000000	9.562000E+00
57	  0.021199999	-7.242000E+00	  0.021199999	1.540810E+02	  0.021199999	2.059100E+01	  0.021199999	9.637000E+00
