! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/ns.50bohm2_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/21/2017 05:23:13 PM	12/21/2017 05:13:10 PM
! INTERNAL TEMP:    	39.5 C	40.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	"MK1 TR3:  58.600 MHz,Z:(51.681 ohm, 1.291 ohm)"	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.550700E+01	  0.010000000	7.008100E+01	  0.010000000	5.017800E+01	  0.010000000	5.000000E-01
2	  0.010200000	-4.550100E+01	  0.010200000	7.319600E+01	  0.010200000	5.015100E+01	  0.010200000	5.090000E-01
3	  0.010400000	-4.500500E+01	  0.010400000	7.303000E+01	  0.010400000	5.016100E+01	  0.010400000	5.390000E-01
4	  0.010600000	-4.518800E+01	  0.010600000	7.019900E+01	  0.010600000	5.018400E+01	  0.010600000	5.190000E-01
5	  0.010800000	-4.450500E+01	  0.010800000	6.981500E+01	  0.010800000	5.020200E+01	  0.010800000	5.610000E-01
6	  0.011000001	-4.443600E+01	  0.011000001	6.979300E+01	  0.011000001	5.020400E+01	  0.011000001	5.650000E-01
7	  0.011200000	-4.442400E+01	  0.011200000	6.947200E+01	  0.011200000	5.020700E+01	  0.011200000	5.650000E-01
8	  0.011399999	-4.437400E+01	  0.011399999	7.147500E+01	  0.011399999	5.018900E+01	  0.011399999	5.750000E-01
9	  0.011600000	-4.413100E+01	  0.011600000	7.128300E+01	  0.011600000	5.019600E+01	  0.011600000	5.900000E-01
10	  0.011800000	-4.383000E+01	  0.011800000	7.141200E+01	  0.011800000	5.020100E+01	  0.011800000	6.120000E-01
11	  0.012000000	-4.389700E+01	  0.012000000	7.170100E+01	  0.012000000	5.019700E+01	  0.012000000	6.080000E-01
12	  0.012200000	-4.362900E+01	  0.012200000	7.243600E+01	  0.012200000	5.019500E+01	  0.012200000	6.300000E-01
13	  0.012400000	-4.366400E+01	  0.012400000	7.129400E+01	  0.012400000	5.020600E+01	  0.012400000	6.230000E-01
14	  0.012600001	-4.376100E+01	  0.012600001	7.392900E+01	  0.012600001	5.017500E+01	  0.012600001	6.250000E-01
15	  0.012800000	-4.346400E+01	  0.012800000	7.123400E+01	  0.012800000	5.021200E+01	  0.012800000	6.380000E-01
16	  0.012999999	-4.348900E+01	  0.012999999	7.175400E+01	  0.012999999	5.020500E+01	  0.012999999	6.380000E-01
17	  0.013200000	-4.325300E+01	  0.013200000	6.972900E+01	  0.013200000	5.023400E+01	  0.013200000	6.480000E-01
18	  0.013400001	-4.322300E+01	  0.013400001	7.189300E+01	  0.013400001	5.021000E+01	  0.013400001	6.580000E-01
19	  0.013600000	-4.319900E+01	  0.013600000	7.121500E+01	  0.013600000	5.021800E+01	  0.013600000	6.570000E-01
20	  0.013800000	-4.310600E+01	  0.013800000	7.188100E+01	  0.013800000	5.021300E+01	  0.013800000	6.670000E-01
21	  0.014000000	-4.307700E+01	  0.014000000	7.256400E+01	  0.014000000	5.020600E+01	  0.014000000	6.720000E-01
22	  0.014200001	-4.317600E+01	  0.014200001	7.022800E+01	  0.014200001	5.023000E+01	  0.014200001	6.550000E-01
23	  0.014400000	-4.307600E+01	  0.014400000	7.024500E+01	  0.014400000	5.023300E+01	  0.014400000	6.630000E-01
24	  0.014599999	-4.298400E+01	  0.014599999	7.023800E+01	  0.014599999	5.023500E+01	  0.014599999	6.700000E-01
