! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/ns.50bohm_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/21/2017 04:59:07 PM	12/21/2017 04:46:01 PM
! INTERNAL TEMP:    	40.8 C	41.5 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	"MK1 TR3:  58.600 MHz,Z:(51.607 ohm, 1.187 ohm)"	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.615300E+01	  0.010000000	7.248900E+01	  0.010000000	5.014600E+01	  0.010000000	4.700000E-01
2	  0.010200000	-4.521600E+01	  0.010200000	7.280700E+01	  0.010200000	5.015900E+01	  0.010200000	5.250000E-01
3	  0.010400000	-4.517400E+01	  0.010400000	7.048900E+01	  0.010400000	5.018100E+01	  0.010400000	5.210000E-01
4	  0.010600000	-4.490500E+01	  0.010600000	7.066900E+01	  0.010600000	5.018500E+01	  0.010600000	5.380000E-01
5	  0.010800000	-4.475400E+01	  0.010800000	7.026900E+01	  0.010800000	5.019200E+01	  0.010800000	5.460000E-01
6	  0.011000001	-4.460300E+01	  0.011000001	7.217300E+01	  0.011000001	5.017700E+01	  0.011000001	5.620000E-01
7	  0.011200000	-4.434300E+01	  0.011200000	7.180100E+01	  0.011200000	5.018600E+01	  0.011200000	5.780000E-01
8	  0.011399999	-4.426400E+01	  0.011399999	6.955100E+01	  0.011399999	5.021000E+01	  0.011399999	5.750000E-01
9	  0.011600000	-4.420200E+01	  0.011600000	7.032300E+01	  0.011600000	5.020400E+01	  0.011600000	5.820000E-01
10	  0.011800000	-4.388400E+01	  0.011800000	7.157900E+01	  0.011800000	5.019800E+01	  0.011800000	6.090000E-01
11	  0.012000000	-4.374700E+01	  0.012000000	7.164000E+01	  0.012000000	5.020100E+01	  0.012000000	6.180000E-01
12	  0.012200000	-4.350000E+01	  0.012200000	7.050400E+01	  0.012200000	5.021900E+01	  0.012200000	6.320000E-01
13	  0.012400000	-4.347100E+01	  0.012400000	7.249400E+01	  0.012400000	5.019800E+01	  0.012400000	6.420000E-01
14	  0.012600001	-4.334800E+01	  0.012600001	7.209300E+01	  0.012600001	5.020500E+01	  0.012600001	6.490000E-01
15	  0.012800000	-4.361100E+01	  0.012800000	7.344600E+01	  0.012800000	5.018400E+01	  0.012800000	6.340000E-01
16	  0.012999999	-4.338000E+01	  0.012999999	7.364700E+01	  0.012999999	5.018600E+01	  0.012999999	6.520000E-01
17	  0.013200000	-4.328500E+01	  0.013200000	7.320700E+01	  0.013200000	5.019300E+01	  0.013200000	6.580000E-01
