! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/50ohm4_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 04:19:53 PM	12/20/2017 04:05:21 PM
! INTERNAL TEMP:    	41.8 C	43.3 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.517300E+01	  0.010000000	5.579300E+01	  0.010000000	5.030800E+01	  0.010000000	4.580000E-01
2	  0.010200000	-4.492300E+01	  0.010200000	5.624900E+01	  0.010200000	5.031300E+01	  0.010200000	4.740000E-01
3	  0.010400000	-4.433600E+01	  0.010400000	5.435900E+01	  0.010400000	5.035200E+01	  0.010400000	4.960000E-01
4	  0.010600000	-4.416800E+01	  0.010600000	5.628000E+01	  0.010600000	5.034200E+01	  0.010600000	5.180000E-01
5	  0.010800000	-4.395200E+01	  0.010800000	5.642400E+01	  0.010800000	5.034900E+01	  0.010800000	5.320000E-01
6	  0.011000001	-4.384200E+01	  0.011000001	5.729600E+01	  0.011000001	5.034500E+01	  0.011000001	5.440000E-01
7	  0.011200000	-4.336400E+01	  0.011200000	5.745500E+01	  0.011200000	5.036300E+01	  0.011200000	5.760000E-01
8	  0.011399999	-4.353100E+01	  0.011399999	5.869900E+01	  0.011399999	5.034300E+01	  0.011399999	5.720000E-01
9	  0.011600000	-4.317900E+01	  0.011600000	5.954600E+01	  0.011600000	5.034900E+01	  0.011600000	6.010000E-01
10	  0.011800000	-4.278400E+01	  0.011800000	5.915600E+01	  0.011800000	5.036900E+01	  0.011800000	6.270000E-01
11	  0.012000000	-4.291100E+01	  0.012000000	5.981900E+01	  0.012000000	5.035600E+01	  0.012000000	6.220000E-01
12	  0.012200000	-4.276400E+01	  0.012200000	6.074200E+01	  0.012200000	5.035200E+01	  0.012200000	6.390000E-01
13	  0.012400000	-4.272200E+01	  0.012400000	6.052400E+01	  0.012400000	5.035600E+01	  0.012400000	6.400000E-01
14	  0.012600001	-4.282100E+01	  0.012600001	6.269400E+01	  0.012600001	5.032800E+01	  0.012600001	6.460000E-01
15	  0.012800000	-4.269200E+01	  0.012800000	6.168700E+01	  0.012800000	5.034400E+01	  0.012800000	6.500000E-01
16	  0.012999999	-4.256500E+01	  0.012999999	6.387400E+01	  0.012999999	5.032400E+01	  0.012999999	6.720000E-01
17	  0.013200000	-4.264600E+01	  0.013200000	6.397800E+01	  0.013200000	5.032000E+01	  0.013200000	6.660000E-01
18	  0.013400001	-4.265200E+01	  0.013400001	6.470700E+01	  0.013400001	5.031100E+01	  0.013400001	6.700000E-01
19	  0.013600000	-4.287500E+01	  0.013600000	6.330600E+01	  0.013600000	5.031900E+01	  0.013600000	6.450000E-01
20	  0.013800000	-4.282200E+01	  0.013800000	6.468700E+01	  0.013800000	5.030500E+01	  0.013800000	6.570000E-01
21	  0.014000000	-4.288200E+01	  0.014000000	6.352500E+01	  0.014000000	5.031600E+01	  0.014000000	6.460000E-01
22	  0.014200001	-4.281000E+01	  0.014200001	6.393500E+01	  0.014200001	5.031400E+01	  0.014200001	6.540000E-01
23	  0.014400000	-4.275700E+01	  0.014400000	6.237400E+01	  0.014400000	5.033400E+01	  0.014400000	6.490000E-01
24	  0.014599999	-4.273200E+01	  0.014599999	6.135600E+01	  0.014599999	5.034700E+01	  0.014599999	6.450000E-01
25	  0.014800000	-4.301600E+01	  0.014800000	6.074100E+01	  0.014800000	5.034200E+01	  0.014800000	6.200000E-01
26	  0.015000001	-4.269100E+01	  0.015000001	5.961200E+01	  0.015000001	5.036800E+01	  0.015000001	6.370000E-01
27	  0.015200000	-4.269400E+01	  0.015200000	5.905100E+01	  0.015200000	5.037400E+01	  0.015200000	6.330000E-01
28	  0.015400000	-4.248900E+01	  0.015400000	5.926200E+01	  0.015400000	5.038100E+01	  0.015400000	6.500000E-01
29	  0.015600001	-4.262000E+01	  0.015600001	5.780300E+01	  0.015600001	5.039100E+01	  0.015600001	6.300000E-01
30	  0.015800001	-4.238900E+01	  0.015800001	5.688700E+01	  0.015800001	5.041200E+01	  0.015800001	6.410000E-01
31	  0.016000001	-4.237400E+01	  0.016000001	5.633800E+01	  0.016000001	5.041900E+01	  0.016000001	6.380000E-01
32	  0.016200000	-4.212600E+01	  0.016200000	5.563700E+01	  0.016200000	5.043900E+01	  0.016200000	6.510000E-01
33	  0.016400000	-4.203300E+01	  0.016400000	5.477000E+01	  0.016400000	5.045400E+01	  0.016400000	6.520000E-01
34	  0.016600000	-4.163800E+01	  0.016600000	5.441500E+01	  0.016600000	5.047900E+01	  0.016600000	6.790000E-01
35	  0.016799999	-4.163600E+01	  0.016799999	5.437200E+01	  0.016799999	5.048000E+01	  0.016799999	6.790000E-01
36	  0.016999999	-4.135300E+01	  0.016999999	5.464200E+01	  0.016999999	5.049200E+01	  0.016999999	7.040000E-01
37	  0.017200001	-4.116300E+01	  0.017200001	5.352400E+01	  0.017200001	5.051700E+01	  0.017200001	7.100000E-01
38	  0.017400000	-4.092000E+01	  0.017400000	5.434900E+01	  0.017400000	5.052100E+01	  0.017400000	7.380000E-01
39	  0.017600000	-4.092500E+01	  0.017600000	5.415700E+01	  0.017600000	5.052300E+01	  0.017600000	7.360000E-01
40	  0.017800000	-4.072400E+01	  0.017800000	5.447800E+01	  0.017800000	5.053100E+01	  0.017800000	7.560000E-01
41	  0.017999999	-4.062100E+01	  0.017999999	5.445800E+01	  0.017999999	5.053800E+01	  0.017999999	7.650000E-01
42	  0.018200001	-4.063100E+01	  0.018200001	5.584200E+01	  0.018200001	5.051800E+01	  0.018200001	7.770000E-01
43	  0.018400000	-4.031900E+01	  0.018400000	5.628100E+01	  0.018400000	5.053100E+01	  0.018400000	8.100000E-01
44	  0.018600000	-4.032000E+01	  0.018600000	5.625100E+01	  0.018600000	5.053100E+01	  0.018600000	8.100000E-01
45	  0.018800002	-4.026900E+01	  0.018800002	5.645800E+01	  0.018800002	5.053100E+01	  0.018800002	8.160000E-01
46	  0.019000001	-4.018600E+01	  0.019000001	5.807300E+01	  0.019000001	5.051300E+01	  0.019000001	8.390000E-01
47	  0.019200001	-4.001500E+01	  0.019200001	5.767500E+01	  0.019200001	5.052900E+01	  0.019200001	8.520000E-01
48	  0.019399999	-3.990200E+01	  0.019399999	5.840800E+01	  0.019399999	5.052500E+01	  0.019399999	8.700000E-01
49	  0.019599998	-3.995500E+01	  0.019599998	5.926700E+01	  0.019599998	5.050800E+01	  0.019599998	8.720000E-01
50	  0.019800000	-4.009100E+01	  0.019800000	5.945200E+01	  0.019800000	5.049800E+01	  0.019800000	8.600000E-01
51	  0.020000000	-3.987000E+01	  0.020000000	5.993200E+01	  0.020000000	5.050300E+01	  0.020000000	8.870000E-01
52	  0.020199999	-4.003900E+01	  0.020199999	5.884100E+01	  0.020199999	5.051000E+01	  0.020199999	8.600000E-01
53	  0.020400001	-4.010200E+01	  0.020400001	5.981100E+01	  0.020400001	5.049200E+01	  0.020400001	8.620000E-01
54	  0.020600000	-4.018800E+01	  0.020600000	6.015000E+01	  0.020600000	5.048200E+01	  0.020600000	8.560000E-01
55	  0.020800000	-4.009800E+01	  0.020800000	5.936000E+01	  0.020800000	5.049900E+01	  0.020800000	8.590000E-01
56	  0.021000000	-4.016600E+01	  0.021000000	5.943900E+01	  0.021000000	5.049400E+01	  0.021000000	8.530000E-01
57	  0.021199999	-3.999000E+01	  0.021199999	5.886500E+01	  0.021199999	5.051200E+01	  0.021199999	8.650000E-01
58	  0.021400001	-4.018500E+01	  0.021400001	5.943000E+01	  0.021400001	5.049300E+01	  0.021400001	8.510000E-01
59	  0.021600001	-4.013300E+01	  0.021600001	5.844500E+01	  0.021600001	5.051000E+01	  0.021600001	8.470000E-01
60	  0.021800000	-4.011500E+01	  0.021800000	5.784100E+01	  0.021800000	5.052000E+01	  0.021800000	8.440000E-01
61	  0.022000002	-4.023600E+01	  0.022000002	5.645800E+01	  0.022000002	5.053300E+01	  0.022000002	8.190000E-01
62	  0.022200001	-4.018000E+01	  0.022200001	5.620000E+01	  0.022200001	5.054100E+01	  0.022200001	8.220000E-01
63	  0.022399999	-3.992600E+01	  0.022399999	5.727400E+01	  0.022399999	5.054000E+01	  0.022399999	8.570000E-01
64	  0.022599999	-3.997700E+01	  0.022599999	5.529000E+01	  0.022599999	5.056700E+01	  0.022599999	8.330000E-01
65	  0.022799999	-3.991700E+01	  0.022799999	5.580800E+01	  0.022799999	5.056300E+01	  0.022799999	8.440000E-01
66	  0.023000000	-3.975100E+01	  0.023000000	5.593300E+01	  0.023000000	5.057200E+01	  0.023000000	8.620000E-01
67	  0.023200000	-3.970200E+01	  0.023200000	5.430100E+01	  0.023200000	5.060000E+01	  0.023200000	8.500000E-01
68	  0.023399999	-3.962100E+01	  0.023399999	5.323500E+01	  0.023399999	5.062200E+01	  0.023399999	8.470000E-01
69	  0.023600001	-3.950100E+01	  0.023600001	5.369200E+01	  0.023600001	5.062300E+01	  0.023600001	8.640000E-01
70	  0.023800001	-3.949500E+01	  0.023800001	5.265300E+01	  0.023800001	5.063900E+01	  0.023800001	8.530000E-01
71	  0.024000000	-3.932300E+01	  0.024000000	5.378300E+01	  0.024000000	5.063500E+01	  0.024000000	8.830000E-01
72	  0.024200000	-3.911100E+01	  0.024200000	5.440900E+01	  0.024200000	5.064000E+01	  0.024200000	9.120000E-01
73	  0.024400000	-3.898500E+01	  0.024400000	5.341800E+01	  0.024400000	5.066600E+01	  0.024400000	9.140000E-01
74	  0.024600001	-3.891600E+01	  0.024600001	5.264100E+01	  0.024600001	5.068300E+01	  0.024600001	9.120000E-01
75	  0.024800001	-3.885000E+01	  0.024800001	5.378300E+01	  0.024800001	5.067000E+01	  0.024800001	9.330000E-01
76	  0.025000000	-3.884300E+01	  0.025000000	5.298300E+01	  0.025000000	5.068400E+01	  0.025000000	9.240000E-01
77	  0.025200002	-3.876300E+01	  0.025200002	5.298500E+01	  0.025200002	5.069000E+01	  0.025200002	9.330000E-01
78	  0.025400000	-3.864800E+01	  0.025400000	5.383300E+01	  0.025400000	5.068500E+01	  0.025400000	9.560000E-01
79	  0.025599999	-3.873000E+01	  0.025599999	5.322400E+01	  0.025599999	5.068800E+01	  0.025599999	9.390000E-01
80	  0.025799999	-3.865600E+01	  0.025799999	5.391900E+01	  0.025799999	5.068300E+01	  0.025799999	9.560000E-01
81	  0.025999999	-3.871600E+01	  0.025999999	5.358600E+01	  0.025999999	5.068400E+01	  0.025999999	9.450000E-01
82	  0.026200000	-3.870400E+01	  0.026200000	5.486600E+01	  0.026200000	5.066300E+01	  0.026200000	9.620000E-01
83	  0.026400000	-3.855900E+01	  0.026400000	5.391000E+01	  0.026400000	5.069000E+01	  0.026400000	9.670000E-01
84	  0.026600000	-3.846900E+01	  0.026600000	5.498400E+01	  0.026600000	5.067900E+01	  0.026600000	9.900000E-01
85	  0.026800001	-3.855500E+01	  0.026800001	5.472900E+01	  0.026800001	5.067700E+01	  0.026800001	9.770000E-01
86	  0.027000001	-3.860400E+01	  0.027000001	5.439600E+01	  0.027000001	5.067900E+01	  0.027000001	9.670000E-01
87	  0.027200000	-3.857700E+01	  0.027200000	5.466300E+01	  0.027200000	5.067600E+01	  0.027200000	9.740000E-01
88	  0.027400000	-3.859000E+01	  0.027400000	5.448600E+01	  0.027400000	5.067800E+01	  0.027400000	9.700000E-01
89	  0.027600000	-3.857600E+01	  0.027600000	5.408800E+01	  0.027600000	5.068600E+01	  0.027600000	9.670000E-01
90	  0.027800001	-3.863900E+01	  0.027800001	5.401700E+01	  0.027800001	5.068200E+01	  0.027800001	9.590000E-01
91	  0.028000001	-3.857300E+01	  0.028000001	5.321700E+01	  0.028000001	5.070100E+01	  0.028000001	9.570000E-01
92	  0.028200001	-3.867300E+01	  0.028200001	5.255000E+01	  0.028200001	5.070400E+01	  0.028200001	9.380000E-01
93	  0.028400002	-3.854000E+01	  0.028400002	5.292300E+01	  0.028400002	5.070900E+01	  0.028400002	9.570000E-01
94	  0.028600000	-3.853600E+01	  0.028600000	5.272900E+01	  0.028600000	5.071200E+01	  0.028600000	9.550000E-01
95	  0.028800000	-3.843400E+01	  0.028800000	5.211500E+01	  0.028800000	5.073100E+01	  0.028800000	9.590000E-01
96	  0.028999999	-3.859900E+01	  0.028999999	5.154800E+01	  0.028999999	5.072700E+01	  0.028999999	9.330000E-01
97	  0.029199999	-3.854600E+01	  0.029199999	5.086500E+01	  0.029199999	5.074300E+01	  0.029199999	9.300000E-01
98	  0.029400000	-3.842600E+01	  0.029400000	5.111600E+01	  0.029400000	5.074900E+01	  0.029400000	9.470000E-01
99	  0.029600000	-3.835000E+01	  0.029600000	5.021800E+01	  0.029600000	5.077000E+01	  0.029600000	9.430000E-01
100	  0.029800000	-3.832700E+01	  0.029800000	4.982500E+01	  0.029800000	5.077900E+01	  0.029800000	9.400000E-01
101	  0.030000001	-3.818900E+01	  0.030000001	4.884300E+01	  0.030000001	5.080800E+01	  0.030000001	9.420000E-01
102	  0.030200001	-3.801900E+01	  0.030200001	4.908500E+01	  0.030200001	5.082000E+01	  0.030200001	9.640000E-01
103	  0.030400001	-3.805400E+01	  0.030400001	4.873400E+01	  0.030400001	5.082200E+01	  0.030400001	9.550000E-01
104	  0.030600000	-3.793800E+01	  0.030600000	4.856100E+01	  0.030600000	5.083600E+01	  0.030600000	9.660000E-01
105	  0.030800000	-3.776600E+01	  0.030800000	4.834200E+01	  0.030800000	5.085700E+01	  0.030800000	9.820000E-01
