! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/ns.msr2_2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/21/2017 05:18:20 PM	12/21/2017 05:13:10 PM
! INTERNAL TEMP:    	39.8 C	40.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	"MK1 TR3:  58.600 MHz,Z:(24.433 ohm, -29.824 ohm)"	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-5.730000E-01	  0.010000000	-5.859800E+01	  0.010000000	6.863000E+00	  0.010000000	-8.869800E+01
2	  0.010200000	-5.610000E-01	  0.010200000	-5.979400E+01	  0.010200000	6.483000E+00	  0.010200000	-8.659800E+01
3	  0.010400000	-5.670000E-01	  0.010400000	-6.104300E+01	  0.010400000	6.308000E+00	  0.010400000	-8.446000E+01
4	  0.010600000	-5.650000E-01	  0.010600000	-6.231200E+01	  0.010600000	6.060000E+00	  0.010600000	-8.237600E+01
5	  0.010800000	-5.690000E-01	  0.010800000	-6.357300E+01	  0.010800000	5.886000E+00	  0.010800000	-8.037200E+01
6	  0.011000001	-5.650000E-01	  0.011000001	-6.485600E+01	  0.011000001	5.645000E+00	  0.011000001	-7.841200E+01
7	  0.011200000	-5.670000E-01	  0.011200000	-6.609400E+01	  0.011200000	5.475000E+00	  0.011200000	-7.657900E+01
8	  0.011399999	-5.710000E-01	  0.011399999	-6.735100E+01	  0.011399999	5.335000E+00	  0.011399999	-7.477700E+01
9	  0.011600000	-5.720000E-01	  0.011600000	-6.858100E+01	  0.011600000	5.176000E+00	  0.011600000	-7.307200E+01
10	  0.011800000	-5.730000E-01	  0.011800000	-6.984500E+01	  0.011800000	5.028000E+00	  0.011800000	-7.137400E+01
11	  0.012000000	-5.760000E-01	  0.012000000	-7.112100E+01	  0.012000000	4.896000E+00	  0.012000000	-6.971200E+01
12	  0.012200000	-5.790000E-01	  0.012200000	-7.241200E+01	  0.012200000	4.768000E+00	  0.012200000	-6.808300E+01
13	  0.012400000	-5.760000E-01	  0.012400000	-7.367300E+01	  0.012400000	4.606000E+00	  0.012400000	-6.654200E+01
14	  0.012600001	-5.720000E-01	  0.012600001	-7.496100E+01	  0.012600001	4.442000E+00	  0.012600001	-6.501500E+01
15	  0.012800000	-5.730000E-01	  0.012800000	-7.620900E+01	  0.012800000	4.328000E+00	  0.012800000	-6.357300E+01
16	  0.012999999	-5.750000E-01	  0.012999999	-7.749500E+01	  0.012999999	4.221000E+00	  0.012999999	-6.212900E+01
