! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/254.ew.sma.me2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 12:58:48 PM	12/20/2017 12:55:07 PM
! INTERNAL TEMP:    	44.3 C	44.3 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-6.390000E-01	  0.010000000	-5.841300E+01	  0.010000000	7.691000E+00	  0.010000000	-8.893200E+01
2	  0.010200000	-6.250000E-01	  0.010200000	-5.962000E+01	  0.010200000	7.258000E+00	  0.010200000	-8.681300E+01
3	  0.010400000	-6.200000E-01	  0.010400000	-6.085500E+01	  0.010400000	6.935000E+00	  0.010400000	-8.470700E+01
4	  0.010600000	-6.260000E-01	  0.010600000	-6.214100E+01	  0.010600000	6.737000E+00	  0.010600000	-8.257800E+01
5	  0.010800000	-6.270000E-01	  0.010800000	-6.342000E+01	  0.010800000	6.512000E+00	  0.010800000	-8.054400E+01
6	  0.011000001	-6.250000E-01	  0.011000001	-6.469700E+01	  0.011000001	6.262000E+00	  0.011000001	-7.858800E+01
7	  0.011200000	-6.230000E-01	  0.011200000	-6.593300E+01	  0.011200000	6.043000E+00	  0.011200000	-7.675700E+01
8	  0.011399999	-6.250000E-01	  0.011399999	-6.720800E+01	  0.011399999	5.860000E+00	  0.011399999	-7.492600E+01
9	  0.011600000	-6.270000E-01	  0.011600000	-6.845000E+01	  0.011600000	5.692000E+00	  0.011600000	-7.320100E+01
10	  0.011800000	-6.240000E-01	  0.011800000	-6.970200E+01	  0.011800000	5.489000E+00	  0.011800000	-7.151900E+01
11	  0.012000000	-6.260000E-01	  0.012000000	-7.099700E+01	  0.012000000	5.334000E+00	  0.012000000	-6.983000E+01
12	  0.012200000	-6.220000E-01	  0.012200000	-7.228600E+01	  0.012200000	5.135000E+00	  0.012200000	-6.820600E+01
13	  0.012400000	-6.190000E-01	  0.012400000	-7.357500E+01	  0.012400000	4.961000E+00	  0.012400000	-6.662900E+01
14	  0.012600001	-6.180000E-01	  0.012600001	-7.486000E+01	  0.012600001	4.805000E+00	  0.012600001	-6.510200E+01
15	  0.012800000	-6.170000E-01	  0.012800000	-7.613400E+01	  0.012800000	4.666000E+00	  0.012800000	-6.363000E+01
16	  0.012999999	-6.150000E-01	  0.012999999	-7.742800E+01	  0.012999999	4.519000E+00	  0.012999999	-6.217800E+01
17	  0.013200000	-6.110000E-01	  0.013200000	-7.870100E+01	  0.013200000	4.368000E+00	  0.013200000	-6.078900E+01
18	  0.013400001	-6.110000E-01	  0.013400001	-7.998700E+01	  0.013400001	4.248000E+00	  0.013400001	-5.942200E+01
19	  0.013600000	-6.060000E-01	  0.013600000	-8.126400E+01	  0.013600000	4.106000E+00	  0.013600000	-5.810200E+01
20	  0.013800000	-6.040000E-01	  0.013800000	-8.256400E+01	  0.013800000	3.991000E+00	  0.013800000	-5.679100E+01
21	  0.014000000	-6.050000E-01	  0.014000000	-8.385200E+01	  0.014000000	3.898000E+00	  0.014000000	-5.552200E+01
22	  0.014200001	-6.070000E-01	  0.014200001	-8.517700E+01	  0.014200001	3.810000E+00	  0.014200001	-5.425000E+01
23	  0.014400000	-6.060000E-01	  0.014400000	-8.650100E+01	  0.014400000	3.713000E+00	  0.014400000	-5.301200E+01
24	  0.014599999	-6.100000E-01	  0.014599999	-8.781400E+01	  0.014599999	3.648000E+00	  0.014599999	-5.181100E+01
25	  0.014800000	-6.130000E-01	  0.014800000	-8.913700E+01	  0.014800000	3.582000E+00	  0.014800000	-5.063000E+01
26	  0.015000001	-6.150000E-01	  0.015000001	-9.049000E+01	  0.015000001	3.506000E+00	  0.015000001	-4.945000E+01
27	  0.015200000	-6.100000E-01	  0.015200000	-9.180800E+01	  0.015200000	3.403000E+00	  0.015200000	-4.833000E+01
28	  0.015400000	-6.120000E-01	  0.015400000	-9.314500E+01	  0.015400000	3.337000E+00	  0.015400000	-4.721600E+01
