! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/254.ns.sma.me2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 01:56:49 PM	12/20/2017 01:40:30 PM
! INTERNAL TEMP:    	47.0 C	46.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-6.140000E-01	  0.010000000	-5.890400E+01	  0.010000000	7.288000E+00	  0.010000000	-8.809000E+01
2	  0.010200000	-5.980000E-01	  0.010200000	-6.011600E+01	  0.010200000	6.841000E+00	  0.010200000	-8.599200E+01
3	  0.010400000	-6.030000E-01	  0.010400000	-6.141800E+01	  0.010400000	6.634000E+00	  0.010400000	-8.379100E+01
4	  0.010600000	-6.000000E-01	  0.010600000	-6.262600E+01	  0.010600000	6.373000E+00	  0.010600000	-8.183000E+01
5	  0.010800000	-6.040000E-01	  0.010800000	-6.392400E+01	  0.010800000	6.182000E+00	  0.010800000	-7.978900E+01
6	  0.011000001	-6.060000E-01	  0.011000001	-6.519400E+01	  0.011000001	5.992000E+00	  0.011000001	-7.786300E+01
7	  0.011200000	-6.030000E-01	  0.011200000	-6.646300E+01	  0.011200000	5.769000E+00	  0.011200000	-7.601000E+01
8	  0.011399999	-6.070000E-01	  0.011399999	-6.768900E+01	  0.011399999	5.623000E+00	  0.011399999	-7.426900E+01
9	  0.011600000	-6.050000E-01	  0.011600000	-6.893500E+01	  0.011600000	5.426000E+00	  0.011600000	-7.256200E+01
10	  0.011800000	-6.070000E-01	  0.011800000	-7.020200E+01	  0.011800000	5.268000E+00	  0.011800000	-7.087700E+01
11	  0.012000000	-6.080000E-01	  0.012000000	-7.145700E+01	  0.012000000	5.118000E+00	  0.012000000	-6.925900E+01
12	  0.012200000	-6.050000E-01	  0.012200000	-7.276200E+01	  0.012200000	4.938000E+00	  0.012200000	-6.763000E+01
13	  0.012400000	-6.010000E-01	  0.012400000	-7.402400E+01	  0.012400000	4.764000E+00	  0.012400000	-6.610400E+01
14	  0.012600001	-5.980000E-01	  0.012600001	-7.531000E+01	  0.012600001	4.605000E+00	  0.012600001	-6.459000E+01
15	  0.012800000	-5.990000E-01	  0.012800000	-7.656600E+01	  0.012800000	4.482000E+00	  0.012800000	-6.315200E+01
16	  0.012999999	-5.980000E-01	  0.012999999	-7.783100E+01	  0.012999999	4.359000E+00	  0.012999999	-6.174400E+01
17	  0.013200000	-5.950000E-01	  0.013200000	-7.912700E+01	  0.013200000	4.216000E+00	  0.013200000	-6.034200E+01
18	  0.013400001	-5.910000E-01	  0.013400001	-8.040400E+01	  0.013400001	4.077000E+00	  0.013400001	-5.899800E+01
19	  0.013600000	-5.890000E-01	  0.013600000	-8.168000E+01	  0.013600000	3.961000E+00	  0.013600000	-5.768800E+01
20	  0.013800000	-5.850000E-01	  0.013800000	-8.295500E+01	  0.013800000	3.835000E+00	  0.013800000	-5.641200E+01
21	  0.014000000	-5.880000E-01	  0.014000000	-8.426300E+01	  0.014000000	3.754000E+00	  0.014000000	-5.513300E+01
22	  0.014200001	-5.910000E-01	  0.014200001	-8.558300E+01	  0.014200001	3.684000E+00	  0.014200001	-5.387500E+01
23	  0.014400000	-5.900000E-01	  0.014400000	-8.689000E+01	  0.014400000	3.589000E+00	  0.014400000	-5.266000E+01
24	  0.014599999	-5.930000E-01	  0.014599999	-8.820600E+01	  0.014599999	3.523000E+00	  0.014599999	-5.146600E+01
25	  0.014800000	-6.000000E-01	  0.014800000	-8.955300E+01	  0.014800000	3.480000E+00	  0.014800000	-5.027000E+01
26	  0.015000001	-6.000000E-01	  0.015000001	-9.089000E+01	  0.015000001	3.398000E+00	  0.015000001	-4.911300E+01
27	  0.015200000	-6.020000E-01	  0.015200000	-9.223800E+01	  0.015200000	3.330000E+00	  0.015200000	-4.797200E+01
28	  0.015400000	-5.970000E-01	  0.015400000	-9.358100E+01	  0.015400000	3.234000E+00	  0.015400000	-4.686300E+01
29	  0.015600001	-5.990000E-01	  0.015600001	-9.488100E+01	  0.015600001	3.175000E+00	  0.015600001	-4.581100E+01
30	  0.015800001	-5.940000E-01	  0.015800001	-9.624700E+01	  0.015800001	3.082000E+00	  0.015800001	-4.473000E+01
31	  0.016000001	-5.940000E-01	  0.016000001	-9.760200E+01	  0.016000001	3.019000E+00	  0.016000001	-4.367900E+01
32	  0.016200000	-5.940000E-01	  0.016200000	-9.896000E+01	  0.016200000	2.956000E+00	  0.016200000	-4.264700E+01
33	  0.016400000	-5.940000E-01	  0.016400000	-1.003520E+02	  0.016400000	2.895000E+00	  0.016400000	-4.161000E+01
34	  0.016600000	-5.910000E-01	  0.016600000	-1.017410E+02	  0.016600000	2.826000E+00	  0.016600000	-4.059700E+01
35	  0.016799999	-5.860000E-01	  0.016799999	-1.031520E+02	  0.016799999	2.747000E+00	  0.016799999	-3.959000E+01
36	  0.016999999	-5.870000E-01	  0.016999999	-1.045610E+02	  0.016999999	2.699000E+00	  0.016999999	-3.860000E+01
37	  0.017200001	-5.850000E-01	  0.017200001	-1.059460E+02	  0.017200001	2.642000E+00	  0.017200001	-3.764700E+01
38	  0.017400000	-5.860000E-01	  0.017400000	-1.073190E+02	  0.017400000	2.597000E+00	  0.017400000	-3.671800E+01
39	  0.017600000	-5.930000E-01	  0.017600000	-1.086830E+02	  0.017600000	2.586000E+00	  0.017600000	-3.581000E+01
40	  0.017800000	-5.960000E-01	  0.017800000	-1.100680E+02	  0.017800000	2.554000E+00	  0.017800000	-3.490400E+01
41	  0.017999999	-5.980000E-01	  0.017999999	-1.114900E+02	  0.017999999	2.520000E+00	  0.017999999	-3.399000E+01
42	  0.018200001	-6.000000E-01	  0.018200001	-1.128980E+02	  0.018200001	2.488000E+00	  0.018200001	-3.310100E+01
43	  0.018400000	-6.000000E-01	  0.018400000	-1.143230E+02	  0.018400000	2.447000E+00	  0.018400000	-3.221500E+01
44	  0.018600000	-6.020000E-01	  0.018600000	-1.157120E+02	  0.018600000	2.417000E+00	  0.018600000	-3.136500E+01
45	  0.018800002	-6.040000E-01	  0.018800002	-1.171460E+02	  0.018800002	2.386000E+00	  0.018800002	-3.050100E+01
46	  0.019000001	-6.020000E-01	  0.019000001	-1.185690E+02	  0.019000001	2.342000E+00	  0.019000001	-2.965700E+01
47	  0.019200001	-6.050000E-01	  0.019200001	-1.200250E+02	  0.019200001	2.320000E+00	  0.019200001	-2.880600E+01
48	  0.019399999	-6.090000E-01	  0.019399999	-1.214540E+02	  0.019399999	2.304000E+00	  0.019399999	-2.798100E+01
49	  0.019599998	-6.080000E-01	  0.019599998	-1.229020E+02	  0.019599998	2.267000E+00	  0.019599998	-2.715900E+01
50	  0.019800000	-6.100000E-01	  0.019800000	-1.243740E+02	  0.019800000	2.244000E+00	  0.019800000	-2.633400E+01
51	  0.020000000	-6.050000E-01	  0.020000000	-1.257990E+02	  0.020000000	2.197000E+00	  0.020000000	-2.554700E+01
52	  0.020199999	-6.050000E-01	  0.020199999	-1.272580E+02	  0.020199999	2.169000E+00	  0.020199999	-2.475000E+01
53	  0.020400001	-6.050000E-01	  0.020400001	-1.286830E+02	  0.020400001	2.142000E+00	  0.020400001	-2.398200E+01
54	  0.020600000	-6.080000E-01	  0.020600000	-1.301560E+02	  0.020600000	2.128000E+00	  0.020600000	-2.319700E+01
55	  0.020800000	-6.120000E-01	  0.020800000	-1.316270E+02	  0.020800000	2.116000E+00	  0.020800000	-2.242300E+01
56	  0.021000000	-6.170000E-01	  0.021000000	-1.331490E+02	  0.021000000	2.110000E+00	  0.021000000	-2.163000E+01
57	  0.021199999	-6.230000E-01	  0.021199999	-1.346500E+02	  0.021199999	2.108000E+00	  0.021199999	-2.085700E+01
58	  0.021400001	-6.280000E-01	  0.021400001	-1.361570E+02	  0.021400001	2.101000E+00	  0.021400001	-2.009100E+01
