! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.n.r50.2_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 06:54:30 PM	12/17/2017 06:38:14 PM
! INTERNAL TEMP:    	42.8 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.483800E+01	  0.010000000	4.315500E+01	  0.010000000	5.041800E+01	  0.010000000	3.950000E-01
2	  0.010195807	-4.417200E+01	  0.010195807	4.342600E+01	  0.010195807	5.044900E+01	  0.010195807	4.290000E-01
3	  0.010391613	-4.382700E+01	  0.010391613	4.289200E+01	  0.010391613	5.047100E+01	  0.010391613	4.420000E-01
4	  0.010587418	-4.362400E+01	  0.010587418	4.576000E+01	  0.010587418	5.045900E+01	  0.010587418	4.760000E-01
5	  0.010783225	-4.352800E+01	  0.010783225	4.898600E+01	  0.010783225	5.043600E+01	  0.010783225	5.070000E-01
6	  0.010979031	-4.316500E+01	  0.010979031	4.760500E+01	  0.010979031	5.046700E+01	  0.010979031	5.170000E-01
7	  0.011174837	-4.275900E+01	  0.011174837	4.884400E+01	  0.011174837	5.047800E+01	  0.011174837	5.530000E-01
8	  0.011370643	-4.267500E+01	  0.011370643	4.914100E+01	  0.011370643	5.047900E+01	  0.011370643	5.610000E-01
9	  0.011566450	-4.242300E+01	  0.011566450	5.127700E+01	  0.011566450	5.047100E+01	  0.011566450	5.950000E-01
10	  0.011762256	-4.227000E+01	  0.011762256	5.347000E+01	  0.011762256	5.045600E+01	  0.011762256	6.240000E-01
11	  0.011958062	-4.228600E+01	  0.011958062	5.438200E+01	  0.011958062	5.044500E+01	  0.011958062	6.300000E-01
12	  0.012153869	-4.215400E+01	  0.012153869	5.502100E+01	  0.012153869	5.044500E+01	  0.012153869	6.450000E-01
13	  0.012349674	-4.219200E+01	  0.012349674	5.743900E+01	  0.012349674	5.041500E+01	  0.012349674	6.600000E-01
14	  0.012545481	-4.212600E+01	  0.012545481	5.767300E+01	  0.012545481	5.041500E+01	  0.012545481	6.670000E-01
15	  0.012741288	-4.216000E+01	  0.012741288	5.863300E+01	  0.012741288	5.040300E+01	  0.012741288	6.710000E-01
16	  0.012937094	-4.225500E+01	  0.012937094	5.966100E+01	  0.012937094	5.038600E+01	  0.012937094	6.700000E-01
