! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.sma.r20.1_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 05:52:28 PM	12/17/2017 05:44:58 PM
! INTERNAL TEMP:    	44.0 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.196000E+00	  0.010000000	1.678640E+02	  0.010000000	1.688000E+00	  0.010000000	3.378000E+00
2	  0.010195807	-7.181000E+00	  0.010195807	1.676780E+02	  0.010195807	1.767000E+00	  0.010195807	3.604000E+00
3	  0.010391613	-7.182000E+00	  0.010391613	1.674340E+02	  0.010391613	1.763000E+00	  0.010391613	3.665000E+00
4	  0.010587418	-7.183000E+00	  0.010587418	1.672140E+02	  0.010587418	1.750000E+00	  0.010587418	3.734000E+00
5	  0.010783225	-7.183000E+00	  0.010783225	1.669790E+02	  0.010783225	1.730000E+00	  0.010783225	3.797000E+00
6	  0.010979031	-7.179000E+00	  0.010979031	1.667360E+02	  0.010979031	1.731000E+00	  0.010979031	3.858000E+00
7	  0.011174837	-7.183000E+00	  0.011174837	1.664820E+02	  0.011174837	1.850000E+00	  0.011174837	4.094000E+00
8	  0.011370643	-7.181000E+00	  0.011370643	1.662740E+02	  0.011370643	1.863000E+00	  0.011370643	4.147000E+00
9	  0.011566450	-7.188000E+00	  0.011566450	1.660550E+02	  0.011566450	1.868000E+00	  0.011566450	4.199000E+00
10	  0.011762256	-7.189000E+00	  0.011762256	1.658270E+02	  0.011762256	1.877000E+00	  0.011762256	4.243000E+00
11	  0.011958062	-7.191000E+00	  0.011958062	1.655760E+02	  0.011958062	1.889000E+00	  0.011958062	4.289000E+00
12	  0.012153869	-7.195000E+00	  0.012153869	1.653170E+02	  0.012153869	2.026000E+00	  0.012153869	4.513000E+00
13	  0.012349674	-7.198000E+00	  0.012349674	1.651000E+02	  0.012349674	2.031000E+00	  0.012349674	4.558000E+00
14	  0.012545481	-7.193000E+00	  0.012545481	1.648340E+02	  0.012545481	2.040000E+00	  0.012545481	4.600000E+00
15	  0.012741288	-7.197000E+00	  0.012741288	1.645820E+02	  0.012741288	2.051000E+00	  0.012741288	4.638000E+00
16	  0.012937094	-7.199000E+00	  0.012937094	1.643820E+02	  0.012937094	2.061000E+00	  0.012937094	4.676000E+00
17	  0.013132900	-7.200000E+00	  0.013132900	1.641460E+02	  0.013132900	2.181000E+00	  0.013132900	4.890000E+00
18	  0.013328707	-7.202000E+00	  0.013328707	1.639070E+02	  0.013328707	2.159000E+00	  0.013328707	4.932000E+00
19	  0.013524513	-7.201000E+00	  0.013524513	1.637020E+02	  0.013524513	2.167000E+00	  0.013524513	4.969000E+00
20	  0.013720319	-7.202000E+00	  0.013720319	1.634760E+02	  0.013720319	2.170000E+00	  0.013720319	5.003000E+00
21	  0.013916126	-7.202000E+00	  0.013916126	1.632180E+02	  0.013916126	2.181000E+00	  0.013916126	5.044000E+00
22	  0.014111931	-7.201000E+00	  0.014111931	1.629920E+02	  0.014111931	2.304000E+00	  0.014111931	5.258000E+00
23	  0.014307737	-7.205000E+00	  0.014307737	1.627610E+02	  0.014307737	2.313000E+00	  0.014307737	5.297000E+00
24	  0.014503544	-7.204000E+00	  0.014503544	1.625380E+02	  0.014503544	2.317000E+00	  0.014503544	5.332000E+00
25	  0.014699350	-7.210000E+00	  0.014699350	1.623140E+02	  0.014699350	2.323000E+00	  0.014699350	5.367000E+00
26	  0.014895156	-7.209000E+00	  0.014895156	1.620510E+02	  0.014895156	2.327000E+00	  0.014895156	5.403000E+00
27	  0.015090963	-7.209000E+00	  0.015090963	1.618240E+02	  0.015090963	2.450000E+00	  0.015090963	5.619000E+00
28	  0.015286769	-7.214000E+00	  0.015286769	1.615910E+02	  0.015286769	2.449000E+00	  0.015286769	5.654000E+00
29	  0.015482575	-7.214000E+00	  0.015482575	1.613360E+02	  0.015482575	2.479000E+00	  0.015482575	5.669000E+00
30	  0.015678382	-7.213000E+00	  0.015678382	1.611270E+02	  0.015678382	2.477000E+00	  0.015678382	5.704000E+00
31	  0.015874187	-7.216000E+00	  0.015874187	1.608790E+02	  0.015874187	2.480000E+00	  0.015874187	5.738000E+00
32	  0.016069993	-7.220000E+00	  0.016069993	1.606510E+02	  0.016069993	2.593000E+00	  0.016069993	5.956000E+00
33	  0.016265800	-7.222000E+00	  0.016265800	1.604320E+02	  0.016265800	2.583000E+00	  0.016265800	5.995000E+00
34	  0.016461605	-7.219000E+00	  0.016461605	1.602070E+02	  0.016461605	2.577000E+00	  0.016461605	6.033000E+00
35	  0.016657412	-7.221000E+00	  0.016657412	1.599600E+02	  0.016657412	2.565000E+00	  0.016657412	6.073000E+00
36	  0.016853219	-7.222000E+00	  0.016853219	1.597610E+02	  0.016853219	2.554000E+00	  0.016853219	6.112000E+00
37	  0.017049024	-7.220000E+00	  0.017049024	1.595060E+02	  0.017049024	2.530000E+00	  0.017049024	6.150000E+00
38	  0.017244833	-7.219000E+00	  0.017244833	1.592620E+02	  0.017244833	2.625000E+00	  0.017244833	6.371000E+00
39	  0.017440638	-7.221000E+00	  0.017440638	1.590470E+02	  0.017440638	2.597000E+00	  0.017440638	6.410000E+00
40	  0.017636444	-7.226000E+00	  0.017636444	1.587940E+02	  0.017636444	2.562000E+00	  0.017636444	6.453000E+00
41	  0.017832249	-7.222000E+00	  0.017832249	1.585530E+02	  0.017832249	2.530000E+00	  0.017832249	6.496000E+00
42	  0.018028056	-7.222000E+00	  0.018028056	1.583450E+02	  0.018028056	2.493000E+00	  0.018028056	6.537000E+00
43	  0.018223861	-7.226000E+00	  0.018223861	1.580810E+02	  0.018223861	2.581000E+00	  0.018223861	6.765000E+00
44	  0.018419670	-7.223000E+00	  0.018419670	1.578570E+02	  0.018419670	2.542000E+00	  0.018419670	6.807000E+00
45	  0.018615475	-7.226000E+00	  0.018615475	1.576400E+02	  0.018615475	2.498000E+00	  0.018615475	6.853000E+00
46	  0.018811282	-7.225000E+00	  0.018811282	1.574150E+02	  0.018811282	2.471000E+00	  0.018811282	6.894000E+00
47	  0.019007087	-7.224000E+00	  0.019007087	1.571680E+02	  0.019007087	2.434000E+00	  0.019007087	6.930000E+00
48	  0.019202894	-7.224000E+00	  0.019202894	1.569510E+02	  0.019202894	2.524000E+00	  0.019202894	7.153000E+00
49	  0.019398699	-7.224000E+00	  0.019398699	1.566930E+02	  0.019398699	2.496000E+00	  0.019398699	7.193000E+00
50	  0.019594505	-7.228000E+00	  0.019594505	1.564920E+02	  0.019594505	2.479000E+00	  0.019594505	7.231000E+00
51	  0.019790314	-7.232000E+00	  0.019790314	1.562430E+02	  0.019790314	2.459000E+00	  0.019790314	7.264000E+00
52	  0.019986119	-7.231000E+00	  0.019986119	1.560420E+02	  0.019986119	2.445000E+00	  0.019986119	7.303000E+00
53	  0.020181926	-7.228000E+00	  0.020181926	1.558140E+02	  0.020181926	2.552000E+00	  0.020181926	7.514000E+00
54	  0.020377731	-7.224000E+00	  0.020377731	1.555520E+02	  0.020377731	2.534000E+00	  0.020377731	7.549000E+00
55	  0.020573538	-7.223000E+00	  0.020573538	1.553210E+02	  0.020573538	2.528000E+00	  0.020573538	7.584000E+00
56	  0.020769343	-7.222000E+00	  0.020769343	1.551000E+02	  0.020769343	2.506000E+00	  0.020769343	7.619000E+00
57	  0.020965151	-7.221000E+00	  0.020965151	1.548720E+02	  0.020965151	2.496000E+00	  0.020965151	7.650000E+00
58	  0.021160956	-7.220000E+00	  0.021160956	1.546090E+02	  0.021160956	2.607000E+00	  0.021160956	7.864000E+00
59	  0.021356763	-7.225000E+00	  0.021356763	1.543710E+02	  0.021356763	2.592000E+00	  0.021356763	7.895000E+00
