! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.sma.r200.v2_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 06:19:02 PM	12/17/2017 06:11:23 PM
! INTERNAL TEMP:    	43.8 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.554000E+00	  0.010000000	-1.072400E+01	  0.010000000	1.735100E+02	  0.010000000	-5.884500E+01
2	  0.010195807	-4.546000E+00	  0.010195807	-1.087900E+01	  0.010195807	1.731820E+02	  0.010195807	-5.968900E+01
3	  0.010391613	-4.543000E+00	  0.010391613	-1.111200E+01	  0.010391613	1.724210E+02	  0.010391613	-6.072800E+01
4	  0.010587418	-4.546000E+00	  0.010587418	-1.131500E+01	  0.010587418	1.715900E+02	  0.010587418	-6.147400E+01
5	  0.010783225	-4.549000E+00	  0.010783225	-1.152800E+01	  0.010783225	1.707130E+02	  0.010783225	-6.224900E+01
6	  0.010979031	-4.549000E+00	  0.010979031	-1.174900E+01	  0.010979031	1.698880E+02	  0.010979031	-6.311200E+01
7	  0.011174837	-4.547000E+00	  0.011174837	-1.195600E+01	  0.011174837	1.691670E+02	  0.011174837	-6.397800E+01
8	  0.011370643	-4.547000E+00	  0.011370643	-1.217200E+01	  0.011370643	1.683610E+02	  0.011370643	-6.481000E+01
9	  0.011566450	-4.552000E+00	  0.011566450	-1.239300E+01	  0.011566450	1.673850E+02	  0.011566450	-6.550500E+01
10	  0.011762256	-4.547000E+00	  0.011762256	-1.260200E+01	  0.011762256	1.666900E+02	  0.011762256	-6.638500E+01
11	  0.011958062	-4.547000E+00	  0.011958062	-1.281200E+01	  0.011958062	1.658850E+02	  0.011958062	-6.715500E+01
12	  0.012153869	-4.548000E+00	  0.012153869	-1.302500E+01	  0.012153869	1.650250E+02	  0.012153869	-6.787100E+01
13	  0.012349674	-4.549000E+00	  0.012349674	-1.324800E+01	  0.012349674	1.641480E+02	  0.012349674	-6.864500E+01
14	  0.012545481	-4.548000E+00	  0.012545481	-1.348400E+01	  0.012545481	1.632330E+02	  0.012545481	-6.947000E+01
15	  0.012741288	-4.548000E+00	  0.012741288	-1.368600E+01	  0.012741288	1.624210E+02	  0.012741288	-7.013200E+01
16	  0.012937094	-4.550000E+00	  0.012937094	-1.390600E+01	  0.012937094	1.615000E+02	  0.012937094	-7.079900E+01
17	  0.013132900	-4.553000E+00	  0.013132900	-1.410100E+01	  0.013132900	1.606620E+02	  0.013132900	-7.135500E+01
18	  0.013328707	-4.554000E+00	  0.013328707	-1.433200E+01	  0.013328707	1.597170E+02	  0.013328707	-7.205400E+01
19	  0.013524513	-4.552000E+00	  0.013524513	-1.453400E+01	  0.013524513	1.589470E+02	  0.013524513	-7.273200E+01
20	  0.013720319	-4.552000E+00	  0.013720319	-1.475200E+01	  0.013720319	1.580580E+02	  0.013720319	-7.338300E+01
21	  0.013916126	-4.554000E+00	  0.013916126	-1.495300E+01	  0.013916126	1.572120E+02	  0.013916126	-7.393300E+01
22	  0.014111931	-4.552000E+00	  0.014111931	-1.519100E+01	  0.014111931	1.562880E+02	  0.014111931	-7.468200E+01
23	  0.014307737	-4.554000E+00	  0.014307737	-1.541800E+01	  0.014307737	1.553080E+02	  0.014307737	-7.524200E+01
24	  0.014503544	-4.555000E+00	  0.014503544	-1.562900E+01	  0.014503544	1.544280E+02	  0.014503544	-7.580000E+01
25	  0.014699350	-4.556000E+00	  0.014699350	-1.586100E+01	  0.014699350	1.534740E+02	  0.014699350	-7.641000E+01
26	  0.014895156	-4.556000E+00	  0.014895156	-1.606000E+01	  0.014895156	1.526460E+02	  0.014895156	-7.691700E+01
27	  0.015090963	-4.555000E+00	  0.015090963	-1.627800E+01	  0.015090963	1.517700E+02	  0.015090963	-7.750200E+01
28	  0.015286769	-4.557000E+00	  0.015286769	-1.650100E+01	  0.015286769	1.508220E+02	  0.015286769	-7.800900E+01
29	  0.015482575	-4.558000E+00	  0.015482575	-1.673300E+01	  0.015482575	1.498650E+02	  0.015482575	-7.856700E+01
30	  0.015678382	-4.558000E+00	  0.015678382	-1.696300E+01	  0.015678382	1.489170E+02	  0.015678382	-7.911100E+01
31	  0.015874187	-4.560000E+00	  0.015874187	-1.716700E+01	  0.015874187	1.480520E+02	  0.015874187	-7.953400E+01
32	  0.016069993	-4.564000E+00	  0.016069993	-1.739100E+01	  0.016069993	1.470650E+02	  0.016069993	-7.991900E+01
33	  0.016265800	-4.563000E+00	  0.016265800	-1.758200E+01	  0.016265800	1.462910E+02	  0.016265800	-8.035300E+01
