! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.sma.r50.v2.2_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 06:30:23 PM	12/17/2017 06:11:23 PM
! INTERNAL TEMP:    	43.8 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.407400E+01	  0.010000000	6.119800E+01	  0.010000000	5.029900E+01	  0.010000000	5.510000E-01
2	  0.010195807	-4.378400E+01	  0.010195807	6.191600E+01	  0.010195807	5.030200E+01	  0.010195807	5.740000E-01
3	  0.010391613	-4.375800E+01	  0.010391613	6.268900E+01	  0.010391613	5.029500E+01	  0.010391613	5.790000E-01
4	  0.010587418	-4.367100E+01	  0.010587418	6.326100E+01	  0.010587418	5.029200E+01	  0.010587418	5.880000E-01
5	  0.010783225	-4.345600E+01	  0.010783225	6.265700E+01	  0.010783225	5.030500E+01	  0.010783225	6.000000E-01
6	  0.010979031	-4.315700E+01	  0.010979031	6.428500E+01	  0.010979031	5.029800E+01	  0.010979031	6.300000E-01
7	  0.011174837	-4.285700E+01	  0.011174837	6.494300E+01	  0.011174837	5.030100E+01	  0.011174837	6.550000E-01
8	  0.011370643	-4.277300E+01	  0.011370643	6.501700E+01	  0.011370643	5.030300E+01	  0.011370643	6.620000E-01
9	  0.011566450	-4.273300E+01	  0.011566450	6.474400E+01	  0.011566450	5.030800E+01	  0.011566450	6.640000E-01
10	  0.011762256	-4.273800E+01	  0.011762256	6.596900E+01	  0.011762256	5.029300E+01	  0.011762256	6.700000E-01
11	  0.011958062	-4.242600E+01	  0.011958062	6.622000E+01	  0.011958062	5.030100E+01	  0.011958062	6.960000E-01
12	  0.012153869	-4.242900E+01	  0.012153869	6.566600E+01	  0.012153869	5.030700E+01	  0.012153869	6.930000E-01
13	  0.012349674	-4.248700E+01	  0.012349674	6.721800E+01	  0.012349674	5.028600E+01	  0.012349674	6.960000E-01
14	  0.012545481	-4.234000E+01	  0.012545481	6.723000E+01	  0.012545481	5.029100E+01	  0.012545481	7.080000E-01
15	  0.012741288	-4.225900E+01	  0.012741288	6.802900E+01	  0.012741288	5.028400E+01	  0.012741288	7.190000E-01
16	  0.012937094	-4.234300E+01	  0.012937094	6.569200E+01	  0.012937094	5.031000E+01	  0.012937094	7.000000E-01
17	  0.013132900	-4.227700E+01	  0.013132900	6.755900E+01	  0.013132900	5.028900E+01	  0.013132900	7.150000E-01
18	  0.013328707	-4.226200E+01	  0.013328707	6.864900E+01	  0.013328707	5.027600E+01	  0.013328707	7.210000E-01
19	  0.013524513	-4.206000E+01	  0.013524513	6.911200E+01	  0.013524513	5.027600E+01	  0.013524513	7.410000E-01
20	  0.013720319	-4.223500E+01	  0.013720319	6.996700E+01	  0.013720319	5.026000E+01	  0.013720319	7.300000E-01
21	  0.013916126	-4.203000E+01	  0.013916126	6.993500E+01	  0.013916126	5.026600E+01	  0.013916126	7.470000E-01
22	  0.014111931	-4.227100E+01	  0.014111931	6.878300E+01	  0.014111931	5.027400E+01	  0.014111931	7.210000E-01
23	  0.014307737	-4.231800E+01	  0.014307737	6.937000E+01	  0.014307737	5.026500E+01	  0.014307737	7.200000E-01
24	  0.014503544	-4.230200E+01	  0.014503544	6.851300E+01	  0.014503544	5.027600E+01	  0.014503544	7.170000E-01
25	  0.014699350	-4.234200E+01	  0.014699350	6.888600E+01	  0.014699350	5.027000E+01	  0.014699350	7.160000E-01
26	  0.014895156	-4.222000E+01	  0.014895156	6.770900E+01	  0.014895156	5.028900E+01	  0.014895156	7.200000E-01
27	  0.015090963	-4.213800E+01	  0.015090963	6.629200E+01	  0.015090963	5.031000E+01	  0.015090963	7.200000E-01
28	  0.015286769	-4.204100E+01	  0.015286769	6.734300E+01	  0.015286769	5.030000E+01	  0.015286769	7.330000E-01
29	  0.015482575	-4.207100E+01	  0.015482575	6.634200E+01	  0.015482575	5.031100E+01	  0.015482575	7.260000E-01
30	  0.015678382	-4.220000E+01	  0.015678382	6.524600E+01	  0.015678382	5.032100E+01	  0.015678382	7.090000E-01
31	  0.015874187	-4.185100E+01	  0.015874187	6.480200E+01	  0.015874187	5.033900E+01	  0.015874187	7.360000E-01
32	  0.016069993	-4.194800E+01	  0.016069993	6.574400E+01	  0.016069993	5.032300E+01	  0.016069993	7.330000E-01
33	  0.016265800	-4.169000E+01	  0.016265800	6.487700E+01	  0.016265800	5.034500E+01	  0.016265800	7.500000E-01
34	  0.016461605	-4.182800E+01	  0.016461605	6.387500E+01	  0.016461605	5.035200E+01	  0.016461605	7.320000E-01
35	  0.016657412	-4.153700E+01	  0.016657412	6.280400E+01	  0.016657412	5.037800E+01	  0.016657412	7.500000E-01
36	  0.016853219	-4.153900E+01	  0.016853219	6.313500E+01	  0.016853219	5.037400E+01	  0.016853219	7.520000E-01
37	  0.017049024	-4.138000E+01	  0.017049024	6.293600E+01	  0.017049024	5.038300E+01	  0.017049024	7.650000E-01
38	  0.017244833	-4.128200E+01	  0.017244833	6.216400E+01	  0.017244833	5.039800E+01	  0.017244833	7.690000E-01
39	  0.017440638	-4.115900E+01	  0.017440638	6.273800E+01	  0.017440638	5.039600E+01	  0.017440638	7.840000E-01
40	  0.017636444	-4.100200E+01	  0.017636444	6.254400E+01	  0.017636444	5.040600E+01	  0.017636444	7.970000E-01
41	  0.017832249	-4.079100E+01	  0.017832249	6.307000E+01	  0.017832249	5.040800E+01	  0.017832249	8.200000E-01
42	  0.018028056	-4.070300E+01	  0.018028056	6.206100E+01	  0.018028056	5.042700E+01	  0.018028056	8.210000E-01
43	  0.018223861	-4.042500E+01	  0.018223861	6.406600E+01	  0.018223861	5.041000E+01	  0.018223861	8.630000E-01
44	  0.018419670	-4.046500E+01	  0.018419670	6.399300E+01	  0.018419670	5.040900E+01	  0.018419670	8.580000E-01
45	  0.018615475	-4.034300E+01	  0.018615475	6.423100E+01	  0.018615475	5.041200E+01	  0.018615475	8.720000E-01
46	  0.018811282	-4.033900E+01	  0.018811282	6.466100E+01	  0.018811282	5.040500E+01	  0.018811282	8.760000E-01
47	  0.019007087	-4.030900E+01	  0.019007087	6.472900E+01	  0.019007087	5.040500E+01	  0.019007087	8.790000E-01
48	  0.019202894	-4.024500E+01	  0.019202894	6.564300E+01	  0.019202894	5.039400E+01	  0.019202894	8.920000E-01
49	  0.019398699	-4.014600E+01	  0.019398699	6.479800E+01	  0.019398699	5.041200E+01	  0.019398699	8.970000E-01
50	  0.019594505	-4.026700E+01	  0.019594505	6.524300E+01	  0.019594505	5.039900E+01	  0.019594505	8.870000E-01
51	  0.019790314	-4.015100E+01	  0.019790314	6.632500E+01	  0.019790314	5.038700E+01	  0.019790314	9.070000E-01
