! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.sma.v2_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 06:22:23 PM	12/17/2017 06:11:23 PM
! INTERNAL TEMP:    	43.8 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-6.960000E-01	  0.010000000	-5.839100E+01	  0.010000000	8.375000E+00	  0.010000000	-8.887800E+01
2	  0.010195807	-6.900000E-01	  0.010195807	-5.955000E+01	  0.010195807	8.013000E+00	  0.010195807	-8.683600E+01
3	  0.010391613	-6.920000E-01	  0.010391613	-6.077400E+01	  0.010391613	7.750000E+00	  0.010391613	-8.473900E+01
4	  0.010587418	-6.990000E-01	  0.010587418	-6.200200E+01	  0.010587418	7.550000E+00	  0.010587418	-8.270300E+01
5	  0.010783225	-7.050000E-01	  0.010783225	-6.322900E+01	  0.010783225	7.350000E+00	  0.010783225	-8.074300E+01
6	  0.010979031	-7.110000E-01	  0.010979031	-6.446600E+01	  0.010979031	7.165000E+00	  0.010979031	-7.883100E+01
7	  0.011174837	-7.170000E-01	  0.011174837	-6.569800E+01	  0.011174837	6.984000E+00	  0.011174837	-7.699200E+01
8	  0.011370643	-7.220000E-01	  0.011370643	-6.693100E+01	  0.011370643	6.811000E+00	  0.011370643	-7.521100E+01
9	  0.011566450	-7.280000E-01	  0.011566450	-6.812300E+01	  0.011566450	6.651000E+00	  0.011566450	-7.354300E+01
10	  0.011762256	-7.350000E-01	  0.011762256	-6.935800E+01	  0.011762256	6.513000E+00	  0.011762256	-7.186600E+01
11	  0.011958062	-7.440000E-01	  0.011958062	-7.059900E+01	  0.011958062	6.393000E+00	  0.011958062	-7.023100E+01
12	  0.012153869	-7.500000E-01	  0.012153869	-7.182400E+01	  0.012153869	6.253000E+00	  0.012153869	-6.866800E+01
13	  0.012349674	-7.540000E-01	  0.012349674	-7.309200E+01	  0.012349674	6.103000E+00	  0.012349674	-6.709900E+01
14	  0.012545481	-7.560000E-01	  0.012545481	-7.434300E+01	  0.012545481	5.940000E+00	  0.012545481	-6.559800E+01
15	  0.012741288	-7.630000E-01	  0.012741288	-7.557100E+01	  0.012741288	5.830000E+00	  0.012741288	-6.416200E+01
16	  0.012937094	-7.670000E-01	  0.012937094	-7.680800E+01	  0.012937094	5.701000E+00	  0.012937094	-6.275600E+01
