! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.sma_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 06:00:10 PM	12/17/2017 05:44:58 PM
! INTERNAL TEMP:    	44.0 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.340000E-01	  0.010000000	-5.835400E+01	  0.010000000	1.697000E+00	  0.010000000	3.369000E+00
2	  0.010195807	-7.230000E-01	  0.010195807	-5.951200E+01	  0.010195807	1.775000E+00	  0.010195807	3.593000E+00
3	  0.010391613	-7.310000E-01	  0.010391613	-6.071700E+01	  0.010391613	1.775000E+00	  0.010391613	3.658000E+00
4	  0.010587418	-7.420000E-01	  0.010587418	-6.195100E+01	  0.010587418	1.762000E+00	  0.010587418	3.731000E+00
5	  0.010783225	-7.510000E-01	  0.010783225	-6.319000E+01	  0.010783225	1.747000E+00	  0.010783225	3.793000E+00
6	  0.010979031	-7.570000E-01	  0.010979031	-6.442200E+01	  0.010979031	1.743000E+00	  0.010979031	3.850000E+00
7	  0.011174837	-7.620000E-01	  0.011174837	-6.564200E+01	  0.011174837	1.858000E+00	  0.011174837	4.090000E+00
8	  0.011370643	-7.680000E-01	  0.011370643	-6.689100E+01	  0.011370643	1.874000E+00	  0.011370643	4.136000E+00
9	  0.011566450	-7.790000E-01	  0.011566450	-6.807900E+01	  0.011566450	1.874000E+00	  0.011566450	4.192000E+00
10	  0.011762256	-7.870000E-01	  0.011762256	-6.930400E+01	  0.011762256	1.895000E+00	  0.011762256	4.237000E+00
11	  0.011958062	-7.970000E-01	  0.011958062	-7.052500E+01	  0.011958062	1.909000E+00	  0.011958062	4.278000E+00
12	  0.012153869	-8.060000E-01	  0.012153869	-7.177700E+01	  0.012153869	2.032000E+00	  0.012153869	4.502000E+00
13	  0.012349674	-8.090000E-01	  0.012349674	-7.300100E+01	  0.012349674	2.043000E+00	  0.012349674	4.548000E+00
14	  0.012545481	-8.180000E-01	  0.012545481	-7.427400E+01	  0.012545481	2.051000E+00	  0.012545481	4.588000E+00
15	  0.012741288	-8.270000E-01	  0.012741288	-7.550000E+01	  0.012741288	2.061000E+00	  0.012741288	4.634000E+00
16	  0.012937094	-8.330000E-01	  0.012937094	-7.673200E+01	  0.012937094	2.072000E+00	  0.012937094	4.665000E+00
