! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ns.sma.me.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 07:09:13 PM	12/19/2017 06:59:48 PM
! INTERNAL TEMP:    	39.8 C	39.3 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-5.790000E-01	  0.010000000	-5.890600E+01	  0.010000000	6.869000E+00	  0.010000000	-8.813600E+01
2	  0.010200000	-5.640000E-01	  0.010200000	-6.008500E+01	  0.010200000	6.464000E+00	  0.010200000	-8.608900E+01
3	  0.010400000	-5.700000E-01	  0.010400000	-6.133500E+01	  0.010400000	6.286000E+00	  0.010400000	-8.396900E+01
4	  0.010600000	-5.700000E-01	  0.010600000	-6.259500E+01	  0.010600000	6.060000E+00	  0.010600000	-8.191400E+01
5	  0.010800000	-5.760000E-01	  0.010800000	-6.385800E+01	  0.010800000	5.912000E+00	  0.010800000	-7.992200E+01
6	  0.011000001	-5.710000E-01	  0.011000001	-6.513600E+01	  0.011000001	5.658000E+00	  0.011000001	-7.798700E+01
7	  0.011200000	-5.770000E-01	  0.011200000	-6.636400E+01	  0.011200000	5.529000E+00	  0.011200000	-7.617800E+01
8	  0.011399999	-5.760000E-01	  0.011399999	-6.763700E+01	  0.011399999	5.342000E+00	  0.011399999	-7.437100E+01
9	  0.011600000	-5.790000E-01	  0.011600000	-6.888100E+01	  0.011600000	5.196000E+00	  0.011600000	-7.265900E+01
10	  0.011800000	-5.810000E-01	  0.011800000	-7.011100E+01	  0.011800000	5.064000E+00	  0.011800000	-7.101700E+01
11	  0.012000000	-5.880000E-01	  0.012000000	-7.139100E+01	  0.012000000	4.962000E+00	  0.012000000	-6.935900E+01
12	  0.012200000	-5.880000E-01	  0.012200000	-7.267100E+01	  0.012200000	4.812000E+00	  0.012200000	-6.775500E+01
13	  0.012400000	-5.880000E-01	  0.012400000	-7.394300E+01	  0.012400000	4.674000E+00	  0.012400000	-6.621000E+01
14	  0.012600001	-5.880000E-01	  0.012600001	-7.522800E+01	  0.012600001	4.538000E+00	  0.012600001	-6.469200E+01
15	  0.012800000	-5.890000E-01	  0.012800000	-7.650000E+01	  0.012800000	4.416000E+00	  0.012800000	-6.323400E+01
16	  0.012999999	-5.940000E-01	  0.012999999	-7.776200E+01	  0.012999999	4.331000E+00	  0.012999999	-6.182300E+01
17	  0.013200000	-5.880000E-01	  0.013200000	-7.904700E+01	  0.013200000	4.175000E+00	  0.013200000	-6.043200E+01
18	  0.013400001	-5.900000E-01	  0.013400001	-8.031800E+01	  0.013400001	4.075000E+00	  0.013400001	-5.908800E+01
19	  0.013600000	-5.860000E-01	  0.013600000	-8.159000E+01	  0.013600000	3.949000E+00	  0.013600000	-5.778000E+01
20	  0.013800000	-5.900000E-01	  0.013800000	-8.288800E+01	  0.013800000	3.874000E+00	  0.013800000	-5.647600E+01
21	  0.014000000	-5.940000E-01	  0.014000000	-8.414500E+01	  0.014000000	3.806000E+00	  0.014000000	-5.524400E+01
22	  0.014200001	-5.970000E-01	  0.014200001	-8.544800E+01	  0.014200001	3.726000E+00	  0.014200001	-5.399900E+01
23	  0.014400000	-6.000000E-01	  0.014400000	-8.674000E+01	  0.014400000	3.656000E+00	  0.014400000	-5.279500E+01
24	  0.014599999	-6.030000E-01	  0.014599999	-8.805700E+01	  0.014599999	3.592000E+00	  0.014599999	-5.159500E+01
25	  0.014800000	-6.110000E-01	  0.014800000	-8.936900E+01	  0.014800000	3.551000E+00	  0.014800000	-5.042600E+01
