! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ew.sma.r20.22.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 02:49:49 PM	12/19/2017 02:22:10 PM
! INTERNAL TEMP:    	46.3 C	45.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.228000E+00	  0.010000000	1.678280E+02	  0.010000000	1.987100E+01	  0.010000000	4.496000E+00
2	  0.010200000	-7.214000E+00	  0.010200000	1.676480E+02	  0.010200000	1.984100E+01	  0.010200000	4.566000E+00
3	  0.010400000	-7.212000E+00	  0.010400000	1.674150E+02	  0.010400000	1.984400E+01	  0.010400000	4.653000E+00
4	  0.010600000	-7.216000E+00	  0.010600000	1.671870E+02	  0.010600000	1.986200E+01	  0.010600000	4.737000E+00
5	  0.010800000	-7.215000E+00	  0.010800000	1.669450E+02	  0.010800000	1.986600E+01	  0.010800000	4.827000E+00
6	  0.011000001	-7.216000E+00	  0.011000001	1.666800E+02	  0.011000001	1.988000E+01	  0.011000001	4.925000E+00
7	  0.011200000	-7.217000E+00	  0.011200000	1.664820E+02	  0.011200000	1.988700E+01	  0.011200000	4.998000E+00
8	  0.011399999	-7.219000E+00	  0.011399999	1.662270E+02	  0.011399999	1.990300E+01	  0.011399999	5.093000E+00
9	  0.011600000	-7.223000E+00	  0.011600000	1.660440E+02	  0.011600000	1.991900E+01	  0.011600000	5.160000E+00
10	  0.011800000	-7.222000E+00	  0.011800000	1.658190E+02	  0.011800000	1.992400E+01	  0.011800000	5.244000E+00
11	  0.012000000	-7.227000E+00	  0.012000000	1.655450E+02	  0.012000000	1.994600E+01	  0.012000000	5.344000E+00
12	  0.012200000	-7.230000E+00	  0.012200000	1.653130E+02	  0.012200000	1.996100E+01	  0.012200000	5.430000E+00
13	  0.012400000	-7.231000E+00	  0.012400000	1.650720E+02	  0.012400000	1.997400E+01	  0.012400000	5.519000E+00
14	  0.012600001	-7.232000E+00	  0.012600001	1.648070E+02	  0.012600001	1.998600E+01	  0.012600001	5.618000E+00
15	  0.012800000	-7.237000E+00	  0.012800000	1.645730E+02	  0.012800000	2.000800E+01	  0.012800000	5.704000E+00
16	  0.012999999	-7.239000E+00	  0.012999999	1.643720E+02	  0.012999999	2.002100E+01	  0.012999999	5.778000E+00
17	  0.013200000	-7.245000E+00	  0.013200000	1.641030E+02	  0.013200000	2.004700E+01	  0.013200000	5.876000E+00
18	  0.013400001	-7.247000E+00	  0.013400001	1.638400E+02	  0.013400001	2.006100E+01	  0.013400001	5.974000E+00
19	  0.013600000	-7.245000E+00	  0.013600000	1.636390E+02	  0.013600000	2.006500E+01	  0.013600000	6.049000E+00
20	  0.013800000	-7.242000E+00	  0.013800000	1.633620E+02	  0.013800000	2.007100E+01	  0.013800000	6.153000E+00
