! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ew.n.me.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 03:04:53 PM	12/19/2017 02:53:44 PM
! INTERNAL TEMP:    	46.8 C	46.3 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-5.940000E-01	  0.010000000	-5.969600E+01	  0.010000000	6.884000E+00	  0.010000000	-8.672400E+01
2	  0.010200000	-5.800000E-01	  0.010200000	-6.091700E+01	  0.010200000	6.481000E+00	  0.010200000	-8.465400E+01
3	  0.010400000	-5.830000E-01	  0.010400000	-6.221000E+01	  0.010400000	6.273000E+00	  0.010400000	-8.251900E+01
4	  0.010600000	-5.840000E-01	  0.010600000	-6.343500E+01	  0.010600000	6.071000E+00	  0.010600000	-8.057000E+01
5	  0.010800000	-5.830000E-01	  0.010800000	-6.478400E+01	  0.010800000	5.831000E+00	  0.010800000	-7.850300E+01
6	  0.011000001	-5.860000E-01	  0.011000001	-6.603800E+01	  0.011000001	5.671000E+00	  0.011000001	-7.664100E+01
7	  0.011200000	-5.820000E-01	  0.011200000	-6.735500E+01	  0.011200000	5.435000E+00	  0.011200000	-7.476100E+01
8	  0.011399999	-5.860000E-01	  0.011399999	-6.860900E+01	  0.011399999	5.300000E+00	  0.011399999	-7.302100E+01
9	  0.011600000	-5.910000E-01	  0.011600000	-6.989000E+01	  0.011600000	5.172000E+00	  0.011600000	-7.130000E+01
10	  0.011800000	-5.900000E-01	  0.011800000	-7.114500E+01	  0.011800000	5.005000E+00	  0.011800000	-6.967100E+01
11	  0.012000000	-5.860000E-01	  0.012000000	-7.244400E+01	  0.012000000	4.819000E+00	  0.012000000	-6.803900E+01
12	  0.012200000	-5.840000E-01	  0.012200000	-7.374800E+01	  0.012200000	4.662000E+00	  0.012200000	-6.644600E+01
13	  0.012400000	-5.820000E-01	  0.012400000	-7.505000E+01	  0.012400000	4.509000E+00	  0.012400000	-6.490400E+01
14	  0.012600001	-5.790000E-01	  0.012600001	-7.634700E+01	  0.012600001	4.354000E+00	  0.012600001	-6.341300E+01
15	  0.012800000	-5.780000E-01	  0.012800000	-7.764200E+01	  0.012800000	4.227000E+00	  0.012800000	-6.196500E+01
16	  0.012999999	-5.770000E-01	  0.012999999	-7.894400E+01	  0.012999999	4.106000E+00	  0.012999999	-6.054800E+01
17	  0.013200000	-5.770000E-01	  0.013200000	-8.026200E+01	  0.013200000	3.996000E+00	  0.013200000	-5.915300E+01
18	  0.013400001	-5.740000E-01	  0.013400001	-8.157000E+01	  0.013400001	3.865000E+00	  0.013400001	-5.780800E+01
19	  0.013600000	-5.720000E-01	  0.013600000	-8.284100E+01	  0.013600000	3.758000E+00	  0.013600000	-5.653100E+01
20	  0.013800000	-5.690000E-01	  0.013800000	-8.415600E+01	  0.013800000	3.645000E+00	  0.013800000	-5.524500E+01
21	  0.014000000	-5.690000E-01	  0.014000000	-8.548300E+01	  0.014000000	3.553000E+00	  0.014000000	-5.397800E+01
22	  0.014200001	-5.710000E-01	  0.014200001	-8.680400E+01	  0.014200001	3.480000E+00	  0.014200001	-5.274800E+01
23	  0.014400000	-5.710000E-01	  0.014400000	-8.816800E+01	  0.014400000	3.396000E+00	  0.014400000	-5.150900E+01
24	  0.014599999	-5.770000E-01	  0.014599999	-8.948900E+01	  0.014599999	3.350000E+00	  0.014599999	-5.033500E+01
25	  0.014800000	-5.790000E-01	  0.014800000	-9.084100E+01	  0.014800000	3.284000E+00	  0.014800000	-4.916200E+01
26	  0.015000001	-5.820000E-01	  0.015000001	-9.219600E+01	  0.015000001	3.223000E+00	  0.015000001	-4.801400E+01
27	  0.015200000	-5.790000E-01	  0.015200000	-9.355900E+01	  0.015200000	3.138000E+00	  0.015200000	-4.688700E+01
28	  0.015400000	-5.780000E-01	  0.015400000	-9.491400E+01	  0.015400000	3.062000E+00	  0.015400000	-4.579100E+01
29	  0.015600001	-5.700000E-01	  0.015600001	-9.634500E+01	  0.015600001	2.953000E+00	  0.015600001	-4.466000E+01
30	  0.015800001	-5.770000E-01	  0.015800001	-9.759800E+01	  0.015800001	2.932000E+00	  0.015800001	-4.368700E+01
31	  0.016000001	-5.740000E-01	  0.016000001	-9.896600E+01	  0.016000001	2.857000E+00	  0.016000001	-4.264800E+01
32	  0.016200000	-5.740000E-01	  0.016200000	-1.003190E+02	  0.016200000	2.799000E+00	  0.016200000	-4.164000E+01
33	  0.016400000	-5.720000E-01	  0.016400000	-1.017280E+02	  0.016400000	2.738000E+00	  0.016400000	-4.061100E+01
34	  0.016600000	-5.730000E-01	  0.016600000	-1.031200E+02	  0.016600000	2.687000E+00	  0.016600000	-3.961500E+01
35	  0.016799999	-5.670000E-01	  0.016799999	-1.045300E+02	  0.016799999	2.606000E+00	  0.016799999	-3.862600E+01
