! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ew.n.r20.21.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 03:07:08 PM	12/19/2017 02:53:44 PM
! INTERNAL TEMP:    	46.8 C	46.3 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.219000E+00	  0.010000000	1.671280E+02	  0.010000000	1.987100E+01	  0.010000000	4.758000E+00
2	  0.010200000	-7.206000E+00	  0.010200000	1.669190E+02	  0.010200000	1.984600E+01	  0.010200000	4.839000E+00
3	  0.010400000	-7.205000E+00	  0.010400000	1.666850E+02	  0.010400000	1.985300E+01	  0.010400000	4.926000E+00
4	  0.010600000	-7.212000E+00	  0.010600000	1.664270E+02	  0.010600000	1.987800E+01	  0.010600000	5.020000E+00
5	  0.010800000	-7.212000E+00	  0.010800000	1.662080E+02	  0.010800000	1.988500E+01	  0.010800000	5.102000E+00
6	  0.011000001	-7.218000E+00	  0.011000001	1.658910E+02	  0.011000001	1.991100E+01	  0.011000001	5.218000E+00
7	  0.011200000	-7.214000E+00	  0.011200000	1.656780E+02	  0.011200000	1.991000E+01	  0.011200000	5.298000E+00
8	  0.011399999	-7.215000E+00	  0.011399999	1.654020E+02	  0.011399999	1.992200E+01	  0.011399999	5.401000E+00
9	  0.011600000	-7.219000E+00	  0.011600000	1.651550E+02	  0.011600000	1.994000E+01	  0.011600000	5.492000E+00
10	  0.011800000	-7.219000E+00	  0.011800000	1.648940E+02	  0.011800000	1.995100E+01	  0.011800000	5.589000E+00
11	  0.012000000	-7.222000E+00	  0.012000000	1.646580E+02	  0.012000000	1.996700E+01	  0.012000000	5.676000E+00
12	  0.012200000	-7.225000E+00	  0.012200000	1.644080E+02	  0.012200000	1.998400E+01	  0.012200000	5.768000E+00
13	  0.012400000	-7.224000E+00	  0.012400000	1.641430E+02	  0.012400000	1.999300E+01	  0.012400000	5.867000E+00
14	  0.012600001	-7.226000E+00	  0.012600001	1.638780E+02	  0.012600001	2.000900E+01	  0.012600001	5.965000E+00
15	  0.012800000	-7.228000E+00	  0.012800000	1.636240E+02	  0.012800000	2.002500E+01	  0.012800000	6.059000E+00
16	  0.012999999	-7.235000E+00	  0.012999999	1.633770E+02	  0.012999999	2.005300E+01	  0.012999999	6.150000E+00
17	  0.013200000	-7.235000E+00	  0.013200000	1.631070E+02	  0.013200000	2.006400E+01	  0.013200000	6.250000E+00
18	  0.013400001	-7.238000E+00	  0.013400001	1.628700E+02	  0.013400001	2.008300E+01	  0.013400001	6.338000E+00
19	  0.013600000	-7.236000E+00	  0.013600000	1.626030E+02	  0.013600000	2.008800E+01	  0.013600000	6.438000E+00
20	  0.013800000	-7.230000E+00	  0.013800000	1.623680E+02	  0.013800000	2.008600E+01	  0.013800000	6.527000E+00
21	  0.014000000	-7.233000E+00	  0.014000000	1.620990E+02	  0.014000000	2.010600E+01	  0.014000000	6.627000E+00
22	  0.014200001	-7.235000E+00	  0.014200001	1.618350E+02	  0.014200001	2.012300E+01	  0.014200001	6.725000E+00
23	  0.014400000	-7.238000E+00	  0.014400000	1.615920E+02	  0.014400000	2.014200E+01	  0.014400000	6.815000E+00
24	  0.014599999	-7.235000E+00	  0.014599999	1.613320E+02	  0.014599999	2.014700E+01	  0.014599999	6.913000E+00
25	  0.014800000	-7.240000E+00	  0.014800000	1.610590E+02	  0.014800000	2.017200E+01	  0.014800000	7.014000E+00
26	  0.015000001	-7.243000E+00	  0.015000001	1.607930E+02	  0.015000001	2.019300E+01	  0.015000001	7.112000E+00
27	  0.015200000	-7.246000E+00	  0.015200000	1.605460E+02	  0.015200000	2.021200E+01	  0.015200000	7.203000E+00
28	  0.015400000	-7.249000E+00	  0.015400000	1.602890E+02	  0.015400000	2.023200E+01	  0.015400000	7.299000E+00
29	  0.015600001	-7.253000E+00	  0.015600001	1.599410E+02	  0.015600001	2.026000E+01	  0.015600001	7.427000E+00
30	  0.015800001	-7.250000E+00	  0.015800001	1.597700E+02	  0.015800001	2.026200E+01	  0.015800001	7.493000E+00
31	  0.016000001	-7.251000E+00	  0.016000001	1.595110E+02	  0.016000001	2.028000E+01	  0.016000001	7.589000E+00
32	  0.016200000	-7.253000E+00	  0.016200000	1.592620E+02	  0.016200000	2.029700E+01	  0.016200000	7.682000E+00
33	  0.016400000	-7.254000E+00	  0.016400000	1.590280E+02	  0.016400000	2.031400E+01	  0.016400000	7.769000E+00
34	  0.016600000	-7.251000E+00	  0.016600000	1.587470E+02	  0.016600000	2.032100E+01	  0.016600000	7.875000E+00
35	  0.016799999	-7.255000E+00	  0.016799999	1.585420E+02	  0.016799999	2.034200E+01	  0.016799999	7.951000E+00
36	  0.016999999	-7.255000E+00	  0.016999999	1.582480E+02	  0.016999999	2.035800E+01	  0.016999999	8.061000E+00
37	  0.017200001	-7.250000E+00	  0.017200001	1.580000E+02	  0.017200001	2.036000E+01	  0.017200001	8.156000E+00
38	  0.017400000	-7.253000E+00	  0.017400000	1.577440E+02	  0.017400000	2.038200E+01	  0.017400000	8.251000E+00
39	  0.017600000	-7.254000E+00	  0.017600000	1.575070E+02	  0.017600000	2.040000E+01	  0.017600000	8.340000E+00
40	  0.017800000	-7.258000E+00	  0.017800000	1.572160E+02	  0.017800000	2.042800E+01	  0.017800000	8.448000E+00
41	  0.017999999	-7.253000E+00	  0.017999999	1.569860E+02	  0.017999999	2.042800E+01	  0.017999999	8.536000E+00
42	  0.018200001	-7.256000E+00	  0.018200001	1.567310E+02	  0.018200001	2.045200E+01	  0.018200001	8.631000E+00
43	  0.018400000	-7.258000E+00	  0.018400000	1.564940E+02	  0.018400000	2.047200E+01	  0.018400000	8.719000E+00
44	  0.018600000	-7.258000E+00	  0.018600000	1.562430E+02	  0.018600000	2.048800E+01	  0.018600000	8.813000E+00
45	  0.018800002	-7.263000E+00	  0.018800002	1.560060E+02	  0.018800002	2.051300E+01	  0.018800002	8.901000E+00
46	  0.019000001	-7.263000E+00	  0.019000001	1.557630E+02	  0.019000001	2.053000E+01	  0.019000001	8.993000E+00
47	  0.019200001	-7.263000E+00	  0.019200001	1.555070E+02	  0.019200001	2.054700E+01	  0.019200001	9.089000E+00
48	  0.019399999	-7.265000E+00	  0.019399999	1.552610E+02	  0.019399999	2.056800E+01	  0.019399999	9.181000E+00
49	  0.019599998	-7.268000E+00	  0.019599998	1.550100E+02	  0.019599998	2.059300E+01	  0.019599998	9.274000E+00
50	  0.019800000	-7.269000E+00	  0.019800000	1.547680E+02	  0.019800000	2.061000E+01	  0.019800000	9.365000E+00
