! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ns.n.me.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 04:10:26 PM	12/19/2017 03:58:02 PM
! INTERNAL TEMP:    	46.5 C	47.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-5.640000E-01	  0.010000000	-5.981700E+01	  0.010000000	6.512000E+00	  0.010000000	-8.655300E+01
2	  0.010200000	-5.490000E-01	  0.010200000	-6.103600E+01	  0.010200000	6.109000E+00	  0.010200000	-8.449300E+01
3	  0.010400000	-5.450000E-01	  0.010400000	-6.226500E+01	  0.010400000	5.853000E+00	  0.010400000	-8.247400E+01
4	  0.010600000	-5.500000E-01	  0.010600000	-6.359000E+01	  0.010600000	5.695000E+00	  0.010600000	-8.036600E+01
5	  0.010800000	-5.510000E-01	  0.010800000	-6.487400E+01	  0.010800000	5.505000E+00	  0.010800000	-7.839900E+01
6	  0.011000001	-5.540000E-01	  0.011000001	-6.615100E+01	  0.011000001	5.345000E+00	  0.011000001	-7.650800E+01
7	  0.011200000	-5.570000E-01	  0.011200000	-6.744800E+01	  0.011200000	5.188000E+00	  0.011200000	-7.465300E+01
8	  0.011399999	-5.560000E-01	  0.011399999	-6.871600E+01	  0.011399999	5.017000E+00	  0.011399999	-7.290100E+01
9	  0.011600000	-5.580000E-01	  0.011600000	-6.996700E+01	  0.011600000	4.874000E+00	  0.011600000	-7.122700E+01
10	  0.011800000	-5.590000E-01	  0.011800000	-7.127300E+01	  0.011800000	4.730000E+00	  0.011800000	-6.953200E+01
11	  0.012000000	-5.650000E-01	  0.012000000	-7.253800E+01	  0.012000000	4.639000E+00	  0.012000000	-6.793700E+01
12	  0.012200000	-5.590000E-01	  0.012200000	-7.386000E+01	  0.012200000	4.452000E+00	  0.012200000	-6.633000E+01
13	  0.012400000	-5.580000E-01	  0.012400000	-7.515500E+01	  0.012400000	4.314000E+00	  0.012400000	-6.479800E+01
14	  0.012600001	-5.560000E-01	  0.012600001	-7.648100E+01	  0.012600001	4.170000E+00	  0.012600001	-6.327600E+01
15	  0.012800000	-5.550000E-01	  0.012800000	-7.775300E+01	  0.012800000	4.049000E+00	  0.012800000	-6.185600E+01
16	  0.012999999	-5.560000E-01	  0.012999999	-7.905900E+01	  0.012999999	3.947000E+00	  0.012999999	-6.043700E+01
17	  0.013200000	-5.520000E-01	  0.013200000	-8.036700E+01	  0.013200000	3.815000E+00	  0.013200000	-5.905700E+01
18	  0.013400001	-5.550000E-01	  0.013400001	-8.167200E+01	  0.013400001	3.730000E+00	  0.013400001	-5.771400E+01
19	  0.013600000	-5.510000E-01	  0.013600000	-8.298300E+01	  0.013600000	3.610000E+00	  0.013600000	-5.640100E+01
20	  0.013800000	-5.480000E-01	  0.013800000	-8.427800E+01	  0.013800000	3.504000E+00	  0.013800000	-5.513700E+01
21	  0.014000000	-5.500000E-01	  0.014000000	-8.560400E+01	  0.014000000	3.425000E+00	  0.014000000	-5.387400E+01
22	  0.014200001	-5.540000E-01	  0.014200001	-8.693800E+01	  0.014200001	3.367000E+00	  0.014200001	-5.263200E+01
23	  0.014400000	-5.530000E-01	  0.014400000	-8.827500E+01	  0.014400000	3.283000E+00	  0.014400000	-5.142000E+01
24	  0.014599999	-5.600000E-01	  0.014599999	-8.963500E+01	  0.014599999	3.240000E+00	  0.014599999	-5.021300E+01
25	  0.014800000	-5.660000E-01	  0.014800000	-9.099800E+01	  0.014800000	3.200000E+00	  0.014800000	-4.903300E+01
26	  0.015000001	-5.690000E-01	  0.015000001	-9.234200E+01	  0.015000001	3.145000E+00	  0.015000001	-4.789700E+01
27	  0.015200000	-5.670000E-01	  0.015200000	-9.371700E+01	  0.015200000	3.063000E+00	  0.015200000	-4.676200E+01
28	  0.015400000	-5.670000E-01	  0.015400000	-9.507000E+01	  0.015400000	2.996000E+00	  0.015400000	-4.567000E+01
29	  0.015600001	-5.570000E-01	  0.015600001	-9.636700E+01	  0.015600001	2.887000E+00	  0.015600001	-4.464700E+01
