! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ns.n.r20.12.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 04:05:38 PM	12/19/2017 03:58:02 PM
! INTERNAL TEMP:    	46.8 C	47.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.223000E+00	  0.010000000	1.669570E+02	  0.010000000	1.988700E+01	  0.010000000	4.821000E+00
2	  0.010200000	-7.213000E+00	  0.010200000	1.667720E+02	  0.010200000	1.986900E+01	  0.010200000	4.892000E+00
3	  0.010400000	-7.209000E+00	  0.010400000	1.664900E+02	  0.010400000	1.986700E+01	  0.010400000	4.997000E+00
4	  0.010600000	-7.215000E+00	  0.010600000	1.662620E+02	  0.010600000	1.989000E+01	  0.010600000	5.081000E+00
5	  0.010800000	-7.213000E+00	  0.010800000	1.660260E+02	  0.010800000	1.989400E+01	  0.010800000	5.169000E+00
6	  0.011000001	-7.217000E+00	  0.011000001	1.657380E+02	  0.011000001	1.991500E+01	  0.011000001	5.275000E+00
7	  0.011200000	-7.218000E+00	  0.011200000	1.654720E+02	  0.011200000	1.992700E+01	  0.011200000	5.374000E+00
8	  0.011399999	-7.216000E+00	  0.011399999	1.652220E+02	  0.011399999	1.993000E+01	  0.011399999	5.468000E+00
9	  0.011600000	-7.220000E+00	  0.011600000	1.649660E+02	  0.011600000	1.995000E+01	  0.011600000	5.562000E+00
10	  0.011800000	-7.220000E+00	  0.011800000	1.647520E+02	  0.011800000	1.995900E+01	  0.011800000	5.641000E+00
11	  0.012000000	-7.223000E+00	  0.012000000	1.644480E+02	  0.012000000	1.997800E+01	  0.012000000	5.754000E+00
12	  0.012200000	-7.225000E+00	  0.012200000	1.641870E+02	  0.012200000	1.999400E+01	  0.012200000	5.851000E+00
13	  0.012400000	-7.227000E+00	  0.012400000	1.639340E+02	  0.012400000	2.000900E+01	  0.012400000	5.944000E+00
14	  0.012600001	-7.228000E+00	  0.012600001	1.636790E+02	  0.012600001	2.002200E+01	  0.012600001	6.039000E+00
15	  0.012800000	-7.228000E+00	  0.012800000	1.634140E+02	  0.012800000	2.003500E+01	  0.012800000	6.138000E+00
16	  0.012999999	-7.233000E+00	  0.012999999	1.631610E+02	  0.012999999	2.005600E+01	  0.012999999	6.231000E+00
17	  0.013200000	-7.241000E+00	  0.013200000	1.629080E+02	  0.013200000	2.008900E+01	  0.013200000	6.323000E+00
18	  0.013400001	-7.240000E+00	  0.013400001	1.626490E+02	  0.013400001	2.009600E+01	  0.013400001	6.420000E+00
19	  0.013600000	-7.238000E+00	  0.013600000	1.623870E+02	  0.013600000	2.010500E+01	  0.013600000	6.518000E+00
20	  0.013800000	-7.237000E+00	  0.013800000	1.621400E+02	  0.013800000	2.011400E+01	  0.013800000	6.610000E+00
21	  0.014000000	-7.235000E+00	  0.014000000	1.618700E+02	  0.014000000	2.012100E+01	  0.014000000	6.712000E+00
22	  0.014200001	-7.240000E+00	  0.014200001	1.616270E+02	  0.014200001	2.014400E+01	  0.014200001	6.801000E+00
23	  0.014400000	-7.242000E+00	  0.014400000	1.613330E+02	  0.014400000	2.016300E+01	  0.014400000	6.910000E+00
