! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ns.sma.r20.11.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 03:36:50 PM	12/19/2017 03:30:41 PM
! INTERNAL TEMP:    	47.8 C	48.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-6.375100E+01	  0.010000000	8.970800E+01	  0.010000000	5.000000E+01	  0.010000000	6.400000E-02
2	  0.010200000	-6.380200E+01	  0.010200000	8.767000E+01	  0.010200000	5.000200E+01	  0.010200000	6.400000E-02
3	  0.010400000	-6.413600E+01	  0.010400000	9.190700E+01	  0.010400000	4.999700E+01	  0.010400000	6.200000E-02
4	  0.010600000	-6.349600E+01	  0.010600000	9.136500E+01	  0.010600000	4.999800E+01	  0.010600000	6.600000E-02
5	  0.010800000	-6.316200E+01	  0.010800000	8.964800E+01	  0.010800000	5.000000E+01	  0.010800000	6.900000E-02
6	  0.011000001	-6.346400E+01	  0.011000001	8.953800E+01	  0.011000001	5.000000E+01	  0.011000001	6.700000E-02
7	  0.011200000	-6.284100E+01	  0.011200000	9.132000E+01	  0.011200000	4.999800E+01	  0.011200000	7.200000E-02
8	  0.011399999	-6.283200E+01	  0.011399999	8.975700E+01	  0.011399999	5.000000E+01	  0.011399999	7.200000E-02
9	  0.011600000	-6.303500E+01	  0.011600000	8.430100E+01	  0.011600000	5.000600E+01	  0.011600000	7.000000E-02
10	  0.011800000	-6.284200E+01	  0.011800000	8.909400E+01	  0.011800000	5.000100E+01	  0.011800000	7.200000E-02
11	  0.012000000	-6.290700E+01	  0.012000000	8.457700E+01	  0.012000000	5.000600E+01	  0.012000000	7.100000E-02
12	  0.012200000	-6.234300E+01	  0.012200000	8.548200E+01	  0.012200000	5.000500E+01	  0.012200000	7.600000E-02
13	  0.012400000	-6.233600E+01	  0.012400000	8.452200E+01	  0.012400000	5.000700E+01	  0.012400000	7.600000E-02
14	  0.012600001	-6.241300E+01	  0.012600001	8.327200E+01	  0.012600001	5.000800E+01	  0.012600001	7.500000E-02
15	  0.012800000	-6.206900E+01	  0.012800000	8.453300E+01	  0.012800000	5.000700E+01	  0.012800000	7.800000E-02
16	  0.012999999	-6.171100E+01	  0.012999999	8.369500E+01	  0.012999999	5.000800E+01	  0.012999999	8.100000E-02
17	  0.013200000	-6.184600E+01	  0.013200000	8.166600E+01	  0.013200000	5.001100E+01	  0.013200000	8.000000E-02
18	  0.013400001	-6.182300E+01	  0.013400001	8.151600E+01	  0.013400001	5.001100E+01	  0.013400001	8.000000E-02
19	  0.013600000	-6.171400E+01	  0.013600000	8.173200E+01	  0.013600000	5.001100E+01	  0.013600000	8.100000E-02
20	  0.013800000	-6.165100E+01	  0.013800000	8.321800E+01	  0.013800000	5.000900E+01	  0.013800000	8.200000E-02
21	  0.014000000	-6.147900E+01	  0.014000000	8.118900E+01	  0.014000000	5.001200E+01	  0.014000000	8.300000E-02
22	  0.014200001	-6.112200E+01	  0.014200001	8.179500E+01	  0.014200001	5.001200E+01	  0.014200001	8.700000E-02
23	  0.014400000	-6.096500E+01	  0.014400000	8.120000E+01	  0.014400000	5.001300E+01	  0.014400000	8.800000E-02
24	  0.014599999	-6.116500E+01	  0.014599999	8.267000E+01	  0.014599999	5.001100E+01	  0.014599999	8.600000E-02
25	  0.014800000	-6.081400E+01	  0.014800000	8.101100E+01	  0.014800000	5.001400E+01	  0.014800000	8.900000E-02
26	  0.015000001	-6.086500E+01	  0.015000001	8.114400E+01	  0.015000001	5.001300E+01	  0.015000001	8.900000E-02
27	  0.015200000	-6.078300E+01	  0.015200000	8.099700E+01	  0.015200000	5.001400E+01	  0.015200000	9.000000E-02
28	  0.015400000	-6.066900E+01	  0.015400000	8.033900E+01	  0.015400000	5.001500E+01	  0.015400000	9.100000E-02
29	  0.015600001	-6.034000E+01	  0.015600001	7.985300E+01	  0.015600001	5.001600E+01	  0.015600001	9.400000E-02
30	  0.015800001	-6.049200E+01	  0.015800001	7.917600E+01	  0.015800001	5.001700E+01	  0.015800001	9.200000E-02
31	  0.016000001	-6.043000E+01	  0.016000001	7.805200E+01	  0.016000001	5.001900E+01	  0.016000001	9.300000E-02
32	  0.016200000	-6.019800E+01	  0.016200000	7.833100E+01	  0.016200000	5.001900E+01	  0.016200000	9.500000E-02
33	  0.016400000	-6.018100E+01	  0.016400000	7.789300E+01	  0.016400000	5.002000E+01	  0.016400000	9.500000E-02
34	  0.016600000	-6.012000E+01	  0.016600000	7.848200E+01	  0.016600000	5.001900E+01	  0.016600000	9.600000E-02
35	  0.016799999	-5.982900E+01	  0.016799999	7.692400E+01	  0.016799999	5.002200E+01	  0.016799999	9.900000E-02
36	  0.016999999	-5.985900E+01	  0.016999999	7.695700E+01	  0.016999999	5.002200E+01	  0.016999999	9.900000E-02
37	  0.017200001	-5.972300E+01	  0.017200001	7.809900E+01	  0.017200001	5.002100E+01	  0.017200001	1.010000E-01
38	  0.017400000	-5.970600E+01	  0.017400000	7.709100E+01	  0.017400000	5.002300E+01	  0.017400000	1.000000E-01
39	  0.017600000	-5.961800E+01	  0.017600000	7.683700E+01	  0.017600000	5.002300E+01	  0.017600000	1.010000E-01
40	  0.017800000	-5.967100E+01	  0.017800000	7.745400E+01	  0.017800000	5.002200E+01	  0.017800000	1.010000E-01
41	  0.017999999	-5.948400E+01	  0.017999999	7.593700E+01	  0.017999999	5.002500E+01	  0.017999999	1.020000E-01
42	  0.018200001	-5.944700E+01	  0.018200001	7.551500E+01	  0.018200001	5.002600E+01	  0.018200001	1.030000E-01
43	  0.018400000	-5.920600E+01	  0.018400000	7.701800E+01	  0.018400000	5.002400E+01	  0.018400000	1.060000E-01
44	  0.018600000	-5.918100E+01	  0.018600000	7.683100E+01	  0.018600000	5.002400E+01	  0.018600000	1.070000E-01
45	  0.018800002	-5.889400E+01	  0.018800002	7.675700E+01	  0.018800002	5.002500E+01	  0.018800002	1.100000E-01
46	  0.019000001	-5.889200E+01	  0.019000001	7.458100E+01	  0.019000001	5.003000E+01	  0.019000001	1.090000E-01
47	  0.019200001	-5.896800E+01	  0.019200001	7.646500E+01	  0.019200001	5.002600E+01	  0.019200001	1.090000E-01
48	  0.019399999	-5.876900E+01	  0.019399999	7.689600E+01	  0.019399999	5.002600E+01	  0.019399999	1.120000E-01
49	  0.019599998	-5.874000E+01	  0.019599998	7.626400E+01	  0.019599998	5.002700E+01	  0.019599998	1.120000E-01
50	  0.019800000	-5.865800E+01	  0.019800000	7.623400E+01	  0.019800000	5.002700E+01	  0.019800000	1.130000E-01
51	  0.020000000	-5.835700E+01	  0.020000000	7.546900E+01	  0.020000000	5.003000E+01	  0.020000000	1.170000E-01
52	  0.020199999	-5.856300E+01	  0.020199999	7.521300E+01	  0.020199999	5.002900E+01	  0.020199999	1.140000E-01
53	  0.020400001	-5.828300E+01	  0.020400001	7.530300E+01	  0.020400001	5.003000E+01	  0.020400001	1.170000E-01
54	  0.020600000	-5.863800E+01	  0.020600000	7.486700E+01	  0.020600000	5.003000E+01	  0.020600000	1.120000E-01
55	  0.020800000	-5.811100E+01	  0.020800000	7.460300E+01	  0.020800000	5.003200E+01	  0.020800000	1.190000E-01
56	  0.021000000	-5.811200E+01	  0.021000000	7.340000E+01	  0.021000000	5.003500E+01	  0.021000000	1.190000E-01
57	  0.021199999	-5.792600E+01	  0.021199999	7.368900E+01	  0.021199999	5.003500E+01	  0.021199999	1.210000E-01
58	  0.021400001	-5.789000E+01	  0.021400001	7.341300E+01	  0.021400001	5.003600E+01	  0.021400001	1.220000E-01
59	  0.021600001	-5.779400E+01	  0.021600001	7.365600E+01	  0.021600001	5.003600E+01	  0.021600001	1.230000E-01
60	  0.021800000	-5.770200E+01	  0.021800000	7.253200E+01	  0.021800000	5.003800E+01	  0.021800000	1.240000E-01
61	  0.022000002	-5.750800E+01	  0.022000002	7.268400E+01	  0.022000002	5.003900E+01	  0.022000002	1.270000E-01
62	  0.022200001	-5.731800E+01	  0.022200001	7.283200E+01	  0.022200001	5.004000E+01	  0.022200001	1.300000E-01
63	  0.022399999	-5.729400E+01	  0.022399999	7.324500E+01	  0.022399999	5.003900E+01	  0.022399999	1.300000E-01
64	  0.022599999	-5.719400E+01	  0.022599999	7.222400E+01	  0.022599999	5.004200E+01	  0.022599999	1.310000E-01
65	  0.022799999	-5.725900E+01	  0.022799999	7.184600E+01	  0.022799999	5.004200E+01	  0.022799999	1.300000E-01
66	  0.023000000	-5.717900E+01	  0.023000000	7.289400E+01	  0.023000000	5.004000E+01	  0.023000000	1.320000E-01
67	  0.023200000	-5.695900E+01	  0.023200000	7.242800E+01	  0.023200000	5.004200E+01	  0.023200000	1.350000E-01
68	  0.023399999	-5.601900E+01	  0.023399999	7.148800E+01	  0.023399999	5.005000E+01	  0.023399999	1.500000E-01
69	  0.023600001	-5.680000E+01	  0.023600001	7.182000E+01	  0.023600001	5.004400E+01	  0.023600001	1.370000E-01
70	  0.023800001	-5.667700E+01	  0.023800001	7.040100E+01	  0.023800001	5.004900E+01	  0.023800001	1.380000E-01
71	  0.024000000	-5.676900E+01	  0.024000000	7.159200E+01	  0.024000000	5.004500E+01	  0.024000000	1.370000E-01
72	  0.024200000	-5.659300E+01	  0.024200000	7.141100E+01	  0.024200000	5.004700E+01	  0.024200000	1.400000E-01
73	  0.024400000	-5.654000E+01	  0.024400000	7.077900E+01	  0.024400000	5.004800E+01	  0.024400000	1.400000E-01
74	  0.024600001	-5.646600E+01	  0.024600001	7.107300E+01	  0.024600001	5.004800E+01	  0.024600001	1.420000E-01
75	  0.024800001	-5.653500E+01	  0.024800001	6.981700E+01	  0.024800001	5.005100E+01	  0.024800001	1.400000E-01
76	  0.025000000	-5.621600E+01	  0.025000000	7.000100E+01	  0.025000000	5.005200E+01	  0.025000000	1.450000E-01
77	  0.025200002	-5.617500E+01	  0.025200002	6.963000E+01	  0.025200002	5.005300E+01	  0.025200002	1.450000E-01
78	  0.025400000	-5.622900E+01	  0.025400000	6.944500E+01	  0.025400000	5.005400E+01	  0.025400000	1.440000E-01
79	  0.025599999	-5.612500E+01	  0.025599999	6.910100E+01	  0.025599999	5.005500E+01	  0.025599999	1.460000E-01
80	  0.025799999	-5.608400E+01	  0.025799999	6.904600E+01	  0.025799999	5.005500E+01	  0.025799999	1.460000E-01
