! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/252.ew.m2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 06:27:18 PM	05/10/2018 06:18:15 PM
! INTERNAL TEMP:    	60.3 C	60.0 C
! # POINTS:         	487	487
! START FREQ:       	20.601 202 MHz	20.601 202 MHz
! STOP FREQ:        	117.995 991 MHz	117.995 991 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.651 ohm, -1.755 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020601204	-6.470000E-01	  0.020601204	-1.295250E+02	  0.020601204	2.276000E+00	  0.020601204	-2.352800E+01
2	  0.020801604	-6.500000E-01	  0.020801604	-1.310470E+02	  0.020801604	2.259000E+00	  0.020801604	-2.272200E+01
3	  0.021002004	-6.530000E-01	  0.021002004	-1.325750E+02	  0.021002004	2.241000E+00	  0.021002004	-2.192300E+01
4	  0.021202406	-6.560000E-01	  0.021202406	-1.341110E+02	  0.021202406	2.226000E+00	  0.021202406	-2.113000E+01
5	  0.021402806	-6.590000E-01	  0.021402806	-1.356570E+02	  0.021402806	2.210000E+00	  0.021402806	-2.034000E+01
6	  0.021603208	-6.610000E-01	  0.021603208	-1.371810E+02	  0.021603208	2.194000E+00	  0.021603208	-1.957100E+01
7	  0.021803608	-6.640000E-01	  0.021803608	-1.387320E+02	  0.021803608	2.183000E+00	  0.021803608	-1.879600E+01
8	  0.022004008	-6.720000E-01	  0.022004008	-1.402740E+02	  0.022004008	2.187000E+00	  0.022004008	-1.803200E+01
9	  0.022204408	-6.760000E-01	  0.022204408	-1.418580E+02	  0.022204408	2.176000E+00	  0.022204408	-1.725600E+01
10	  0.022404809	-6.780000E-01	  0.022404809	-1.434500E+02	  0.022404809	2.165000E+00	  0.022404809	-1.648300E+01
11	  0.022605211	-6.820000E-01	  0.022605211	-1.450420E+02	  0.022605211	2.157000E+00	  0.022605211	-1.571700E+01
12	  0.022805611	-6.860000E-01	  0.022805611	-1.466490E+02	  0.022805611	2.151000E+00	  0.022805611	-1.495100E+01
13	  0.023006011	-6.900000E-01	  0.023006011	-1.482490E+02	  0.023006011	2.147000E+00	  0.023006011	-1.419500E+01
14	  0.023206413	-6.930000E-01	  0.023206413	-1.498380E+02	  0.023206413	2.140000E+00	  0.023206413	-1.344900E+01
15	  0.023406813	-6.960000E-01	  0.023406813	-1.514460E+02	  0.023406813	2.132000E+00	  0.023406813	-1.270100E+01
16	  0.023607215	-7.010000E-01	  0.023607215	-1.530380E+02	  0.023607215	2.134000E+00	  0.023607215	-1.196500E+01
17	  0.023807615	-7.100000E-01	  0.023807615	-1.546470E+02	  0.023807615	2.145000E+00	  0.023807615	-1.122600E+01
18	  0.024008015	-7.180000E-01	  0.024008015	-1.562710E+02	  0.024008015	2.159000E+00	  0.024008015	-1.048500E+01
19	  0.024208417	-7.250000E-01	  0.024208417	-1.579230E+02	  0.024208417	2.167000E+00	  0.024208417	-9.735000E+00
20	  0.024408817	-7.320000E-01	  0.024408817	-1.595720E+02	  0.024408817	2.175000E+00	  0.024408817	-8.992000E+00
21	  0.024609219	-7.380000E-01	  0.024609219	-1.612170E+02	  0.024609219	2.181000E+00	  0.024609219	-8.254000E+00
22	  0.024809619	-7.470000E-01	  0.024809619	-1.628640E+02	  0.024809619	2.197000E+00	  0.024809619	-7.518000E+00
23	  0.025010020	-7.580000E-01	  0.025010020	-1.645180E+02	  0.025010020	2.221000E+00	  0.025010020	-6.783000E+00
24	  0.025210422	-7.680000E-01	  0.025210422	-1.661770E+02	  0.025210422	2.244000E+00	  0.025210422	-6.048000E+00
25	  0.025410822	-7.800000E-01	  0.025410822	-1.678520E+02	  0.025410822	2.270000E+00	  0.025410822	-5.309000E+00
26	  0.025611224	-7.930000E-01	  0.025611224	-1.695340E+02	  0.025611224	2.301000E+00	  0.025611224	-4.569000E+00
27	  0.025811624	-8.040000E-01	  0.025811624	-1.712370E+02	  0.025811624	2.327000E+00	  0.025811624	-3.822000E+00
28	  0.026012026	-8.150000E-01	  0.026012026	-1.729580E+02	  0.026012026	2.354000E+00	  0.026012026	-3.069000E+00
29	  0.026212426	-8.270000E-01	  0.026212426	-1.746840E+02	  0.026212426	2.386000E+00	  0.026212426	-2.315000E+00
30	  0.026412826	-8.430000E-01	  0.026412826	-1.764140E+02	  0.026412826	2.428000E+00	  0.026412826	-1.561000E+00
31	  0.026613226	-8.590000E-01	  0.026613226	-1.781690E+02	  0.026613226	2.472000E+00	  0.026613226	-7.960000E-01
32	  0.026813626	-8.750000E-01	  0.026813626	-1.799290E+02	  0.026813626	2.518000E+00	  0.026813626	-3.000000E-02
33	  0.027014028	-8.930000E-01	  0.027014028	1.783040E+02	  0.027014028	2.569000E+00	  0.027014028	7.370000E-01
34	  0.027214428	-9.090000E-01	  0.027214428	1.765190E+02	  0.027214428	2.618000E+00	  0.027214428	1.514000E+00
35	  0.027414829	-9.270000E-01	  0.027414829	1.747340E+02	  0.027414829	2.671000E+00	  0.027414829	2.292000E+00
36	  0.027615231	-9.440000E-01	  0.027615231	1.729280E+02	  0.027615231	2.727000E+00	  0.027615231	3.080000E+00
37	  0.027815631	-9.630000E-01	  0.027815631	1.711100E+02	  0.027815631	2.787000E+00	  0.027815631	3.874000E+00
38	  0.028016033	-9.830000E-01	  0.028016033	1.692730E+02	  0.028016033	2.851000E+00	  0.028016033	4.678000E+00
39	  0.028216433	-1.004000E+00	  0.028216433	1.674270E+02	  0.028216433	2.921000E+00	  0.028216433	5.489000E+00
40	  0.028416833	-1.024000E+00	  0.028416833	1.655740E+02	  0.028416833	2.992000E+00	  0.028416833	6.305000E+00
41	  0.028617235	-1.044000E+00	  0.028617235	1.637230E+02	  0.028617235	3.064000E+00	  0.028617235	7.123000E+00
42	  0.028817635	-1.066000E+00	  0.028817635	1.618650E+02	  0.028817635	3.143000E+00	  0.028817635	7.948000E+00
43	  0.029018037	-1.090000E+00	  0.029018037	1.600150E+02	  0.029018037	3.230000E+00	  0.029018037	8.773000E+00
44	  0.029218437	-1.114000E+00	  0.029218437	1.581410E+02	  0.029218437	3.322000E+00	  0.029218437	9.613000E+00
45	  0.029418837	-1.137000E+00	  0.029418837	1.562440E+02	  0.029418837	3.413000E+00	  0.029418837	1.046900E+01
46	  0.029619239	-1.163000E+00	  0.029619239	1.543570E+02	  0.029619239	3.515000E+00	  0.029619239	1.132500E+01
47	  0.029819639	-1.189000E+00	  0.029819639	1.524590E+02	  0.029819639	3.623000E+00	  0.029819639	1.219300E+01
48	  0.030020041	-1.216000E+00	  0.030020041	1.505510E+02	  0.030020041	3.735000E+00	  0.030020041	1.307100E+01
49	  0.030220442	-1.243000E+00	  0.030220442	1.486440E+02	  0.030220442	3.853000E+00	  0.030220442	1.395600E+01
50	  0.030420844	-1.272000E+00	  0.030420844	1.467350E+02	  0.030420844	3.981000E+00	  0.030420844	1.484900E+01
51	  0.030621244	-1.302000E+00	  0.030621244	1.448270E+02	  0.030621244	4.115000E+00	  0.030621244	1.575000E+01
52	  0.030821642	-1.335000E+00	  0.030821642	1.429110E+02	  0.030821642	4.266000E+00	  0.030821642	1.666200E+01
53	  0.031022044	-1.369000E+00	  0.031022044	1.409750E+02	  0.031022044	4.423000E+00	  0.031022044	1.759400E+01
54	  0.031222444	-1.396000E+00	  0.031222444	1.390490E+02	  0.031222444	4.564000E+00	  0.031222444	1.853300E+01
55	  0.031422846	-1.432000E+00	  0.031422846	1.370960E+02	  0.031422846	4.742000E+00	  0.031422846	1.949300E+01
56	  0.031623244	-1.467000E+00	  0.031623244	1.351150E+02	  0.031623244	4.928000E+00	  0.031623244	2.047900E+01
57	  0.031823646	-1.507000E+00	  0.031823646	1.331310E+02	  0.031823646	5.133000E+00	  0.031823646	2.147900E+01
58	  0.032024048	-1.546000E+00	  0.032024048	1.311560E+02	  0.032024048	5.345000E+00	  0.032024048	2.248800E+01
59	  0.032224450	-1.587000E+00	  0.032224450	1.291500E+02	  0.032224450	5.576000E+00	  0.032224450	2.352600E+01
60	  0.032424849	-1.628000E+00	  0.032424849	1.271550E+02	  0.032424849	5.815000E+00	  0.032424849	2.457400E+01
