! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/252.ns.m7.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 05:53:17 PM	05/10/2018 05:49:06 PM
! INTERNAL TEMP:    	59.5 C	59.5 C
! # POINTS:         	490	490
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	117.995 991 MHz	117.995 991 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.43°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.679 ohm, -1.597 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.260000E-01	  0.020000000	-1.254320E+02	  0.020000000	2.282000E+00	  0.020000000	-2.574600E+01
2	  0.020200402	-6.300000E-01	  0.020200402	-1.268780E+02	  0.020200402	2.265000E+00	  0.020200402	-2.495400E+01
3	  0.020400802	-6.330000E-01	  0.020400802	-1.283310E+02	  0.020400802	2.250000E+00	  0.020400802	-2.416800E+01
4	  0.020601204	-6.370000E-01	  0.020601204	-1.297960E+02	  0.020601204	2.237000E+00	  0.020601204	-2.338400E+01
5	  0.020801604	-6.410000E-01	  0.020801604	-1.313010E+02	  0.020801604	2.222000E+00	  0.020801604	-2.259000E+01
6	  0.021002004	-6.440000E-01	  0.021002004	-1.328100E+02	  0.021002004	2.206000E+00	  0.021002004	-2.180300E+01
7	  0.021202406	-6.470000E-01	  0.021202406	-1.343280E+02	  0.021202406	2.192000E+00	  0.021202406	-2.102000E+01
8	  0.021402806	-6.500000E-01	  0.021402806	-1.358220E+02	  0.021402806	2.178000E+00	  0.021402806	-2.025800E+01
9	  0.021603208	-6.520000E-01	  0.021603208	-1.373300E+02	  0.021603208	2.164000E+00	  0.021603208	-1.949700E+01
10	  0.021803608	-6.570000E-01	  0.021803608	-1.388440E+02	  0.021803608	2.156000E+00	  0.021803608	-1.874100E+01
11	  0.022004008	-6.630000E-01	  0.022004008	-1.403410E+02	  0.022004008	2.157000E+00	  0.022004008	-1.800000E+01
12	  0.022204408	-6.690000E-01	  0.022204408	-1.418730E+02	  0.022204408	2.154000E+00	  0.022204408	-1.724900E+01
13	  0.022404809	-6.750000E-01	  0.022404809	-1.434170E+02	  0.022404809	2.156000E+00	  0.022404809	-1.649900E+01
14	  0.022605211	-6.800000E-01	  0.022605211	-1.449860E+02	  0.022605211	2.152000E+00	  0.022605211	-1.574400E+01
15	  0.022805611	-6.820000E-01	  0.022805611	-1.465510E+02	  0.022805611	2.139000E+00	  0.022805611	-1.499800E+01
16	  0.023006011	-6.860000E-01	  0.023006011	-1.481080E+02	  0.023006011	2.135000E+00	  0.023006011	-1.426200E+01
17	  0.023206413	-6.910000E-01	  0.023206413	-1.496730E+02	  0.023206413	2.133000E+00	  0.023206413	-1.352700E+01
