! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/b252.ns.m2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 09:47:05 PM	05/09/2018 09:39:16 PM
! INTERNAL TEMP:    	49.3 C	49.8 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.33°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.534 ohm, -1.544 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.080000E-01	  0.020000000	-1.253310E+02	  0.020000000	2.215000E+00	  0.020000000	-2.580400E+01
2	  0.020200402	-6.120000E-01	  0.020200402	-1.267720E+02	  0.020200402	2.205000E+00	  0.020200402	-2.501400E+01
3	  0.020400802	-6.160000E-01	  0.020400802	-1.282160E+02	  0.020400802	2.189000E+00	  0.020400802	-2.423100E+01
4	  0.020601204	-6.210000E-01	  0.020601204	-1.296980E+02	  0.020601204	2.181000E+00	  0.020601204	-2.343800E+01
5	  0.020801604	-6.250000E-01	  0.020801604	-1.311890E+02	  0.020801604	2.168000E+00	  0.020801604	-2.265000E+01
6	  0.021002004	-6.270000E-01	  0.021002004	-1.326920E+02	  0.021002004	2.152000E+00	  0.021002004	-2.186600E+01
7	  0.021202406	-6.310000E-01	  0.021202406	-1.341910E+02	  0.021202406	2.142000E+00	  0.021202406	-2.109200E+01
8	  0.021402806	-6.340000E-01	  0.021402806	-1.356980E+02	  0.021402806	2.126000E+00	  0.021402806	-2.032200E+01
9	  0.021603208	-6.360000E-01	  0.021603208	-1.371900E+02	  0.021603208	2.113000E+00	  0.021603208	-1.956900E+01
10	  0.021803608	-6.410000E-01	  0.021803608	-1.386740E+02	  0.021803608	2.108000E+00	  0.021803608	-1.882600E+01
11	  0.022004008	-6.480000E-01	  0.022004008	-1.401860E+02	  0.022004008	2.111000E+00	  0.022004008	-1.807800E+01
12	  0.022204408	-6.570000E-01	  0.022204408	-1.417050E+02	  0.022204408	2.118000E+00	  0.022204408	-1.733200E+01
13	  0.022404809	-6.590000E-01	  0.022404809	-1.432610E+02	  0.022404809	2.107000E+00	  0.022404809	-1.657600E+01
14	  0.022605211	-6.640000E-01	  0.022605211	-1.448330E+02	  0.022605211	2.103000E+00	  0.022605211	-1.581900E+01
15	  0.022805611	-6.680000E-01	  0.022805611	-1.463820E+02	  0.022805611	2.097000E+00	  0.022805611	-1.507900E+01
16	  0.023006011	-6.750000E-01	  0.023006011	-1.479310E+02	  0.023006011	2.102000E+00	  0.023006011	-1.434500E+01
17	  0.023206413	-6.800000E-01	  0.023206413	-1.494870E+02	  0.023206413	2.103000E+00	  0.023206413	-1.361400E+01
18	  0.023406813	-6.840000E-01	  0.023406813	-1.510370E+02	  0.023406813	2.099000E+00	  0.023406813	-1.289100E+01
19	  0.023607215	-6.910000E-01	  0.023607215	-1.526140E+02	  0.023607215	2.107000E+00	  0.023607215	-1.216100E+01
20	  0.023807615	-7.010000E-01	  0.023807615	-1.542020E+02	  0.023807615	2.124000E+00	  0.023807615	-1.143000E+01
21	  0.024008015	-7.090000E-01	  0.024008015	-1.558150E+02	  0.024008015	2.135000E+00	  0.024008015	-1.069300E+01
22	  0.024208417	-7.170000E-01	  0.024208417	-1.574510E+02	  0.024208417	2.145000E+00	  0.024208417	-9.949000E+00
23	  0.024408817	-7.220000E-01	  0.024408817	-1.590940E+02	  0.024408817	2.148000E+00	  0.024408817	-9.207000E+00
24	  0.024609219	-7.280000E-01	  0.024609219	-1.607320E+02	  0.024609219	2.155000E+00	  0.024609219	-8.471000E+00
25	  0.024809619	-7.370000E-01	  0.024809619	-1.623690E+02	  0.024809619	2.173000E+00	  0.024809619	-7.739000E+00
26	  0.025010020	-7.470000E-01	  0.025010020	-1.640160E+02	  0.025010020	2.191000E+00	  0.025010020	-7.006000E+00
27	  0.025210422	-7.570000E-01	  0.025210422	-1.656770E+02	  0.025210422	2.214000E+00	  0.025210422	-6.269000E+00
28	  0.025410822	-7.690000E-01	  0.025410822	-1.673510E+02	  0.025410822	2.240000E+00	  0.025410822	-5.530000E+00
29	  0.025611224	-7.800000E-01	  0.025611224	-1.690470E+02	  0.025611224	2.265000E+00	  0.025611224	-4.783000E+00
30	  0.025811624	-7.910000E-01	  0.025811624	-1.707400E+02	  0.025811624	2.291000E+00	  0.025811624	-4.040000E+00
31	  0.026012026	-8.010000E-01	  0.026012026	-1.724470E+02	  0.026012026	2.315000E+00	  0.026012026	-3.293000E+00
32	  0.026212426	-8.120000E-01	  0.026212426	-1.741690E+02	  0.026212426	2.342000E+00	  0.026212426	-2.540000E+00
33	  0.026412826	-8.270000E-01	  0.026412826	-1.758890E+02	  0.026412826	2.382000E+00	  0.026412826	-1.790000E+00
34	  0.026613226	-8.410000E-01	  0.026613226	-1.776170E+02	  0.026613226	2.419000E+00	  0.026613226	-1.037000E+00
35	  0.026813626	-8.560000E-01	  0.026813626	-1.793660E+02	  0.026813626	2.463000E+00	  0.026813626	-2.750000E-01
36	  0.027014028	-8.730000E-01	  0.027014028	1.788900E+02	  0.027014028	2.512000E+00	  0.027014028	4.830000E-01
37	  0.027214428	-8.900000E-01	  0.027214428	1.771370E+02	  0.027214428	2.561000E+00	  0.027214428	1.245000E+00
38	  0.027414829	-9.070000E-01	  0.027414829	1.753750E+02	  0.027414829	2.614000E+00	  0.027414829	2.013000E+00
39	  0.027615231	-9.240000E-01	  0.027615231	1.735910E+02	  0.027615231	2.667000E+00	  0.027615231	2.791000E+00
40	  0.027815631	-9.430000E-01	  0.027815631	1.718150E+02	  0.027815631	2.726000E+00	  0.027815631	3.566000E+00
41	  0.028016033	-9.640000E-01	  0.028016033	1.700130E+02	  0.028016033	2.792000E+00	  0.028016033	4.355000E+00
42	  0.028216433	-9.860000E-01	  0.028216433	1.682010E+02	  0.028216433	2.865000E+00	  0.028216433	5.149000E+00
43	  0.028416833	-1.008000E+00	  0.028416833	1.663840E+02	  0.028416833	2.941000E+00	  0.028416833	5.948000E+00
44	  0.028617235	-1.031000E+00	  0.028617235	1.645670E+02	  0.028617235	3.021000E+00	  0.028617235	6.750000E+00
45	  0.028817635	-1.056000E+00	  0.028817635	1.627570E+02	  0.028817635	3.105000E+00	  0.028817635	7.552000E+00
46	  0.029018037	-1.082000E+00	  0.029018037	1.609230E+02	  0.029018037	3.198000E+00	  0.029018037	8.367000E+00
47	  0.029218437	-1.109000E+00	  0.029218437	1.590740E+02	  0.029218437	3.297000E+00	  0.029218437	9.194000E+00
48	  0.029418837	-1.138000E+00	  0.029418837	1.572270E+02	  0.029418837	3.404000E+00	  0.029418837	1.002400E+01
49	  0.029619239	-1.169000E+00	  0.029619239	1.553580E+02	  0.029619239	3.519000E+00	  0.029619239	1.086900E+01
50	  0.029819639	-1.198000E+00	  0.029819639	1.534840E+02	  0.029819639	3.634000E+00	  0.029819639	1.172100E+01
